ID,nodeID
0,R0
1,R0
2,R0
3,R0
5,R0
8,R0
10,R0
11,R0
15,R0
17,R0
22,R0
24,R0
27,R0
29,R0
31,R0
32,R0
35,R0
40,R0
44,R0
47,R0
50,R0
51,R0
53,R0
59,R0
61,R0
65,R0
69,R0
70,R0
78,R0
85,R0
86,R0
88,R0
89,R0
90,R0
91,R0
94,R0
95,R0
97,R0
98,R0
100,R0
108,R0
112,R0
113,R0
114,R0
118,R0
120,R0
121,R0
123,R0
124,R0
125,R0
130,R0
131,R0
132,R0
136,R0
138,R0
139,R0
143,R0
149,R0
155,R0
157,R0
160,R0
164,R0
165,R0
167,R0
170,R0
171,R0
174,R0
176,R0
184,R0
189,R0
197,R0
201,R0
203,R0
204,R0
205,R0
213,R0
216,R0
217,R0
218,R0
222,R0
230,R0
232,R0
236,R0
244,R0
246,R0
248,R0
250,R0
256,R0
259,R0
262,R0
263,R0
265,R0
266,R0
267,R0
270,R0
272,R0
273,R0
276,R0
278,R0
279,R0
288,R0
290,R0
291,R0
300,R0
301,R0
305,R0
307,R0
309,R0
311,R0
314,R0
318,R0
320,R0
321,R0
322,R0
324,R0
335,R0
336,R0
340,R0
347,R0
351,R0
356,R0
359,R0
362,R0
364,R0
365,R0
374,R0
378,R0
379,R0
380,R0
384,R0
387,R0
395,R0
400,R0
405,R0
408,R0
409,R0
410,R0
412,R0
413,R0
415,R0
416,R0
417,R0
418,R0
419,R0
420,R0
421,R0
424,R0
425,R0
427,R0
429,R0
430,R0
431,R0
435,R0
436,R0
437,R0
439,R0
440,R0
441,R0
442,R0
446,R0
449,R0
451,R0
457,R0
458,R0
460,R0
462,R0
466,R0
468,R0
470,R0
473,R0
476,R0
477,R0
478,R0
481,R0
482,R0
483,R0
488,R0
489,R0
492,R0
494,R0
498,R0
1,S0
2,S0
6,S0
11,S0
17,S0
19,S0
21,S0
22,S0
23,S0
26,S0
27,S0
28,S0
30,S0
34,S0
40,S0
47,S0
48,S0
50,S0
54,S0
55,S0
57,S0
58,S0
59,S0
61,S0
62,S0
64,S0
65,S0
67,S0
68,S0
72,S0
75,S0
76,S0
77,S0
79,S0
80,S0
83,S0
84,S0
85,S0
90,S0
95,S0
98,S0
102,S0
105,S0
106,S0
112,S0
113,S0
120,S0
122,S0
125,S0
129,S0
130,S0
132,S0
138,S0
140,S0
143,S0
145,S0
148,S0
149,S0
151,S0
153,S0
155,S0
156,S0
158,S0
160,S0
162,S0
165,S0
168,S0
170,S0
172,S0
176,S0
177,S0
179,S0
185,S0
186,S0
188,S0
190,S0
198,S0
201,S0
203,S0
204,S0
208,S0
213,S0
220,S0
222,S0
223,S0
224,S0
228,S0
238,S0
239,S0
243,S0
252,S0
257,S0
259,S0
264,S0
268,S0
272,S0
276,S0
278,S0
279,S0
282,S0
283,S0
284,S0
292,S0
295,S0
299,S0
302,S0
305,S0
306,S0
311,S0
314,S0
317,S0
318,S0
322,S0
333,S0
340,S0
345,S0
346,S0
347,S0
348,S0
349,S0
350,S0
351,S0
353,S0
362,S0
364,S0
365,S0
366,S0
367,S0
369,S0
373,S0
374,S0
376,S0
379,S0
382,S0
383,S0
391,S0
392,S0
394,S0
395,S0
398,S0
403,S0
407,S0
408,S0
413,S0
418,S0
419,S0
424,S0
425,S0
431,S0
442,S0
445,S0
447,S0
450,S0
459,S0
460,S0
462,S0
463,S0
466,S0
471,S0
476,S0
477,S0
478,S0
480,S0
481,S0
482,S0
483,S0
485,S0
486,S0
487,S0
488,S0
490,S0
495,S0
498,S0
1,R1
2,R1
7,R1
12,R1
17,R1
18,R1
21,R1
22,R1
23,R1
24,R1
27,R1
29,R1
32,R1
33,R1
35,R1
36,R1
38,R1
42,R1
44,R1
52,R1
53,R1
54,R1
55,R1
57,R1
58,R1
60,R1
63,R1
64,R1
66,R1
71,R1
77,R1
82,R1
85,R1
92,R1
93,R1
97,R1
102,R1
104,R1
110,R1
111,R1
113,R1
114,R1
122,R1
123,R1
126,R1
128,R1
129,R1
130,R1
132,R1
133,R1
137,R1
138,R1
150,R1
151,R1
152,R1
153,R1
157,R1
158,R1
159,R1
161,R1
163,R1
165,R1
166,R1
167,R1
170,R1
171,R1
172,R1
173,R1
174,R1
177,R1
180,R1
188,R1
190,R1
193,R1
194,R1
202,R1
205,R1
206,R1
207,R1
208,R1
210,R1
212,R1
219,R1
224,R1
225,R1
226,R1
227,R1
228,R1
229,R1
232,R1
234,R1
235,R1
236,R1
239,R1
249,R1
251,R1
256,R1
259,R1
268,R1
272,R1
273,R1
275,R1
277,R1
278,R1
281,R1
286,R1
290,R1
295,R1
296,R1
297,R1
298,R1
299,R1
306,R1
311,R1
313,R1
318,R1
319,R1
320,R1
323,R1
325,R1
326,R1
327,R1
329,R1
330,R1
340,R1
342,R1
346,R1
347,R1
351,R1
352,R1
353,R1
354,R1
355,R1
367,R1
372,R1
377,R1
381,R1
382,R1
384,R1
388,R1
390,R1
393,R1
396,R1
398,R1
399,R1
401,R1
407,R1
414,R1
416,R1
419,R1
424,R1
430,R1
431,R1
435,R1
438,R1
439,R1
440,R1
442,R1
444,R1
446,R1
447,R1
450,R1
452,R1
455,R1
457,R1
459,R1
460,R1
461,R1
467,R1
469,R1
470,R1
471,R1
472,R1
476,R1
482,R1
483,R1
488,R1
489,R1
490,R1
493,R1
495,R1
4,S1
6,S1
7,S1
10,S1
16,S1
17,S1
18,S1
19,S1
23,S1
27,S1
29,S1
30,S1
36,S1
37,S1
38,S1
44,S1
45,S1
47,S1
51,S1
55,S1
58,S1
60,S1
66,S1
67,S1
68,S1
69,S1
71,S1
77,S1
78,S1
80,S1
82,S1
84,S1
85,S1
89,S1
92,S1
93,S1
94,S1
97,S1
102,S1
106,S1
113,S1
114,S1
117,S1
118,S1
120,S1
124,S1
125,S1
129,S1
130,S1
133,S1
138,S1
151,S1
153,S1
154,S1
159,S1
161,S1
163,S1
164,S1
165,S1
166,S1
169,S1
170,S1
171,S1
172,S1
180,S1
182,S1
184,S1
186,S1
188,S1
191,S1
193,S1
195,S1
196,S1
198,S1
200,S1
204,S1
211,S1
214,S1
215,S1
220,S1
223,S1
225,S1
226,S1
229,S1
230,S1
231,S1
232,S1
234,S1
235,S1
237,S1
238,S1
241,S1
243,S1
255,S1
258,S1
260,S1
265,S1
266,S1
270,S1
272,S1
273,S1
275,S1
276,S1
277,S1
278,S1
281,S1
282,S1
285,S1
287,S1
289,S1
296,S1
297,S1
303,S1
305,S1
307,S1
308,S1
309,S1
310,S1
312,S1
314,S1
322,S1
323,S1
324,S1
333,S1
336,S1
339,S1
340,S1
342,S1
354,S1
355,S1
356,S1
357,S1
360,S1
362,S1
369,S1
370,S1
378,S1
386,S1
387,S1
389,S1
396,S1
399,S1
400,S1
401,S1
406,S1
407,S1
408,S1
410,S1
411,S1
415,S1
417,S1
418,S1
421,S1
423,S1
424,S1
427,S1
431,S1
432,S1
438,S1
439,S1
440,S1
442,S1
443,S1
444,S1
446,S1
455,S1
456,S1
457,S1
461,S1
462,S1
464,S1
465,S1
466,S1
467,S1
470,S1
475,S1
478,S1
479,S1
485,S1
488,S1
495,S1
1,R2
2,R2
4,R2
6,R2
7,R2
8,R2
10,R2
11,R2
12,R2
14,R2
17,R2
19,R2
25,R2
27,R2
30,R2
36,R2
37,R2
38,R2
41,R2
43,R2
46,R2
48,R2
51,R2
53,R2
54,R2
56,R2
57,R2
67,R2
71,R2
74,R2
75,R2
77,R2
82,R2
84,R2
92,R2
93,R2
94,R2
95,R2
96,R2
101,R2
102,R2
106,R2
109,R2
110,R2
113,R2
117,R2
119,R2
120,R2
121,R2
123,R2
124,R2
126,R2
128,R2
134,R2
137,R2
140,R2
142,R2
143,R2
148,R2
154,R2
158,R2
160,R2
162,R2
163,R2
167,R2
169,R2
170,R2
172,R2
173,R2
176,R2
177,R2
178,R2
180,R2
182,R2
184,R2
186,R2
187,R2
190,R2
192,R2
198,R2
208,R2
220,R2
223,R2
225,R2
226,R2
228,R2
229,R2
233,R2
237,R2
238,R2
239,R2
244,R2
249,R2
251,R2
252,R2
253,R2
257,R2
259,R2
271,R2
275,R2
276,R2
278,R2
279,R2
282,R2
289,R2
292,R2
298,R2
299,R2
302,R2
303,R2
304,R2
305,R2
307,R2
308,R2
310,R2
313,R2
314,R2
315,R2
318,R2
321,R2
324,R2
328,R2
330,R2
332,R2
336,R2
339,R2
342,R2
344,R2
345,R2
346,R2
347,R2
348,R2
352,R2
358,R2
362,R2
366,R2
370,R2
373,R2
375,R2
376,R2
377,R2
378,R2
379,R2
381,R2
382,R2
386,R2
389,R2
390,R2
391,R2
392,R2
393,R2
395,R2
398,R2
399,R2
400,R2
402,R2
403,R2
410,R2
411,R2
414,R2
415,R2
416,R2
418,R2
421,R2
423,R2
424,R2
426,R2
428,R2
432,R2
435,R2
437,R2
438,R2
443,R2
444,R2
448,R2
451,R2
453,R2
456,R2
457,R2
459,R2
463,R2
468,R2
475,R2
480,R2
482,R2
484,R2
486,R2
1,S2
4,S2
7,S2
10,S2
11,S2
12,S2
14,S2
15,S2
23,S2
24,S2
25,S2
27,S2
32,S2
33,S2
35,S2
36,S2
40,S2
44,S2
50,S2
52,S2
53,S2
58,S2
71,S2
73,S2
74,S2
75,S2
80,S2
82,S2
83,S2
88,S2
90,S2
91,S2
95,S2
96,S2
100,S2
104,S2
105,S2
107,S2
108,S2
111,S2
114,S2
119,S2
121,S2
126,S2
128,S2
129,S2
132,S2
133,S2
139,S2
140,S2
141,S2
143,S2
144,S2
147,S2
152,S2
157,S2
158,S2
159,S2
160,S2
164,S2
