ID,sendTo,sentBy
1,S0,R1
1,S2,R1
1,S4,R1
2,S0,R1
2,S4,R1
2,S5,R1
7,S1,R1
7,S2,R1
12,S2,R1
12,S4,R1
12,S5,R1
17,S0,R1
17,S1,R1
17,S4,R1
18,S1,R1
18,S5,R1
21,S0,R1
21,S3,R1
21,S5,R1
22,S0,R1
22,S3,R1
23,S0,R1
23,S1,R1
23,S2,R1
24,S2,R1
24,S3,R1
24,S5,R1
27,S0,R1
27,S1,R1
27,S2,R1
29,S1,R1
32,S2,R1
32,S4,R1
32,S5,R1
33,S2,R1
33,S3,R1
33,S4,R1
35,S2,R1
35,S3,R1
35,S5,R1
36,S1,R1
36,S2,R1
38,S1,R1
38,S4,R1
38,S5,R1
42,S5,R1
44,S1,R1
44,S2,R1
52,S2,R1
53,S2,R1
53,S3,R1
53,S5,R1
54,S0,R1
54,S3,R1
55,S0,R1
55,S1,R1
55,S4,R1
55,S5,R1
57,S0,R1
57,S3,R1
57,S4,R1
58,S0,R1
58,S1,R1
58,S2,R1
58,S5,R1
60,S1,R1
60,S4,R1
63,S5,R1
64,S0,R1
64,S3,R1
66,S1,R1
66,S3,R1
66,S5,R1
71,S1,R1
71,S2,R1
71,S4,R1
71,S5,R1
77,S0,R1
77,S1,R1
82,S1,R1
82,S2,R1
82,S3,R1
85,S0,R1
85,S1,R1
85,S4,R1
92,S1,R1
92,S4,R1
93,S1,R1
93,S3,R1
97,S1,R1
97,S4,R1
97,S5,R1
102,S0,R1
102,S1,R1
102,S5,R1
104,S2,R1
104,S4,R1
110,S3,R1
110,S4,R1
111,S2,R1
111,S3,R1
113,S0,R1
113,S1,R1
114,S1,R1
114,S2,R1
114,S3,R1
122,S0,R1
122,S4,R1
123,S4,R1
123,S5,R1
126,S2,R1
126,S4,R1
128,S2,R1
128,S3,R1
129,S0,R1
129,S1,R1
129,S2,R1
130,S0,R1
130,S1,R1
130,S5,R1
132,S0,R1
132,S2,R1
132,S4,R1
133,S1,R1
133,S2,R1
133,S4,R1
137,S3,R1
138,S0,R1
138,S1,R1
138,S3,R1
150,S3,R1
150,S5,R1
151,S0,R1
151,S1,R1
151,S4,R1
152,S2,R1
152,S5,R1
153,S0,R1
153,S1,R1
153,S3,R1
153,S4,R1
157,S2,R1
157,S4,R1
157,S5,R1
158,S0,R1
158,S2,R1
158,S3,R1
158,S4,R1
159,S1,R1
159,S2,R1
159,S4,R1
161,S1,R1
161,S4,R1
163,S1,R1
163,S5,R1
165,S0,R1
165,S1,R1
165,S2,R1
166,S1,R1
166,S3,R1
167,S2,R1
167,S4,R1
167,S5,R1
170,S0,R1
170,S1,R1
170,S3,R1
170,S5,R1
171,S1,R1
172,S0,R1
172,S1,R1
172,S3,R1
172,S4,R1
173,S4,R1
173,S5,R1
174,S3,R1
174,S5,R1
177,S0,R1
180,S1,R1
180,S2,R1
180,S4,R1
188,S0,R1
188,S1,R1
188,S5,R1
190,S0,R1
190,S2,R1
193,S1,R1
193,S3,R1
194,S3,R1
202,S5,R1
205,S2,R1
205,S5,R1
206,S3,R1
206,S4,R1
207,S2,R1
207,S5,R1
208,S0,R1
208,S4,R1
210,S5,R1
212,S3,R1
219,S2,R1
224,S0,R1
224,S3,R1
225,S1,R1
225,S5,R1
226,S1,R1
226,S2,R1
226,S3,R1
227,S2,R1
227,S4,R1
228,S0,R1
228,S2,R1
229,S1,R1
229,S3,R1
232,S1,R1
232,S2,R1
232,S3,R1
232,S4,R1
234,S1,R1
235,S1,R1
235,S3,R1
236,S2,R1
236,S5,R1
239,S0,R1
239,S2,R1
239,S3,R1
239,S5,R1
249,S2,R1
249,S5,R1
251,S4,R1
251,S5,R1
256,S3,R1
256,S4,R1
256,S5,R1
259,S0,R1
259,S2,R1
259,S5,R1
268,S0,R1
268,S2,R1
272,S0,R1
272,S1,R1
272,S4,R1
272,S5,R1
273,S1,R1
273,S2,R1
273,S4,R1
275,S1,R1
275,S3,R1
275,S5,R1
277,S1,R1
277,S2,R1
277,S4,R1
277,S5,R1
278,S0,R1
278,S1,R1
278,S5,R1
281,S1,R1
281,S2,R1
286,S3,R1
286,S4,R1
290,S2,R1
295,S0,R1
295,S4,R1
295,S5,R1
296,S1,R1
296,S3,R1
296,S5,R1
297,S1,R1
297,S4,R1
298,S3,R1
298,S5,R1
299,S0,R1
299,S3,R1
306,S0,R1
306,S3,R1
306,S4,R1
311,S0,R1
311,S2,R1
311,S3,R1
311,S5,R1
313,S2,R1
313,S3,R1
313,S4,R1
313,S5,R1
318,S0,R1
318,S3,R1
318,S4,R1
318,S5,R1
319,S5,R1
320,S2,R1
320,S3,R1
320,S5,R1
323,S1,R1
323,S2,R1
325,S5,R1
326,S3,R1
326,S4,R1
327,S2,R1
329,S2,R1
329,S3,R1
329,S4,R1
330,S2,R1
330,S4,R1
340,S0,R1
340,S1,R1
340,S2,R1
342,S1,R1
342,S3,R1
342,S5,R1
346,S0,R1
346,S2,R1
346,S5,R1
347,S0,R1
347,S4,R1
347,S5,R1
351,S0,R1
351,S2,R1
351,S4,R1
351,S5,R1
352,S2,R1
352,S3,R1
352,S4,R1
352,S5,R1
353,S0,R1
353,S3,R1
354,S1,R1
354,S3,R1
355,S1,R1
355,S2,R1
355,S3,R1
355,S4,R1
367,S0,R1
367,S3,R1
367,S5,R1
372,S2,R1
372,S5,R1
377,S3,R1
377,S4,R1
381,S2,R1
381,S3,R1
382,S0,R1
384,S2,R1
384,S3,R1
384,S4,R1
388,S3,R1
388,S5,R1
390,S2,R1
390,S4,R1
390,S5,R1
393,S2,R1
393,S4,R1
393,S5,R1
396,S1,R1
396,S3,R1
396,S4,R1
398,S0,R1
398,S4,R1
399,S1,R1
399,S2,R1
399,S5,R1
401,S1,R1
401,S5,R1
407,S0,R1
407,S1,R1
414,S2,R1
414,S4,R1
416,S2,R1
416,S3,R1
416,S4,R1
416,S5,R1
419,S0,R1
419,S3,R1
419,S5,R1
424,S0,R1
424,S1,R1
424,S2,R1
430,S3,R1
430,S5,R1
431,S0,R1
431,S1,R1
431,S3,R1
435,S2,R1
435,S4,R1
435,S5,R1
438,S1,R1
438,S3,R1
438,S5,R1
439,S1,R1
439,S4,R1
440,S1,R1
440,S3,R1
440,S4,R1
442,S0,R1
442,S1,R1
442,S2,R1
444,S1,R1
444,S2,R1
444,S5,R1
446,S1,R1
446,S2,R1
446,S5,R1
447,S0,R1
447,S2,R1
447,S4,R1
447,S5,R1
450,S0,R1
450,S2,R1
452,S2,R1
452,S3,R1
455,S1,R1
457,S1,R1
457,S4,R1
457,S5,R1
459,S0,R1
459,S2,R1
459,S3,R1
459,S5,R1
460,S0,R1
460,S2,R1
460,S4,R1
461,S1,R1
461,S2,R1
461,S4,R1
467,S1,R1
467,S2,R1
467,S3,R1
469,S3,R1
469,S4,R1
470,S1,R1
470,S3,R1
470,S4,R1
470,S5,R1
471,S0,R1
472,S3,R1
476,S0,R1
476,S4,R1
482,S0,R1
482,S4,R1
482,S5,R1
483,S0,R1
483,S3,R1
483,S4,R1
483,S5,R1
488,S0,R1
488,S1,R1
488,S4,R1
489,S2,R1
490,S0,R1
490,S4,R1
493,S5,R1
495,S0,R1
495,S1,R1
495,S2,R1
495,S5,R1
501,S1,R1
501,S5,R1
503,S3,R1
503,S5,R1
504,S2,R1
504,S3,R1
504,S5,R1
507,S1,R1
507,S2,R1
509,S2,R1
509,S3,R1
509,S4,R1
511,S4,R1
515,S3,R1
515,S4,R1
521,S1,R1
521,S0,R1
521,S3,R1
524,S0,R1
524,S2,R1
524,S4,R1
529,S1,R1
529,S0,R1
529,S4,R1
531,S0,R1
531,S2,R1
531,S5,R1
533,S0,R1
533,S3,R1
533,S5,R1
534,S1,R1
534,S2,R1
534,S4,R1
536,S3,R1
536,S4,R1
536,S5,R1
539,S5,R1
542,S0,R1
542,S2,R1
547,S1,R1
547,S2,R1
547,S4,R1
550,S5,R1
556,S1,R1
561,S2,R1
562,S0,R1
562,S2,R1
562,S5,R1
566,S1,R1
566,S0,R1
566,S4,R1
566,S5,R1
569,S2,R1
569,S5,R1
571,S1,R1
575,S4,R1
575,S5,R1
581,S5,R1
582,S2,R1
582,S4,R1
582,S5,R1
584,S2,R1
584,S3,R1
584,S4,R1
586,S1,R1
586,S3,R1
587,S1,R1
587,S3,R1
590,S1,R1
600,S1,R1
600,S3,R1
600,S4,R1
608,S1,R1
608,S3,R1
608,S4,R1
608,S5,R1
611,S0,R1
611,S2,R1
611,S4,R1
612,S1,R1
613,S0,R1
613,S2,R1
617,S0,R1
617,S2,R1
617,S4,R1
621,S2,R1
621,S3,R1
625,S1,R1
625,S2,R1
625,S3,R1
627,S3,R1
627,S5,R1
628,S0,R1
628,S2,R1
628,S3,R1
629,S0,R1
629,S2,R1
629,S5,R1
635,S1,R1
635,S0,R1
635,S3,R1
640,S2,R1
640,S5,R1
642,S2,R1
642,S4,R1
645,S0,R1
647,S1,R1
647,S4,R1
649,S2,R1
649,S4,R1
650,S2,R1
650,S4,R1
650,S5,R1
651,S4,R1
651,S5,R1
652,S0,R1
652,S4,R1
652,S5,R1
658,S0,R1
658,S2,R1
659,S3,R1
659,S4,R1
659,S5,R1
663,S1,R1
663,S4,R1
667,S1,R1
667,S2,R1
670,S2,R1
671,S3,R1
671,S4,R1
681,S0,R1
681,S2,R1
681,S4,R1
683,S4,R1
690,S3,R1
690,S4,R1
698,S1,R1
698,S2,R1
698,S4,R1
700,S0,R1
700,S3,R1
701,S2,R1
701,S3,R1
702,S2,R1
702,S5,R1
703,S5,R1
706,S1,R1
706,S3,R1
706,S4,R1
706,S5,R1
707,S1,R1
707,S2,R1
707,S4,R1
707,S5,R1
710,S4,R1
710,S5,R1
720,S3,R1
720,S4,R1
728,S1,R1
728,S3,R1
728,S4,R1
729,S3,R1
729,S4,R1
732,S2,R1
732,S4,R1
733,S1,R1
733,S2,R1
733,S5,R1
738,S1,R1
738,S0,R1
743,S1,R1
743,S4,R1
744,S1,R1
744,S0,R1
747,S0,R1
747,S3,R1
747,S5,R1
751,S1,R1
751,S0,R1
751,S3,R1
756,S1,R1
757,S0,R1
757,S5,R1
758,S0,R1
758,S3,R1
758,S4,R1
760,S1,R1
760,S3,R1
761,S2,R1
761,S3,R1
761,S4,R1
762,S2,R1
762,S3,R1
762,S4,R1
769,S0,R1
769,S2,R1
769,S3,R1
774,S1,R1
774,S3,R1
778,S1,R1
778,S3,R1
778,S5,R1
780,S0,R1
780,S5,R1
783,S0,R1
783,S4,R1
786,S3,R1
789,S0,R1
789,S2,R1
789,S5,R1
790,S1,R1
790,S2,R1
790,S3,R1
794,S0,R1
794,S4,R1
794,S5,R1
796,S3,R1
796,S4,R1
796,S5,R1
802,S0,R1
802,S3,R1
805,S1,R1
805,S2,R1
805,S3,R1
807,S1,R1
807,S2,R1
809,S4,R1
809,S5,R1
810,S2,R1
810,S3,R1
810,S4,R1
813,S1,R1
813,S0,R1
813,S2,R1
813,S4,R1
815,S1,R1
815,S0,R1
815,S5,R1
816,S1,R1
816,S4,R1
818,S1,R1
818,S0,R1
818,S3,R1
818,S4,R1
820,S2,R1
820,S4,R1
821,S2,R1
821,S3,R1
821,S4,R1
821,S5,R1
822,S3,R1
823,S1,R1
823,S0,R1
823,S2,R1
830,S0,R1
830,S4,R1
831,S1,R1
831,S4,R1
838,S5,R1
839,S1,R1
839,S2,R1
839,S3,R1
840,S1,R1
840,S3,R1
841,S2,R1
841,S3,R1
842,S5,R1
843,S2,R1
843,S5,R1
846,S0,R1
846,S2,R1
846,S5,R1
847,S2,R1
847,S3,R1
848,S2,R1
850,S2,R1
851,S2,R1
851,S3,R1
851,S4,R1
851,S5,R1
853,S0,R1
853,S3,R1
853,S4,R1
853,S5,R1
855,S3,R1
855,S4,R1
857,S1,R1
857,S5,R1
863,S1,R1
864,S1,R1
867,S0,R1
867,S3,R1
868,S1,R1
868,S5,R1
871,S3,R1
871,S4,R1
871,S5,R1
873,S1,R1
875,S0,R1
884,S1,R1
884,S0,R1
887,S4,R1
892,S0,R1
892,S3,R1
892,S5,R1
902,S5,R1
903,S1,R1
903,S2,R1
903,S3,R1
910,S0,R1
910,S3,R1
910,S5,R1
911,S1,R1
911,S0,R1
911,S3,R1
911,S4,R1
912,S2,R1
912,S3,R1
921,S2,R1
921,S3,R1
922,S1,R1
922,S0,R1
922,S2,R1
922,S5,R1
926,S2,R1
926,S3,R1
926,S4,R1
927,S3,R1
927,S5,R1
928,S4,R1
928,S5,R1
932,S1,R1
932,S2,R1
932,S5,R1
933,S4,R1
933,S5,R1
935,S1,R1
935,S2,R1
935,S5,R1
947,S2,R1
947,S3,R1
948,S2,R1
948,S3,R1
950,S1,R1
950,S2,R1
950,S3,R1
950,S5,R1
952,S1,R1
952,S0,R1
952,S3,R1
952,S4,R1
953,S1,R1
953,S0,R1
953,S2,R1
958,S0,R1
958,S2,R1
958,S5,R1
959,S2,R1
959,S3,R1
962,S0,R1
962,S2,R1
962,S4,R1
962,S5,R1
964,S1,R1
964,S0,R1
966,S0,R1
966,S2,R1
966,S4,R1
966,S5,R1
970,S0,R1
970,S3,R1
976,S4,R1
976,S5,R1
977,S1,R1
977,S3,R1
978,S1,R1
978,S2,R1
978,S5,R1
981,S3,R1
981,S4,R1
985,S2,R1
985,S5,R1
986,S1,R1
986,S2,R1
986,S5,R1
990,S1,R1
990,S0,R1
990,S4,R1
990,S5,R1
995,S3,R1
995,S4,R1
995,S5,R1
997,S1,R1
997,S0,R1
997,S3,R1
1002,S2,R1
1002,S4,R1
1005,S2,R1
1005,S0,R1
1005,S1,R1
1005,S4,R1
1008,S2,R1
1008,S5,R1
1010,S2,R1
1010,S3,R1
1010,S4,R1
1011,S2,R1
1011,S3,R1
1011,S5,R1
1012,S2,R1
1012,S5,R1
1016,S2,R1
1018,S0,R1
1018,S1,R1
1018,S3,R1
1030,S2,R1
1030,S3,R1
1031,S0,R1
1031,S4,R1
1036,S2,R1
1036,S0,R1
1036,S4,R1
1037,S4,R1
1040,S2,R1
1040,S1,R1
1040,S3,R1
1040,S5,R1
1041,S2,R1
1041,S0,R1
1041,S4,R1
1042,S2,R1
1042,S1,R1
1042,S3,R1
1043,S2,R1
1043,S0,R1
1043,S3,R1
1045,S1,R1
1045,S3,R1
1045,S5,R1
