ID,sendTo,sentBy
325,S5,R3
479,S1,R3
489,S2,R3
561,S2,R3
576,S1,R3
576,S2,R3
649,S2,R3
649,S4,R3
830,S0,R3
830,S4,R3
1126,S2,R3
2072,S5,R3
2173,S3,R3
2249,S0,R3
2378,S1,R3
2405,S0,R3
2405,S3,R3
2617,S5,R3
2701,S2,R3
2864,S3,R3
8,R0,S3
8,R2,S3
8,R3,S3
9,R5,S3
10,R0,S3
10,R2,S3
10,R4,S3
11,R0,S3
11,R2,S3
11,R3,S3
11,R5,S3
14,R2,S3
21,R1,S3
21,R3,S3
21,R4,S3
22,R0,S3
22,R1,S3
22,R3,S3
22,R4,S3
24,R0,S3
24,R1,S3
24,R4,S3
24,R5,S3
30,R2,S3
30,R4,S3
33,R1,S3
33,R3,S3
33,R4,S3
33,R5,S3
35,R0,S3
35,R1,S3
35,R5,S3
37,R2,S3
37,R5,S3
40,R0,S3
40,R3,S3
40,R5,S3
41,R2,S3
41,R4,S3
41,R5,S3
43,R2,S3
43,R4,S3
45,R4,S3
45,R5,S3
46,R2,S3
46,R5,S3
50,R0,S3
50,R3,S3
50,R5,S3
51,R0,S3
51,R2,S3
53,R0,S3
53,R1,S3
53,R2,S3
54,R1,S3
54,R2,S3
54,R4,S3
56,R2,S3
56,R4,S3
57,R1,S3
57,R2,S3
57,R4,S3
64,R1,S3
65,R0,S3
65,R3,S3
66,R1,S3
66,R3,S3
66,R4,S3
66,R5,S3
70,R0,S3
78,R0,S3
78,R4,S3
82,R1,S3
82,R2,S3
89,R0,S3
89,R4,S3
89,R5,S3
93,R1,S3
93,R2,S3
93,R3,S3
93,R5,S3
94,R0,S3
94,R2,S3
94,R3,S3
94,R4,S3
96,R2,S3
96,R3,S3
98,R0,S3
98,R3,S3
99,R4,S3
106,R2,S3
106,R3,S3
106,R4,S3
106,R5,S3
110,R1,S3
110,R2,S3
111,R1,S3
111,R4,S3
114,R0,S3
114,R1,S3
116,R5,S3
118,R0,S3
118,R4,S3
119,R2,S3
119,R3,S3
119,R5,S3
121,R0,S3
121,R2,S3
127,R4,S3
128,R1,S3
128,R2,S3
128,R4,S3
134,R2,S3
135,R3,S3
137,R1,S3
137,R2,S3
138,R0,S3
138,R1,S3
138,R3,S3
142,R2,S3
143,R0,S3
143,R2,S3
146,R3,S3
