ID,count,sendTo,sentBy
3,1,0,R4
10,1,0,R4
16,1,0,R4
20,1,0,R4
21,1,0,R4
22,1,0,R4
23,1,0,R4
24,1,0,R4
28,1,0,R4
30,2,0,R4
33,1,0,R4
41,1,0,R4
43,1,0,R4
45,1,0,R4
47,1,0,R4
48,1,0,R4
49,1,0,R4
54,1,0,R4
55,1,0,R4
56,1,0,R4
57,2,0,R4
60,1,0,R4
66,1,0,R4
68,1,0,R4
71,2,0,R4
75,2,0,R4
78,2,0,R4
89,1,0,R4
94,1,0,R4
97,1,0,R4
99,1,0,R4
100,1,0,R4
106,1,0,R4
111,1,0,R4
113,1,0,R4
118,1,0,R4
127,1,0,R4
128,2,0,R4
129,2,0,R4
132,1,0,R4
139,1,0,R4
144,2,0,R4
147,2,0,R4
152,1,0,R4
153,1,0,R4
156,1,0,R4
159,1,0,R4
160,2,0,R4
172,1,0,R4
173,1,0,R4
175,1,0,R4
178,1,0,R4
180,1,0,R4
182,1,0,R4
184,1,0,R4
187,1,0,R4
188,1,0,R4
190,1,0,R4
191,1,0,R4
195,3,0,R4
196,1,0,R4
201,2,0,R4
206,1,0,R4
207,1,0,R4
211,2,0,R4
216,1,0,R4
218,1,0,R4
220,2,0,R4
227,2,0,R4
230,1,0,R4
232,1,0,R4
237,1,0,R4
239,1,0,R4
242,1,0,R4
243,1,0,R4
246,1,0,R4
252,1,0,R4
260,1,0,R4
261,2,0,R4
264,2,0,R4
267,1,0,R4
268,2,0,R4
269,1,0,R4
280,1,0,R4
282,1,0,R4
285,2,0,R4
287,1,0,R4
293,1,0,R4
295,1,0,R4
297,1,0,R4
299,1,0,R4
300,1,0,R4
306,1,0,R4
308,1,0,R4
315,1,0,R4
317,1,0,R4
322,1,0,R4
325,1,0,R4
326,1,0,R4
329,2,0,R4
332,1,0,R4
333,2,0,R4
338,1,0,R4
340,1,0,R4
346,1,0,R4
349,1,0,R4
353,1,0,R4
354,2,0,R4
355,1,0,R4
356,3,0,R4
357,1,0,R4
361,1,0,R4
362,1,0,R4
364,1,0,R4
366,1,0,R4
369,1,0,R4
370,1,0,R4
373,1,0,R4
374,1,0,R4
377,1,0,R4
378,1,0,R4
386,1,0,R4
387,1,0,R4
398,1,0,R4
399,1,0,R4
400,1,0,R4
406,1,0,R4
408,1,0,R4
412,1,0,R4
413,1,0,R4
414,1,0,R4
415,2,0,R4
418,1,0,R4
427,1,0,R4
431,1,0,R4
433,1,0,R4
440,1,0,R4
445,1,0,R4
446,1,0,R4
447,1,0,R4
448,1,0,R4
449,2,0,R4
451,1,0,R4
453,2,0,R4
463,1,0,R4
464,1,0,R4
465,2,0,R4
466,1,0,R4
467,2,0,R4
468,1,0,R4
469,1,0,R4
475,1,0,R4
479,1,0,R4
480,1,0,R4
483,1,0,R4
486,1,0,R4
491,1,0,R4
492,1,0,R4
494,1,0,R4
495,1,0,R4
496,1,0,R4
498,1,0,R4
500,1,1,R4
505,1,1,R4
506,1,1,R4
514,1,1,R4
515,1,1,R4
516,1,1,R4
521,1,1,R4
524,1,1,R4
528,1,1,R4
532,1,1,R4
534,1,1,R4
538,1,1,R4
543,2,1,R4
545,1,1,R4
548,2,1,R4
554,1,1,R4
555,1,1,R4
561,1,1,R4
563,1,1,R4
564,1,1,R4
565,1,1,R4
575,1,1,R4
577,2,1,R4
578,1,1,R4
579,1,1,R4
582,1,1,R4
583,1,1,R4
584,1,1,R4
588,1,1,R4
590,1,1,R4
591,1,1,R4
594,1,1,R4
596,2,1,R4
599,1,1,R4
601,1,1,R4
607,1,1,R4
608,1,1,R4
609,2,1,R4
611,1,1,R4
612,1,1,R4
613,1,1,R4
614,1,1,R4
619,1,1,R4
622,1,1,R4
624,1,1,R4
626,1,1,R4
629,1,1,R4
631,1,1,R4
633,1,1,R4
636,3,1,R4
638,1,1,R4
639,2,1,R4
640,1,1,R4
649,1,1,R4
655,1,1,R4
657,1,1,R4
658,1,1,R4
659,1,1,R4
665,1,1,R4
