ID,sendTo,sentBy
2617,S5,R5
2694,S2,R5
2701,S2,R5
2967,S2,R5
2503,R0,S5
2503,R1,S5
2503,R2,S5
2507,R5,S5
2507,R0,S5
2507,R3,S5
2510,R5,S5
2510,R1,S5
2512,R2,S5
2512,R4,S5
2513,R5,S5
2513,R0,S5
2513,R3,S5
2515,R5,S5
2515,R4,S5
2521,R0,S5
2521,R1,S5
2521,R3,S5
2522,R5,S5
2522,R0,S5
2522,R1,S5
2524,R0,S5
2524,R3,S5
2524,R4,S5
2525,R4,S5
2526,R5,S5
2526,R1,S5
2528,R1,S5
2528,R2,S5
2528,R4,S5
2529,R0,S5
2529,R1,S5
2529,R4,S5
2530,R1,S5
2530,R2,S5
2530,R4,S5
2531,R2,S5
2531,R3,S5
2534,R4,S5
2535,R0,S5
2540,R0,S5
2540,R3,S5
2541,R2,S5
2541,R3,S5
2548,R1,S5
2548,R3,S5
2548,R4,S5
2551,R1,S5
2551,R2,S5
2554,R5,S5
2554,R0,S5
2554,R3,S5
2555,R2,S5
2555,R3,S5
2562,R2,S5
2564,R5,S5
2569,R5,S5
2569,R3,S5
2569,R4,S5
2571,R1,S5
2572,R0,S5
2573,R2,S5
2574,R0,S5
2574,R2,S5
2574,R3,S5
2574,R4,S5
2577,R5,S5
2577,R1,S5
2577,R2,S5
2577,R4,S5
2583,R5,S5
2583,R2,S5
2586,R5,S5
2586,R1,S5
2586,R4,S5
2588,R5,S5
2588,R0,S5
2591,R5,S5
2591,R2,S5
2591,R4,S5
2596,R3,S5
2599,R1,S5
2599,R4,S5
2600,R5,S5
2600,R1,S5
2600,R3,S5
2604,R1,S5
2604,R2,S5
2604,R3,S5
2604,R4,S5
2605,R5,S5
2605,R0,S5
2605,R1,S5
2605,R4,S5
2611,R0,S5
2612,R5,S5
2612,R0,S5
2612,R4,S5
2621,R2,S5
2621,R3,S5
2622,R5,S5
2622,R4,S5
2627,R5,S5
2627,R3,S5
2627,R4,S5
2629,R5,S5
2629,R3,S5
2630,R2,S5
2630,R3,S5
2630,R4,S5
2631,R1,S5
2633,R5,S5
2633,R0,S5
2634,R2,S5
2634,R3,S5
2636,R1,S5
2636,R3,S5
2636,R4,S5
2640,R3,S5
2640,R4,S5
2646,R0,S5
2646,R3,S5
2647,R5,S5
2647,R2,S5
2647,R4,S5
2649,R0,S5
2649,R2,S5
2649,R3,S5
2649,R4,S5
2654,R0,S5
2654,R4,S5
2655,R5,S5
2655,R1,S5
2657,R2,S5
2659,R5,S5
2659,R0,S5
2659,R2,S5
2666,R0,S5
2667,R1,S5
2667,R2,S5
2667,R3,S5
2670,R1,S5
2670,R2,S5
2670,R3,S5
2677,R5,S5
2677,R0,S5
2677,R3,S5
2678,R0,S5
2678,R1,S5
2678,R4,S5
2679,R5,S5
2679,R0,S5
2679,R1,S5
2679,R4,S5
2683,R3,S5
2683,R4,S5
2685,R5,S5
2685,R3,S5
2685,R4,S5
2688,R5,S5
2688,R0,S5
2688,R1,S5
2698,R0,S5
2698,R2,S5
2698,R3,S5
2698,R4,S5
2700,R5,S5
2700,R0,S5
2700,R3,S5
2703,R5,S5
2703,R3,S5
2704,R3,S5
2704,R4,S5
2708,R0,S5
2708,R1,S5
2708,R3,S5
2708,R4,S5
2712,R0,S5
2712,R1,S5
2712,R2,S5
2712,R4,S5
2713,R5,S5
2713,R2,S5
2717,R0,S5
2717,R1,S5
2717,R4,S5
2720,R1,S5
2720,R2,S5
2721,R4,S5
2723,R0,S5
2723,R2,S5
2723,R3,S5
2723,R4,S5
2725,R5,S5
2725,R0,S5
2725,R4,S5
2730,R4,S5
2734,R5,S5
2734,R3,S5
2734,R4,S5
2738,R2,S5
2738,R4,S5
2746,R3,S5
2751,R3,S5
2751,R4,S5
2765,R0,S5
2765,R4,S5
2766,R5,S5
2769,R5,S5
2769,R3,S5
2770,R0,S5
2770,R1,S5
2770,R4,S5
2774,R2,S5
2774,R4,S5
2776,R5,S5
2776,R3,S5
2777,R2,S5
2777,R3,S5
2777,R4,S5
2781,R1,S5
2781,R4,S5
2782,R3,S5
2784,R2,S5
2784,R3,S5
2784,R4,S5
2790,R1,S5
2793,R0,S5
2799,R5,S5
2799,R4,S5
2805,R3,S5
2807,R0,S5
2807,R3,S5
2808,R2,S5
2814,R5,S5
2814,R1,S5
2814,R2,S5
2814,R3,S5
2815,R5,S5
2815,R0,S5
2815,R1,S5
2815,R2,S5
2822,R0,S5
2826,R0,S5
2826,R1,S5
2826,R2,S5
2827,R2,S5
2827,R3,S5
2827,R4,S5
2828,R0,S5
2828,R1,S5
2828,R3,S5
2828,R4,S5
2829,R0,S5
2831,R5,S5
2831,R0,S5
2831,R2,S5
2831,R4,S5
2833,R1,S5
2833,R2,S5
2836,R5,S5
2836,R3,S5
2838,R0,S5
2838,R1,S5
2841,R0,S5
2841,R1,S5
2841,R3,S5
2841,R4,S5
2843,R5,S5
2843,R0,S5
2843,R2,S5
2847,R1,S5
2847,R4,S5
2851,R0,S5
2851,R1,S5
2858,R5,S5
2858,R0,S5
2858,R3,S5
2858,R4,S5
2863,R2,S5
2863,R4,S5
2865,R5,S5
2865,R0,S5
2865,R2,S5
2865,R3,S5
2866,R5,S5
2866,R4,S5
2867,R0,S5
2867,R3,S5
2867,R4,S5
2870,R5,S5
2870,R3,S5
2870,R4,S5
2874,R1,S5
2874,R3,S5
2884,R0,S5
2884,R1,S5
2884,R4,S5
2889,R1,S5
2889,R2,S5
2890,R1,S5
2890,R4,S5
2891,R0,S5
2891,R1,S5
2891,R4,S5
2892,R5,S5
2892,R0,S5
2892,R4,S5
2893,R1,S5
2893,R2,S5
2893,R3,S5
2897,R1,S5
2897,R2,S5
2897,R4,S5
2898,R2,S5
2898,R3,S5
2899,R5,S5
2899,R1,S5
2899,R2,S5
2901,R5,S5
2901,R1,S5
2901,R2,S5
2901,R3,S5
2903,R5,S5
2903,R4,S5
2904,R5,S5
2904,R2,S5
2907,R5,S5
2907,R1,S5
2907,R2,S5
2909,R0,S5
2911,R3,S5
2915,R5,S5
2915,R0,S5
2918,R1,S5
2918,R3,S5
2918,R4,S5
2920,R0,S5
2920,R3,S5
2923,R2,S5
2924,R5,S5
2924,R1,S5
2924,R4,S5
2930,R0,S5
2930,R2,S5
2932,R5,S5
2932,R0,S5
2935,R4,S5
2937,R0,S5
2937,R2,S5
2937,R4,S5
2939,R5,S5
2939,R1,S5
2939,R3,S5
2940,R1,S5
2940,R3,S5
2940,R4,S5
2941,R5,S5
2941,R2,S5
2941,R4,S5
2944,R5,S5
2944,R0,S5
2944,R3,S5
2952,R4,S5
2954,R2,S5
2954,R3,S5
2955,R5,S5
2957,R0,S5
2957,R1,S5
2963,R4,S5
2965,R0,S5
2965,R1,S5
2965,R3,S5
2965,R4,S5
2969,R2,S5
2969,R3,S5
2981,R5,S5
2981,R0,S5
2981,R1,S5
2982,R3,S5
2982,R4,S5
2983,R5,S5
2983,R0,S5
2983,R4,S5
2985,R5,S5
2985,R1,S5
2985,R3,S5
2987,R0,S5
2987,R2,S5
2987,R4,S5
2991,R0,S5
2991,R2,S5
2994,R5,S5
2994,R3,S5
2996,R5,S5
2996,R1,S5
2996,R2,S5
2998,R5,S5
2998,R1,S5
2998,R3,S5
2701,S2,R0
2864,S3,R0
2967,S2,R0
2500,R5,S0
2500,R3,S0
2503,R0,S0
2503,R1,S0
2503,R2,S0
2505,R1,S0
2505,R3,S0
2506,R2,S0
2507,R5,S0
2507,R0,S0
2507,R3,S0
2513,R5,S0
2513,R0,S0
2513,R3,S0
2517,R5,S0
2517,R4,S0
2518,R5,S0
2518,R1,S0
2524,R0,S0
2524,R3,S0
2524,R4,S0
2527,R4,S0
2531,R2,S0
2531,R3,S0
2533,R0,S0
2533,R1,S0
2539,R1,S0
2550,R1,S0
2552,R0,S0
2552,R2,S0
2555,R2,S0
2555,R3,S0
2556,R5,S0
2556,R3,S0
2560,R0,S0
2560,R1,S0
2560,R2,S0
2560,R3,S0
2567,R5,S0
2567,R1,S0
2567,R2,S0
2571,R1,S0
2574,R0,S0
2574,R2,S0
2574,R3,S0
2574,R4,S0
2575,R5,S0
2575,R0,S0
2575,R2,S0
2576,R0,S0
2576,R1,S0
2577,R5,S0
2577,R1,S0
2577,R2,S0
2577,R4,S0
2579,R1,S0
2579,R2,S0
2579,R3,S0
2583,R5,S0
2583,R2,S0
2584,R2,S0
2584,R3,S0
2586,R5,S0
2586,R1,S0
2586,R4,S0
2592,R4,S0
2594,R0,S0
2594,R4,S0
2597,R0,S0
2597,R2,S0
2597,R3,S0
2598,R5,S0
2598,R2,S0
2599,R1,S0
2599,R4,S0
2603,R3,S0
2603,R4,S0
2604,R1,S0
2604,R2,S0
2604,R3,S0
2604,R4,S0
2605,R5,S0
2605,R0,S0
2605,R1,S0
2605,R4,S0
2607,R5,S0
2607,R1,S0
2607,R3,S0
2609,R5,S0
2609,R4,S0
2615,R1,S0
2615,R2,S0
2615,R3,S0
2618,R0,S0
2618,R2,S0
2618,R3,S0
2622,R5,S0
2622,R4,S0
