ID,count,sendTo,sentBy
1002,1,2,R0
1003,1,2,R0
1009,1,2,R0
1012,1,2,R0
1013,1,2,R0
1014,1,2,R0
1027,1,2,R0
1030,1,2,R0
1031,3,2,R0
1032,1,2,R0
1033,1,2,R0
1034,1,2,R0
1036,1,2,R0
1038,1,2,R0
1039,1,2,R0
1040,1,2,R0
1043,1,2,R0
1046,1,2,R0
1048,1,2,R0
1054,1,2,R0
1055,2,2,R0
1063,1,2,R0
1064,1,2,R0
1076,1,2,R0
1078,1,2,R0
1079,1,2,R0
1080,1,2,R0
1083,1,2,R0
1086,1,2,R0
1088,1,2,R0
1089,2,2,R0
1091,1,2,R0
1093,1,2,R0
1094,1,2,R0
1101,1,2,R0
1110,1,2,R0
1111,1,2,R0
1112,1,2,R0
1113,1,2,R0
1118,1,2,R0
1121,1,2,R0
1123,1,2,R0
1124,1,2,R0
1125,1,2,R0
1129,1,2,R0
1130,1,2,R0
1131,1,2,R0
1133,1,2,R0
1138,1,2,R0
1141,1,2,R0
1143,2,2,R0
1145,2,2,R0
1147,1,2,R0
1153,1,2,R0
1154,1,2,R0
1156,1,2,R0
1158,1,2,R0
1162,2,2,R0
1168,1,2,R0
1170,1,2,R0
1182,1,2,R0
1188,1,2,R0
1192,1,2,R0
1195,2,2,R0
1196,1,2,R0
1204,2,2,R0
1211,2,2,R0
1218,1,2,R0
1223,1,2,R0
1224,1,2,R0
1225,1,2,R0
1228,1,2,R0
1229,1,2,R0
1231,1,2,R0
1234,1,2,R0
1235,1,2,R0
1237,1,2,R0
1241,2,2,R0
1244,1,2,R0
1245,1,2,R0
1249,1,2,R0
1250,2,2,R0
1251,2,2,R0
1257,1,2,R0
1258,1,2,R0
1263,1,2,R0
1271,1,2,R0
1273,1,2,R0
1274,1,2,R0
1275,1,2,R0
1277,1,2,R0
1279,1,2,R0
1280,1,2,R0
1286,1,2,R0
1288,2,2,R0
1300,1,2,R0
1304,1,2,R0
1309,1,2,R0
1313,1,2,R0
1315,1,2,R0
1316,1,2,R0
1317,1,2,R0
1320,1,2,R0
1327,1,2,R0
1333,1,2,R0
1337,1,2,R0
1340,1,2,R0
1341,1,2,R0
1342,1,2,R0
1345,1,2,R0
1347,2,2,R0
1348,1,2,R0
1355,1,2,R0
1359,1,2,R0
1368,1,2,R0
1370,1,2,R0
1371,1,2,R0
1373,1,2,R0
1379,1,2,R0
1386,1,2,R0
1392,1,2,R0
1394,1,2,R0
1395,1,2,R0
1397,1,2,R0
1398,1,2,R0
1402,1,2,R0
1404,1,2,R0
1405,2,2,R0
1406,1,2,R0
1414,1,2,R0
1417,1,2,R0
1419,1,2,R0
1428,1,2,R0
1435,1,2,R0
1436,1,2,R0
1439,1,2,R0
1442,1,2,R0
1443,1,2,R0
1447,1,2,R0
1450,2,2,R0
1454,1,2,R0
1460,1,2,R0
1461,2,2,R0
1463,1,2,R0
1464,1,2,R0
1466,1,2,R0
1467,1,2,R0
1470,2,2,R0
1472,1,2,R0
1475,1,2,R0
1482,2,2,R0
1485,2,2,R0
1486,1,2,R0
1494,1,2,R0
1497,1,2,R0
1000,1,2,S0
1006,1,2,S0
1008,2,2,S0
1009,1,2,S0
1011,1,2,S0
1012,1,2,S0
1015,1,2,S0
1021,1,2,S0
1023,1,2,S0
1028,1,2,S0
1031,1,2,S0
1033,1,2,S0
1034,1,2,S0
1037,1,2,S0
1038,1,2,S0
1040,1,2,S0
1042,1,2,S0
1043,1,2,S0
1048,2,2,S0
1049,1,2,S0
1052,1,2,S0
1054,1,2,S0
1055,1,2,S0
1056,1,2,S0
1062,1,2,S0
1066,1,2,S0
1071,1,2,S0
1079,1,2,S0
1081,1,2,S0
1082,2,2,S0
1093,1,2,S0
1094,1,2,S0
1095,1,2,S0
1100,1,2,S0
1102,1,2,S0
1103,1,2,S0
1104,1,2,S0
1108,1,2,S0
1109,1,2,S0
1110,1,2,S0
1112,3,2,S0
1114,1,2,S0
1116,1,2,S0
1120,3,2,S0
1121,1,2,S0
1132,1,2,S0
1134,1,2,S0
1142,1,2,S0
1147,1,2,S0
1148,2,2,S0
1152,1,2,S0
1156,1,2,S0
1158,1,2,S0
1159,1,2,S0
1160,1,2,S0
1161,1,2,S0
1162,1,2,S0
1166,1,2,S0
1167,1,2,S0
1175,1,2,S0
1176,1,2,S0
1178,1,2,S0
1179,2,2,S0
1184,1,2,S0
1188,2,2,S0
1191,1,2,S0
1193,1,2,S0
1195,1,2,S0
1196,1,2,S0
1199,1,2,S0
1200,1,2,S0
1203,1,2,S0
1205,1,2,S0
1206,1,2,S0
1207,1,2,S0
1214,1,2,S0
1215,2,2,S0
1223,1,2,S0
1227,1,2,S0
1230,1,2,S0
1231,1,2,S0
1234,1,2,S0
1236,1,2,S0
1241,1,2,S0
1242,1,2,S0
1255,1,2,S0
1256,1,2,S0
1259,1,2,S0
1261,1,2,S0
1262,1,2,S0
1266,2,2,S0
1270,1,2,S0
1273,1,2,S0
1277,1,2,S0
1279,3,2,S0
1283,1,2,S0
1286,1,2,S0
1288,1,2,S0
1292,1,2,S0
1293,1,2,S0
1296,1,2,S0
1298,1,2,S0
1300,2,2,S0
1302,1,2,S0
1303,1,2,S0
1305,1,2,S0
1308,1,2,S0
1311,1,2,S0
1313,1,2,S0
1315,1,2,S0
1320,2,2,S0
1323,1,2,S0
1327,1,2,S0
1334,1,2,S0
1336,1,2,S0
1337,2,2,S0
1343,1,2,S0
1344,2,2,S0
1358,1,2,S0
1360,1,2,S0
1361,1,2,S0
1363,1,2,S0
1364,1,2,S0
1369,2,2,S0
1379,1,2,S0
1380,1,2,S0
1383,1,2,S0
1386,1,2,S0
1387,1,2,S0
1388,1,2,S0
1389,1,2,S0
1393,1,2,S0
1405,1,2,S0
1412,1,2,S0
1416,1,2,S0
1417,1,2,S0
1418,1,2,S0
1429,2,2,S0
1430,1,2,S0
1435,1,2,S0
1436,1,2,S0
1437,1,2,S0
1442,3,2,S0
1447,1,2,S0
1448,1,2,S0
1450,1,2,S0
1452,1,2,S0
1453,1,2,S0
1454,1,2,S0
1458,2,2,S0
1461,1,2,S0
1463,1,2,S0
1466,1,2,S0
1469,1,2,S0
1470,2,2,S0
1471,1,2,S0
1475,1,2,S0
1476,1,2,S0
1478,2,2,S0
1479,1,2,S0
1481,2,2,S0
1488,1,2,S0
1491,1,2,S0
1493,1,2,S0
1494,1,2,S0
1496,2,2,S0
1497,1,2,S0
1003,1,2,R1
1010,1,2,R1
1014,1,2,R1
1022,2,2,R1
1023,1,2,R1
1025,2,2,R1
1030,1,2,R1
1033,1,2,R1
1036,1,2,R1
1037,1,2,R1
1038,1,2,R1
1040,1,2,R1
1041,1,2,R1
1043,1,2,R1
1045,1,2,R1
1046,1,2,R1
1051,1,2,R1
1056,1,2,R1
1058,1,2,R1
1060,1,2,R1
1062,1,2,R1
1064,1,2,R1
1066,1,2,R1
1068,1,2,R1
1070,1,2,R1
1071,1,2,R1
1073,1,2,R1
1075,1,2,R1
1076,1,2,R1
1078,1,2,R1
1089,1,2,R1
1094,1,2,R1
1095,1,2,R1
1100,2,2,R1
1102,1,2,R1
1109,1,2,R1
1112,1,2,R1
1114,1,2,R1
1117,1,2,R1
1121,1,2,R1
1125,1,2,R1
1126,1,2,R1
1132,1,2,R1
1134,1,2,R1
1144,1,2,R1
1146,1,2,R1
1147,1,2,R1
1150,1,2,R1
1151,1,2,R1
1153,2,2,R1
1158,1,2,R1
1159,1,2,R1
1164,1,2,R1
1165,1,2,R1
1170,1,2,R1
1172,1,2,R1
1175,3,2,R1
1176,1,2,R1
1177,2,2,R1
1178,1,2,R1
1179,1,2,R1
1180,1,2,R1
1188,1,2,R1
1189,1,2,R1
1191,1,2,R1
1194,2,2,R1
1195,1,2,R1
1196,2,2,R1
1198,1,2,R1
1201,1,2,R1
1204,1,2,R1
1205,1,2,R1
1209,2,2,R1
1214,2,2,R1
1215,1,2,R1
1226,1,2,R1
1227,1,2,R1
1230,2,2,R1
1236,1,2,R1
1238,1,2,R1
1239,1,2,R1
1244,3,2,R1
1253,1,2,R1
1254,1,2,R1
1255,1,2,R1
1256,2,2,R1
1262,1,2,R1
1264,1,2,R1
1267,1,2,R1
1270,1,2,R1
1275,1,2,R1
1277,2,2,R1
1279,1,2,R1
1281,1,2,R1
1283,1,2,R1
1284,1,2,R1
1286,1,2,R1
1293,1,2,R1
1298,1,2,R1
1299,1,2,R1
1300,1,2,R1
1301,1,2,R1
1304,1,2,R1
1305,1,2,R1
1306,1,2,R1
1308,2,2,R1
1310,1,2,R1
1314,1,2,R1
1316,1,2,R1
1318,1,2,R1
1324,1,2,R1
1325,1,2,R1
1326,1,2,R1
1329,1,2,R1
1335,1,2,R1
1336,1,2,R1
1338,1,2,R1
1339,1,2,R1
1343,1,2,R1
1344,1,2,R1
1346,1,2,R1
1350,1,2,R1
1352,1,2,R1
1363,1,2,R1
1364,1,2,R1
1366,1,2,R1
1371,1,2,R1
1372,2,2,R1
1373,1,2,R1
1377,1,2,R1
1378,1,2,R1
1385,1,2,R1
1391,1,2,R1
1395,1,2,R1
1398,1,2,R1
1399,1,2,R1
1401,2,2,R1
1403,1,2,R1
1404,1,2,R1
1405,1,2,R1
1410,2,2,R1
1411,1,2,R1
1415,1,2,R1
1419,1,2,R1
1421,1,2,R1
1423,2,2,R1
1424,1,2,R1
1425,1,2,R1
1429,1,2,R1
1431,1,2,R1
1432,1,2,R1
1435,1,2,R1
1437,1,2,R1
1438,1,2,R1
1452,1,2,R1
1453,2,2,R1
1454,2,2,R1
1456,1,2,R1
1457,1,2,R1
1460,1,2,R1
1462,1,2,R1
1466,2,2,R1
1468,1,2,R1
1472,1,2,R1
1473,1,2,R1
1475,2,2,R1
1476,1,2,R1
1481,1,2,R1
1482,2,2,R1
1489,1,2,R1
1493,1,2,R1
1498,1,2,R1
1499,1,2,R1
1000,1,2,S1
1001,1,2,S1
1004,1,2,S1
1005,1,2,S1
1008,1,2,S1
1010,1,2,S1
1012,1,2,S1
1013,2,2,S1
1018,1,2,S1
1022,2,2,S1
1025,1,2,S1
1030,1,2,S1
1031,1,2,S1
1035,1,2,S1
1037,1,2,S1
1038,1,2,S1
1042,1,2,S1
1047,1,2,S1
1050,3,2,S1
1053,1,2,S1
1054,1,2,S1
1055,1,2,S1
1056,1,2,S1
1057,1,2,S1
1058,1,2,S1
1063,1,2,S1
1066,1,2,S1
1071,1,2,S1
1072,1,2,S1
1073,2,2,S1
1076,2,2,S1
1078,1,2,S1
1080,1,2,S1
1090,1,2,S1
1094,2,2,S1
1097,1,2,S1
1099,1,2,S1
1101,1,2,S1
1103,1,2,S1
1106,1,2,S1
1112,1,2,S1
1118,1,2,S1
1123,1,2,S1
1125,1,2,S1
1126,1,2,S1
1131,1,2,S1
1135,1,2,S1
1136,1,2,S1
1137,1,2,S1
1140,1,2,S1
1141,1,2,S1
1145,1,2,S1
1146,1,2,S1
1150,1,2,S1
1151,1,2,S1
1155,1,2,S1
1158,1,2,S1
1165,1,2,S1
1166,1,2,S1
1170,1,2,S1
1171,1,2,S1
1172,1,2,S1
1174,1,2,S1
1175,2,2,S1
1178,1,2,S1
1180,2,2,S1
1181,1,2,S1
1188,1,2,S1
1193,1,2,S1
1194,1,2,S1
1195,1,2,S1
1201,1,2,S1
1202,2,2,S1
1205,1,2,S1
1212,1,2,S1
1216,1,2,S1
1217,2,2,S1
1219,1,2,S1
1221,2,2,S1
1222,1,2,S1
1223,1,2,S1
1225,1,2,S1
1232,1,2,S1
1233,1,2,S1
1238,1,2,S1
1241,1,2,S1
1242,1,2,S1
1244,3,2,S1
1250,2,2,S1
1253,1,2,S1
1254,1,2,S1
1255,3,2,S1
1256,2,2,S1
1258,1,2,S1
1260,1,2,S1
1261,1,2,S1
1262,1,2,S1
1263,2,2,S1
1271,1,2,S1
1274,1,2,S1
1278,1,2,S1
1281,1,2,S1
1284,1,2,S1
1287,1,2,S1
1294,1,2,S1
1295,1,2,S1
1297,1,2,S1
1299,1,2,S1
1301,1,2,S1
1304,2,2,S1
1307,1,2,S1
1308,1,2,S1
1309,1,2,S1
1311,1,2,S1
1312,1,2,S1
1316,1,2,S1
1320,1,2,S1
1321,1,2,S1
1323,1,2,S1
1324,1,2,S1
1326,1,2,S1
1327,1,2,S1
1329,1,2,S1
1342,1,2,S1
1343,1,2,S1
1345,1,2,S1
1346,1,2,S1
1351,1,2,S1
1353,1,2,S1
1355,1,2,S1
1356,1,2,S1
1357,1,2,S1
1362,1,2,S1
1364,1,2,S1
1365,1,2,S1
1367,1,2,S1
1369,1,2,S1
1375,1,2,S1
1381,1,2,S1
1382,1,2,S1
1385,1,2,S1
1386,1,2,S1
1389,1,2,S1
1393,1,2,S1
1394,1,2,S1
1395,1,2,S1
1400,1,2,S1
1402,1,2,S1
