ID,count,sendTo,sentBy
0,2,0,R2
1,2,0,R2
6,2,0,R2
9,1,0,R2
12,1,0,R2
13,1,0,R2
19,1,0,R2
21,1,0,R2
22,1,0,R2
26,1,0,R2
31,1,0,R2
33,1,0,R2
35,1,0,R2
42,1,0,R2
49,1,0,R2
52,1,0,R2
53,1,0,R2
54,1,0,R2
60,1,0,R2
65,1,0,R2
77,1,0,R2
78,1,0,R2
81,1,0,R2
88,1,0,R2
90,1,0,R2
91,1,0,R2
95,1,0,R2
96,1,0,R2
98,1,0,R2
101,1,0,R2
106,1,0,R2
120,1,0,R2
122,1,0,R2
125,1,0,R2
126,2,0,R2
129,1,0,R2
130,1,0,R2
131,1,0,R2
133,1,0,R2
134,1,0,R2
135,1,0,R2
136,1,0,R2
141,1,0,R2
148,2,0,R2
149,1,0,R2
150,1,0,R2
155,1,0,R2
159,1,0,R2
160,1,0,R2
164,1,0,R2
165,1,0,R2
169,1,0,R2
174,1,0,R2
180,1,0,R2
185,1,0,R2
186,1,0,R2
189,1,0,R2
190,1,0,R2
199,1,0,R2
200,1,0,R2
201,1,0,R2
204,1,0,R2
205,1,0,R2
206,1,0,R2
209,1,0,R2
217,1,0,R2
218,2,0,R2
220,1,0,R2
221,1,0,R2
223,2,0,R2
228,3,0,R2
231,2,0,R2
232,1,0,R2
234,1,0,R2
235,1,0,R2
239,1,0,R2
243,1,0,R2
244,1,0,R2
247,1,0,R2
257,1,0,R2
258,1,0,R2
261,2,0,R2
263,1,0,R2
264,2,0,R2
265,1,0,R2
268,2,0,R2
269,1,0,R2
270,1,0,R2
272,1,0,R2
276,1,0,R2
284,1,0,R2
288,1,0,R2
290,1,0,R2
292,1,0,R2
296,1,0,R2
299,1,0,R2
300,1,0,R2
302,1,0,R2
304,1,0,R2
307,1,0,R2
308,1,0,R2
309,1,0,R2
311,1,0,R2
312,1,0,R2
313,1,0,R2
314,1,0,R2
316,2,0,R2
317,1,0,R2
320,1,0,R2
324,1,0,R2
332,1,0,R2
334,2,0,R2
336,1,0,R2
339,2,0,R2
340,1,0,R2
343,1,0,R2
345,1,0,R2
347,1,0,R2
348,1,0,R2
350,1,0,R2
352,2,0,R2
357,1,0,R2
359,2,0,R2
360,1,0,R2
361,1,0,R2
374,1,0,R2
375,1,0,R2
378,1,0,R2
380,1,0,R2
382,1,0,R2
383,1,0,R2
384,1,0,R2
391,1,0,R2
392,1,0,R2
393,1,0,R2
396,1,0,R2
403,1,0,R2
406,1,0,R2
409,1,0,R2
410,1,0,R2
413,1,0,R2
416,1,0,R2
417,1,0,R2
419,1,0,R2
425,2,0,R2
426,1,0,R2
427,1,0,R2
432,1,0,R2
433,1,0,R2
437,2,0,R2
438,1,0,R2
439,1,0,R2
453,1,0,R2
454,1,0,R2
455,2,0,R2
468,1,0,R2
474,2,0,R2
475,1,0,R2
476,1,0,R2
478,1,0,R2
480,1,0,R2
481,1,0,R2
483,1,0,R2
484,1,0,R2
485,1,0,R2
494,1,0,R2
495,1,0,R2
497,1,0,R2
498,1,0,R2
499,1,0,R2
500,1,1,R2
501,1,1,R2
508,1,1,R2
510,1,1,R2
513,1,1,R2
516,1,1,R2
518,1,1,R2
521,1,1,R2
523,1,1,R2
524,1,1,R2
528,1,1,R2
529,1,1,R2
