ID,payload,sendTo
16,Etta,S4
33,Joseph,S4
45,Maritza,S4
69,Toya,S4
123,Linda,S4
217,Melanie,S4
228,Charles,S4
230,Betty,S4
242,Diane,S4
249,Jimmie‖Ione,S4
253,Sammy,S4
282,Juliette,S4
311,Lorraine,S4
371,Richard,S4
381,William,S4
393,Ralph,S4
416,Ruben,S4
454,Earl,S4
538,Dianna,S4
548,Ezekiel,S4
588,Margeret,S4
598,Gary,S4
610,Luke,S4
620,Adolph,S4
628,Mary,S4
637,Frederick,S4
652,James,S4
673,Leo‖Michael,S4
750,Shawn,S4
803,Brittany,S4
806,Randall,S4
850,Lindsey,S4
876,Mike,S4
992,Margaret,S4
1060,Betty,S4
1063,Nancy,S4
1072,Katrina,S4
1092,Barbara,S4
1165,Paul,S4
1225,Kristi,S4
1288,Ashley,S4
1294,Gabriel,S4
1311,Nora,S4
1340,Rosa,S4
1361,Jack,S4
1403,Jeremiah,S4
1424,Jim,S4
1443,Anthony,S4
1463,Vera,S4
1549,Helen,S4
1559,Donna,S4
1604,Richard,S4
1695,Frank,S4
1728,Nicole,S4
1733,Steven,S4
1787,Carl,S4
1850,Walter,S4
1930,Howard,S4
1931,Jason,S4
1940,Juan,S4
1975,Albert,S4
1991,Charles,S4
2001,Lorena,S4
2010,Charles,S4
2015,Larry,S4
2018,Milton,S4
2052,Jason,S4
2071,Joseph,S4
2088,Jacob,S4
2097,Earle,S4
2122,Tracie,S4
2129,Gary,S4
2146,Casey,S4
2158,Gale,S4
2185,Allen‖Vickie,S4
2189,Bernard,S4
2248,Lenora,S4
2268,Mary‖Fredrick,S4
2380,John,S4
2408,Benjamin,S4
2411,Lenita,S4
2466,Brett,S4
2537,John,S4
2576,Robert,S4
2596,Jill,S4
2605,Maria,S4
2620,Bonnie,S4
2665,Ella,S4
2671,Virginia,S4
2690,Colin,S4
2753,Eugene,S4
2756,Wanda,S4
2762,Christopher,S4
2828,Carla,S4
2996,Annice‖Penny,S4
14,Claudia,S4
33,Jason,S4
45,Roberto,S4
90,Rosemary,S4
169,Harriet‖Patricia,S4
187,Charles,S4
211,Ashley,S4
223,Christopher,S4
242,Ray,S4
246,Rosita,S4
264,Nicholas,S4
277,Ava,S4
282,Jennie,S4
307,Cindy,S4
311,Jasmine‖John,S4
316,Sandra,S4
366,Austin,S4
381,Gisela,S4
393,Cassandra,S4
441,Willie,S4
454,Joseph,S4
456,Raymond,S4
475,David,S4
485,Douglas,S4
525,Chester,S4
548,Walter,S4
588,Emma,S4
598,Marvin,S4
601,Joan,S4
609,Tonya,S4
610,Laurie,S4
620,Dan,S4
628,Richard,S4
637,Elizabeth,S4
728,William,S4
806,Marie,S4
814,Thomas,S4
834,Joseph,S4
876,Jason,S4
908,Ramona,S4
986,Douglas,S4
1060,Herman,S4
1072,Stacey,S4
1159,Thomas,S4
1212,Jennifer,S4
1217,Anne,S4
1225,Beverley,S4
1263,Randolph,S4
1287,Marilyn,S4
1288,Barbara‖Marian,S4
1294,Jack,S4
1340,Michael,S4
1343,Caroline,S4
1424,Hazel,S4
1434,Nathaniel,S4
1443,Dana,S4
1446,Linda,S4
1549,Jorge,S4
1571,Judith,S4
1581,Donna,S4
1604,Raymond,S4
1728,Leo‖Charles,S4
1777,Russell,S4
1787,Monica,S4
1843,Robert,S4
1850,Priscilla‖Elva,S4
1853,Tim,S4
1930,Jesse,S4
1931,Steven,S4
1961,Judith,S4
1994,Jeanette,S4
2001,Michael,S4
2008,Bruno,S4
2010,Kelly,S4
2015,Perry,S4
2016,Janelle,S4
2046,Edward,S4
2052,Cecilia,S4
2088,George,S4
2101,Stephanie,S4
2158,Jackie,S4
2188,Donna,S4
2223,Kathleen,S4
2236,Terry,S4
2331,Loretta,S4
2406,Jeffrey‖Jennifer,S4
2408,William,S4
2411,Leonard,S4
2422,Charles,S4
2440,Darrel,S4
2447,Sally,S4
2466,Arthur,S4
