ID,sendTo,sentBy
10,S1,R5
10,S2,R5
14,S4,R5
39,S0,R5
42,S0,R5
42,S5,R5
43,S2,R5
43,S5,R5
45,S1,R5
45,S4,R5
45,S5,R5
54,S0,R5
54,S3,R5
54,S5,R5
69,S2,R5
69,S3,R5
69,S4,R5
79,S2,R5
79,S3,R5
90,S2,R5
90,S3,R5
90,S4,R5
102,S3,R5
102,S5,R5
156,S0,R5
156,S5,R5
169,S1,R5
169,S4,R5
174,S0,R5
187,S4,R5
191,S1,R5
191,S3,R5
191,S5,R5
203,S2,R5
203,S3,R5
203,S5,R5
208,S1,R5
208,S4,R5
209,S4,R5
211,S0,R5
211,S3,R5
211,S4,R5
216,S1,R5
216,S3,R5
217,S0,R5
217,S4,R5
224,S0,R5
224,S1,R5
224,S5,R5
230,S1,R5
230,S2,R5
230,S4,R5
246,S1,R5
246,S4,R5
246,S5,R5
253,S2,R5
253,S4,R5
258,S5,R5
266,S0,R5
266,S2,R5
266,S3,R5
277,S3,R5
277,S4,R5
277,S5,R5
281,S1,R5
281,S2,R5
282,S1,R5
282,S3,R5
282,S4,R5
284,S3,R5
284,S5,R5
285,S0,R5
285,S3,R5
301,S0,R5
301,S2,R5
306,S0,R5
306,S1,R5
306,S5,R5
307,S2,R5
307,S4,R5
307,S5,R5
311,S2,R5
311,S4,R5
316,S0,R5
316,S3,R5
316,S4,R5
321,S1,R5
321,S2,R5
334,S1,R5
334,S2,R5
334,S5,R5
366,S3,R5
366,S4,R5
371,S1,R5
371,S4,R5
373,S1,R5
373,S3,R5
373,S5,R5
375,S0,R5
375,S2,R5
375,S5,R5
378,S1,R5
378,S2,R5
387,S1,R5
387,S5,R5
391,S0,R5
391,S1,R5
391,S3,R5
393,S0,R5
393,S1,R5
393,S4,R5
418,S2,R5
418,S5,R5
427,S1,R5
427,S2,R5
434,S0,R5
434,S1,R5
434,S5,R5
441,S3,R5
441,S4,R5
452,S0,R5
452,S3,R5
454,S2,R5
454,S4,R5
469,S1,R5
469,S2,R5
485,S2,R5
485,S4,R5
496,S0,R5
498,S0,R5
498,S2,R5
508,S0,R5
508,S2,R5
510,S0,R5
510,S5,R5
538,S0,R5
538,S4,R5
538,S5,R5
548,S2,R5
548,S4,R5
548,S5,R5
554,S1,R5
554,S5,R5
565,S1,R5
568,S2,R5
568,S4,R5
569,S1,R5
569,S2,R5
569,S3,R5
609,S2,R5
609,S4,R5
610,S1,R5
610,S3,R5
610,S4,R5
620,S0,R5
620,S3,R5
620,S4,R5
631,S1,R5
631,S0,R5
631,S5,R5
637,S2,R5
637,S4,R5
637,S5,R5
652,S0,R5
652,S2,R5
652,S4,R5
655,S2,R5
655,S3,R5
655,S5,R5
662,S4,R5
662,S5,R5
684,S1,R5
684,S2,R5
684,S3,R5
691,S0,R5
691,S3,R5
705,S3,R5
780,S3,R5
780,S4,R5
803,S1,R5
803,S4,R5
803,S5,R5
806,S0,R5
806,S2,R5
806,S4,R5
827,S1,R5
827,S0,R5
835,S0,R5
835,S2,R5
838,S1,R5
862,S1,R5
862,S0,R5
862,S4,R5
868,S2,R5
874,S5,R5
889,S0,R5
889,S3,R5
908,S0,R5
908,S4,R5
908,S5,R5
916,S0,R5
916,S2,R5
916,S5,R5
919,S1,R5
919,S2,R5
922,S2,R5
922,S3,R5
926,S3,R5
946,S1,R5
946,S2,R5
946,S3,R5
949,S2,R5
963,S0,R5
963,S2,R5
986,S4,R5
986,S5,R5
988,S3,R5
988,S5,R5
992,S0,R5
992,S4,R5
992,S5,R5
993,S0,R5
993,S2,R5
993,S5,R5
1049,S4,R5
1049,S5,R5
1060,S3,R5
1060,S4,R5
1064,S0,R5
1064,S5,R5
1072,S0,R5
1072,S3,R5
1072,S4,R5
1078,S0,R5
1078,S5,R5
1081,S0,R5
1081,S3,R5
1092,S1,R5
1092,S4,R5
1092,S5,R5
1119,S0,R5
1142,S0,R5
1142,S3,R5
1142,S5,R5
1156,S5,R5
1165,S2,R5
1165,S4,R5
1171,S1,R5
1171,S5,R5
1182,S0,R5
1182,S3,R5
1225,S2,R5
1225,S1,R5
1225,S4,R5
1255,S3,R5
1255,S4,R5
1263,S1,R5
1263,S4,R5
1270,S0,R5
1270,S4,R5
1270,S5,R5
1276,S3,R5
1276,S4,R5
1296,S3,R5
1296,S5,R5
1313,S0,R5
1313,S5,R5
1316,S0,R5
1316,S3,R5
1329,S2,R5
1329,S0,R5
1329,S3,R5
1337,S2,R5
1337,S1,R5
1337,S5,R5
1354,S3,R5
1354,S5,R5
1370,S3,R5
1370,S5,R5
1392,S1,R5
1395,S2,R5
1395,S0,R5
1417,S2,R5
1417,S1,R5
1417,S5,R5
1443,S0,R5
1443,S4,R5
1443,S5,R5
1472,S1,R5
1472,S3,R5
1472,S5,R5
1484,S0,R5
1484,S1,R5
1484,S5,R5
1491,S0,R5
1491,S1,R5
1496,S3,R5
1496,S5,R5
1516,S0,R5
1516,S1,R5
1516,S2,R5
1536,S0,R5
1536,S1,R5
1536,S2,R5
1542,S1,R5
1543,S3,R5
1543,S0,R5
1543,S2,R5
1559,S3,R5
1559,S4,R5
1559,S5,R5
1561,S3,R5
1561,S1,R5
1561,S5,R5
1578,S0,R5
1578,S5,R5
1581,S1,R5
1581,S2,R5
1581,S4,R5
1593,S3,R5
1593,S0,R5
1593,S2,R5
1615,S3,R5
1615,S1,R5
1622,S0,R5
1622,S5,R5
1637,S3,R5
1637,S1,R5
1637,S2,R5
1649,S3,R5
1649,S5,R5
1671,S5,R5
1677,S3,R5
1677,S2,R5
1677,S5,R5
1685,S3,R5
1685,S2,R5
1688,S1,R5
1688,S5,R5
1695,S1,R5
1695,S2,R5
1695,S4,R5
1725,S0,R5
1769,S1,R5
1829,S0,R5
1829,S1,R5
1829,S2,R5
1843,S3,R5
1843,S4,R5
1843,S5,R5
1852,S3,R5
1852,S2,R5
1862,S1,R5
1862,S5,R5
1911,S0,R5
1911,S5,R5
1921,S0,R5
1921,S1,R5
1921,S5,R5
1923,S2,R5
1923,S5,R5
1936,S3,R5
1936,S1,R5
1936,S5,R5
1940,S0,R5
1940,S2,R5
1940,S4,R5
1951,S3,R5
1955,S3,R5
1955,S0,R5
1955,S1,R5
1961,S0,R5
1961,S4,R5
1975,S3,R5
1975,S4,R5
1977,S3,R5
1977,S1,R5
1977,S5,R5
1989,S3,R5
1989,S0,R5
1989,S5,R5
1991,S2,R5
1991,S4,R5
1994,S1,R5
1994,S4,R5
1994,S5,R5
1995,S0,R5
1995,S1,R5
1995,S2,R5
1996,S0,R5
1996,S2,R5
2001,S4,R5
2001,S1,R5
2001,S2,R5
2007,S0,R5
2007,S3,R5
2010,S4,R5
2010,S0,R5
2010,S2,R5
2011,S2,R5
2011,S5,R5
2013,S1,R5
2013,S3,R5
2015,S4,R5
2015,S2,R5
2015,S5,R5
2016,S4,R5
2016,S0,R5
2016,S1,R5
2017,S0,R5
2017,S1,R5
2018,S4,R5
2018,S5,R5
2031,S3,R5
2031,S5,R5
2039,S5,R5
2050,S0,R5
2050,S2,R5
2050,S3,R5
2057,S0,R5
2057,S3,R5
2057,S5,R5
2064,S2,R5
2064,S3,R5
2065,S3,R5
2065,S5,R5
2066,S2,R5
2066,S3,R5
2074,S1,R5
2097,S4,R5
2097,S1,R5
2097,S5,R5
2098,S0,R5
2098,S5,R5
2101,S4,R5
2101,S5,R5
2116,S0,R5
2116,S1,R5
2116,S3,R5
2120,S3,R5
2128,S1,R5
2128,S2,R5
2128,S5,R5
2129,S4,R5
2129,S0,R5
2132,S1,R5
2132,S3,R5
2174,S0,R5
2174,S2,R5
2174,S3,R5
2184,S3,R5
2184,S5,R5
2188,S4,R5
2189,S4,R5
2189,S3,R5
2189,S5,R5
2200,S2,R5
2200,S5,R5
2215,S1,R5
2215,S5,R5
2236,S4,R5
2236,S3,R5
2243,S1,R5
2243,S2,R5
2243,S5,R5
2246,S0,R5
2246,S1,R5
2246,S2,R5
2256,S0,R5
2256,S2,R5
2256,S3,R5
2260,S1,R5
2260,S3,R5
2260,S5,R5
2266,S1,R5
2266,S3,R5
2268,S4,R5
2268,S0,R5
2268,S2,R5
2273,S4,R5
2273,S2,R5
2273,S3,R5
2285,S2,R5
2285,S5,R5
2309,S2,R5
2309,S5,R5
2320,S0,R5
2320,S2,R5
2326,S0,R5
2326,S1,R5
2338,S0,R5
2338,S1,R5
2338,S5,R5
2343,S2,R5
2343,S5,R5
2355,S3,R5
2356,S0,R5
2356,S1,R5
2356,S3,R5
2368,S3,R5
2370,S1,R5
2370,S5,R5
2398,S3,R5
2398,S5,R5
2405,S0,R5
2405,S5,R5
2406,S4,R5
2406,S0,R5
2411,S4,R5
2411,S2,R5
2411,S3,R5
2414,S0,R5
2414,S2,R5
2422,S4,R5
2422,S3,R5
2423,S0,R5
2423,S1,R5
2423,S3,R5
2433,S1,R5
2433,S2,R5
2433,S3,R5
2461,S3,R5
2461,S5,R5
2468,S0,R5
2468,S3,R5
2469,S4,R5
2469,S0,R5
2480,S3,R5
2480,S5,R5
2482,S4,R5
2482,S2,R5
2483,S1,R5
2483,S5,R5
2517,S0,R5
2517,S2,R5
2517,S3,R5
2520,S0,R5
2520,S1,R5
2520,S3,R5
2531,S3,R5
2537,S4,R5
2551,S5,R5
2551,S2,R5
2573,S2,R5
2573,S4,R5
