table,sendTo,payload
R,0,1‖Lewis
R,0,2‖Stephen
R,0,3‖Richard
R,0,6‖Cheryl
R,0,6‖James
R,0,7‖Gilda
R,0,10‖Brittany
R,0,13‖Mark
R,0,14‖Geraldine
R,0,18‖Ronnie
R,0,18‖Marvin
R,0,31‖Jessica
R,0,31‖Travis
R,0,34‖Joseph
R,0,37‖Paul
R,0,38‖Victoria
R,0,39‖Mildred
R,0,42‖Charles
R,0,43‖Melanie
R,0,45‖Martin
R,0,49‖Bernadine
R,0,49‖Alicia
R,0,52‖Virginia
R,0,53‖Dorothy
R,0,54‖Sandra
R,0,56‖Sara
R,0,58‖Ryan
R,0,58‖Kenneth
R,0,60‖Betty
R,0,61‖Clarence
R,0,62‖Andrew
R,0,64‖Stacey
R,0,65‖Paul
R,0,69‖Angla
R,0,77‖George
R,0,78‖Kenneth
R,0,79‖Thomas
R,0,80‖Rose
R,0,83‖Patricia
R,0,85‖Charles
R,0,89‖Sarah
R,0,89‖Truman
R,0,89‖Ramona
R,0,90‖Ruth
R,0,92‖Rebecca
R,0,95‖Jacqueline
R,0,95‖Tomas
R,0,96‖Edna
R,0,97‖Alfred
R,0,99‖Benjamin
R,0,101‖Don
R,0,101‖Dale
R,0,102‖Hazel
R,0,106‖William
R,0,107‖Sylvia
R,0,109‖Betty
R,0,111‖Amelia
R,0,111‖Diane
R,0,112‖Margaret
R,0,116‖Steven
R,0,116‖Dorothy
R,0,119‖Michael
R,0,121‖Nydia
R,0,129‖Daniel
R,0,130‖Calvin
R,0,140‖Robert
R,0,142‖Terry
R,0,145‖Gladys
R,0,146‖James
R,0,147‖Gus
R,0,156‖Monica
R,0,158‖Rhonda
R,0,160‖Manuel
R,0,161‖Clara
R,1,168‖Terry
R,1,168‖Owen
R,1,169‖Orville
R,1,171‖Patrick
R,1,172‖Gabriel
R,1,174‖Deborah
R,1,177‖Cheryl
R,1,183‖Jimmy
R,1,183‖Marjorie
R,1,185‖Angela
R,1,187‖Colleen
R,1,191‖Melissa
R,1,194‖Rebecca
R,1,194‖John
R,1,195‖Patricia
R,1,195‖Wm
R,1,196‖Lauren
R,1,197‖Kristopher
R,1,198‖Shantae
R,1,200‖John
R,1,202‖Raul
R,1,202‖Laura
R,1,203‖Barry
R,1,203‖Sabrina
R,1,205‖Aaron
R,1,206‖Shane
R,1,207‖Keith
R,1,208‖Magdalena
R,1,209‖Diane
R,1,211‖Stephanie
R,1,213‖Charles
R,1,214‖Tanisha
R,1,215‖David
R,1,216‖Faye
R,1,217‖George
R,1,218‖Matthew
R,1,219‖Jessie
R,1,219‖Margie
R,1,219‖William
R,1,222‖Stephen
R,1,222‖Silas
R,1,224‖Anthony
R,1,230‖George
R,1,233‖Paul
R,1,233‖Oscar
R,1,238‖Kyle
R,1,244‖Kevin
R,1,246‖Timothy
R,1,250‖Javier
R,1,251‖Joaquin
R,1,253‖Diana
R,1,254‖George
R,1,258‖Manuela
R,1,259‖Joe
R,1,260‖John
R,1,263‖Mary
R,1,265‖Richard
R,1,266‖Ted
R,1,268‖Robert
R,1,269‖David
R,1,269‖Kurt
R,1,277‖Janice
R,1,278‖Elizabeth
R,1,280‖Edwin
R,1,281‖Edward
R,1,282‖Robert
R,1,284‖Brittney
R,1,285‖Mae
R,1,287‖Elsie
R,1,287‖Orval
R,1,300‖Debra
R,1,300‖Peter
R,1,301‖Carlos
R,1,306‖Patrick
R,1,307‖Kenneth
R,1,311‖Pedro
R,1,314‖John
R,1,316‖Rose
R,1,317‖Robert
R,1,318‖Stephen
R,1,319‖Crystal
R,1,320‖Eleanor
R,1,321‖Robert
R,1,331‖Garland
R,2,334‖Fermin
R,2,335‖Robert
R,2,336‖Margaret
R,2,336‖Michael
R,2,338‖Johnathon
R,2,341‖Deborah
R,2,341‖Michael
R,2,343‖Lina
R,2,351‖Eva
R,2,352‖Paul
R,2,357‖Jane
R,2,357‖Alan
R,2,358‖Christopher
R,2,360‖Refugio
R,2,362‖Inez
R,2,362‖Jesse
R,2,362‖Mark
R,2,366‖Alex
R,2,369‖Elaine
R,2,371‖Ruth
R,2,373‖Jose
R,2,373‖Matthew
R,2,375‖Jeremy
R,2,378‖Chelsea
R,2,382‖Lavenia
R,2,384‖Jessica
R,2,387‖Gary
R,2,387‖Pamela
R,2,391‖Lloyd
R,2,393‖Peter
R,2,394‖Sylvia
R,2,396‖Robert
R,2,397‖Norbert
R,2,402‖Cherrie
R,2,407‖Margaret
R,2,417‖Thomas
R,2,418‖Joshua
R,2,419‖Roger
R,2,421‖Jose
R,2,422‖Cory
R,2,423‖Christian
R,2,424‖Anamaria
R,2,427‖Elvin
R,2,429‖Mary
R,2,430‖Robert
R,2,431‖Lisa
R,2,434‖Jesse
R,2,434‖Terence
R,2,435‖Janet
R,2,437‖Heather
R,2,441‖James
R,2,442‖Mathew
R,2,443‖Rodney
R,2,449‖Marlene
R,2,452‖Charlotte
R,2,454‖Patsy
R,2,459‖Peggy
R,2,463‖Karen
R,2,466‖Lucila
R,2,469‖Phillip
R,2,472‖Clara
R,2,473‖Joseph
R,2,481‖Sandra
R,2,482‖Bobby
R,2,485‖Odell
R,2,486‖Felix
R,2,490‖Angela
R,2,492‖Norma
R,2,492‖Juanita
R,2,494‖Darrell
R,2,496‖Neal
R,2,498‖Charles
R,3,500‖Martha
R,3,500‖Joseph
R,3,501‖Edward
R,3,505‖Wallace
R,3,507‖Brent
R,3,508‖Robert
R,3,508‖Marilyn
R,3,510‖Francisco
R,3,519‖Kurt
R,3,520‖Nicholas
R,3,520‖Valerie
R,3,524‖Mathew
R,3,526‖Joyce
R,3,528‖Angeline
R,3,529‖Janie
R,3,529‖Yvette
R,3,535‖Mark
R,3,538‖John
R,3,543‖Zachary
R,3,548‖William
R,3,549‖Jasmine
R,3,550‖Adelaida
R,3,551‖Lorrie
R,3,554‖Cathy
R,3,556‖Paul
R,3,556‖Joan
R,3,556‖Sharlene
R,3,557‖Nelson
R,3,565‖Aaron
R,3,566‖Stephanie
R,3,567‖Wanda
R,3,567‖Donna
R,3,568‖Joseph
R,3,569‖Kay
R,3,573‖Gary
R,3,580‖Alfred
R,3,583‖Linnea
