ID,sendTo,sentBy
2517,S0,R5
2517,S2,R5
2517,S3,R5
2520,S0,R5
2520,S1,R5
2520,S3,R5
2531,S3,R5
2537,S4,R5
2551,S5,R5
2551,S2,R5
2573,S2,R5
2573,S4,R5
2576,S2,R5
2576,S4,R5
2581,S0,R5
2581,S1,R5
2585,S5,R5
2585,S0,R5
2596,S1,R5
2596,S2,R5
2596,S4,R5
2598,S2,R5
2598,S3,R5
2601,S1,R5
2601,S2,R5
2601,S3,R5
2605,S5,R5
2605,S3,R5
2605,S4,R5
2611,S5,R5
2611,S1,R5
2611,S4,R5
2617,S5,R5
2617,S0,R5
2617,S1,R5
2620,S0,R5
2620,S1,R5
2620,S4,R5
2623,S1,R5
2623,S2,R5
2628,S5,R5
2628,S2,R5
2628,S3,R5
2658,S5,R5
2658,S3,R5
2658,S4,R5
2664,S5,R5
2664,S2,R5
2665,S2,R5
2665,S3,R5
2665,S4,R5
2670,S5,R5
2670,S1,R5
2679,S0,R5
2679,S3,R5
2690,S5,R5
2690,S1,R5
2690,S4,R5
2696,S5,R5
2696,S0,R5
2701,S5,R5
2701,S0,R5
2715,S5,R5
2715,S2,R5
2716,S1,R5
2716,S2,R5
2716,S4,R5
2717,S5,R5
2717,S2,R5
2753,S2,R5
2753,S4,R5
2756,S0,R5
2756,S4,R5
2765,S3,R5
2775,S2,R5
2775,S3,R5
2780,S0,R5
2780,S1,R5
2780,S2,R5
2789,S3,R5
2791,S0,R5
2791,S1,R5
2791,S2,R5
2794,S5,R5
2794,S0,R5
2794,S2,R5
2795,S5,R5
2795,S3,R5
2798,S5,R5
2798,S0,R5
2800,S5,R5
2800,S1,R5
2806,S0,R5
2806,S1,R5
2809,S0,R5
2809,S4,R5
2810,S0,R5
2810,S1,R5
2810,S4,R5
2813,S1,R5
2813,S4,R5
2814,S2,R5
2814,S4,R5
2815,S3,R5
2815,S4,R5
2817,S5,R5
2817,S0,R5
2817,S1,R5
2818,S5,R5
2818,S2,R5
2828,S4,R5
2834,S5,R5
2834,S2,R5
2858,S3,R5
2858,S4,R5
2870,S5,R5
2870,S1,R5
2870,S2,R5
2884,S0,R5
2884,S1,R5
2905,S5,R5
2905,S2,R5
2905,S3,R5
2910,S5,R5
2910,S3,R5
2930,S2,R5
2930,S3,R5
2954,S0,R5
2954,S3,R5
2960,S5,R5
2960,S4,R5
2972,S5,R5
2972,S1,R5
2976,S4,R5
2984,S5,R5
2984,S0,R5
2984,S1,R5
2502,R5,S5
2502,R2,S5
2502,R4,S5
2503,R5,S5
2503,R3,S5
2504,R1,S5
2505,R2,S5
2505,R3,S5
2506,R0,S5
2506,R1,S5
2506,R3,S5
2510,R5,S5
2510,R2,S5
2511,R5,S5
2511,R0,S5
2512,R0,S5
2512,R3,S5
2512,R4,S5
2513,R3,S5
2513,R4,S5
2515,R5,S5
2515,R0,S5
2515,R4,S5
2526,R5,S5
2526,R4,S5
2532,R1,S5
2532,R2,S5
2534,R3,S5
2534,R4,S5
2535,R1,S5
2535,R2,S5
2535,R3,S5
2541,R3,S5
2543,R3,S5
2544,R0,S5
2544,R1,S5
2546,R0,S5
2546,R1,S5
2546,R2,S5
2548,R5,S5
2548,R3,S5
2553,R0,S5
2553,R2,S5
2553,R3,S5
2556,R2,S5
2556,R3,S5
2556,R4,S5
2558,R0,S5
2558,R2,S5
2558,R4,S5
2560,R0,S5
2567,R0,S5
2567,R1,S5
2568,R3,S5
2569,R5,S5
2569,R1,S5
2570,R5,S5
2570,R1,S5
2570,R4,S5
2578,R5,S5
2578,R3,S5
2579,R1,S5
2582,R4,S5
2588,R5,S5
2588,R0,S5
2588,R1,S5
2602,R1,S5
2604,R0,S5
2604,R3,S5
2608,R5,S5
2608,R0,S5
2608,R2,S5
2610,R2,S5
2610,R4,S5
2612,R5,S5
2612,R2,S5
2612,R4,S5
2615,R5,S5
2627,R1,S5
2627,R2,S5
2634,R5,S5
2634,R2,S5
2635,R5,S5
2641,R1,S5
2641,R3,S5
2645,R0,S5
2645,R4,S5
2646,R3,S5
2646,R4,S5
2649,R5,S5
2649,R1,S5
2649,R3,S5
2649,R4,S5
2662,R3,S5
2668,R5,S5
2668,R4,S5
2685,R0,S5
2685,R2,S5
2686,R5,S5
2686,R0,S5
2686,R3,S5
2693,R5,S5
2693,R2,S5
2693,R3,S5
2698,R5,S5
2698,R1,S5
2698,R2,S5
2700,R0,S5
2700,R4,S5
2704,R5,S5
2704,R1,S5
2706,R0,S5
2706,R2,S5
2706,R3,S5
2713,R5,S5
2713,R3,S5
2713,R4,S5
2718,R3,S5
2718,R4,S5
2722,R2,S5
2732,R0,S5
2732,R2,S5
2732,R3,S5
2733,R0,S5
2733,R1,S5
2736,R4,S5
2741,R3,S5
2743,R5,S5
2743,R2,S5
2748,R2,S5
2748,R3,S5
2748,R4,S5
2750,R1,S5
2750,R3,S5
2754,R5,S5
2754,R1,S5
2754,R3,S5
2755,R1,S5
2755,R3,S5
2759,R5,S5
2759,R2,S5
2763,R5,S5
2763,R0,S5
2763,R1,S5
2763,R3,S5
2766,R2,S5
2766,R3,S5
2767,R5,S5
2767,R0,S5
2767,R3,S5
2768,R0,S5
2768,R2,S5
2768,R3,S5
2768,R4,S5
2769,R5,S5
2769,R2,S5
2769,R4,S5
2770,R1,S5
2770,R3,S5
2770,R4,S5
2782,R2,S5
2782,R3,S5
2792,R0,S5
2792,R1,S5
2792,R4,S5
2793,R1,S5
2793,R3,S5
2803,R3,S5
2803,R4,S5
2805,R0,S5
2805,R3,S5
2805,R4,S5
2819,R0,S5
2819,R2,S5
2820,R5,S5
2820,R1,S5
2820,R2,S5
2820,R3,S5
2827,R5,S5
2827,R1,S5
2827,R3,S5
2829,R5,S5
2829,R0,S5
2829,R1,S5
2832,R5,S5
2832,R0,S5
2832,R1,S5
2832,R4,S5
2833,R3,S5
2835,R0,S5
2835,R2,S5
2837,R3,S5
2837,R4,S5
2854,R5,S5
2854,R4,S5
2865,R5,S5
2865,R0,S5
2865,R2,S5
2869,R5,S5
2869,R0,S5
2869,R1,S5
2869,R4,S5
2874,R5,S5
2874,R4,S5
2876,R0,S5
2876,R3,S5
2876,R4,S5
2879,R0,S5
2879,R1,S5
2879,R4,S5
2885,R0,S5
2886,R2,S5
2886,R3,S5
2892,R4,S5
2895,R4,S5
2900,R0,S5
2907,R2,S5
2907,R3,S5
2908,R1,S5
2908,R4,S5
2911,R5,S5
2911,R1,S5
2911,R3,S5
2913,R5,S5
2913,R3,S5
2913,R4,S5
2920,R0,S5
2920,R3,S5
2924,R0,S5
2924,R2,S5
2924,R3,S5
2927,R0,S5
2927,R1,S5
2927,R2,S5
2927,R3,S5
2931,R2,S5
2936,R4,S5
2937,R1,S5
2939,R4,S5
2940,R5,S5
2940,R1,S5
2944,R5,S5
2944,R2,S5
2945,R4,S5
2961,R5,S5
2961,R3,S5
2961,R4,S5
2962,R5,S5
2962,R1,S5
2962,R4,S5
2967,R5,S5
2967,R2,S5
2968,R3,S5
2971,R5,S5
2971,R0,S5
2971,R3,S5
2973,R1,S5
2973,R2,S5
2973,R3,S5
2973,R4,S5
2978,R5,S5
2978,R3,S5
2978,R4,S5
2981,R1,S5
2981,R4,S5
2982,R5,S5
2982,R2,S5
2986,R0,S5
2986,R1,S5
2986,R4,S5
2987,R2,S5
2987,R4,S5
2988,R5,S5
2988,R1,S5
2991,R5,S5
2991,R3,S5
2991,R4,S5
2992,R5,S5
2992,R1,S5
2993,R3,S5
2993,R4,S5
2995,R2,S5
2995,R3,S5
2995,R4,S5
2998,R0,S5
2998,R2,S5
2998,R3,S5
2999,R2,S5
2999,R3,S5
2500,S3,R0
2514,S0,R0
2517,S0,R0
2517,S2,R0
2517,S3,R0
2520,S0,R0
2520,S1,R0
2520,S3,R0
2523,S0,R0
2523,S2,R0
2537,S4,R0
2538,S5,R0
2555,S0,R0
2565,S0,R0
2576,S2,R0
2576,S4,R0
2581,S0,R0
2581,S1,R0
2593,S2,R0
2595,S5,R0
2596,S1,R0
2596,S2,R0
2596,S4,R0
2597,S5,R0
2597,S3,R0
2601,S1,R0
2601,S2,R0
2601,S3,R0
2605,S5,R0
2605,S3,R0
2605,S4,R0
2619,S5,R0
2619,S1,R0
2619,S2,R0
2620,S0,R0
2620,S1,R0
2620,S4,R0
2625,S0,R0
2625,S3,R0
2630,S2,R0
2630,S3,R0
2643,S5,R0
2643,S2,R0
2657,S5,R0
2664,S5,R0
2664,S2,R0
2665,S2,R0
2665,S3,R0
2665,S4,R0
2671,S3,R0
2671,S4,R0
2690,S5,R0
2690,S1,R0
2690,S4,R0
2695,S1,R0
2695,S3,R0
2720,S0,R0
2720,S1,R0
2720,S3,R0
2744,S0,R0
2745,S1,R0
2745,S2,R0
2749,S5,R0
2749,S3,R0
2753,S2,R0
2753,S4,R0
2756,S0,R0
2756,S4,R0
2762,S1,R0
2762,S3,R0
2762,S4,R0
2775,S2,R0
2775,S3,R0
2787,S1,R0
2787,S3,R0
2791,S0,R0
2791,S1,R0
2791,S2,R0
2800,S5,R0
2800,S1,R0
2806,S0,R0
2806,S1,R0
2817,S5,R0
2817,S0,R0
2817,S1,R0
2828,S4,R0
2834,S5,R0
2834,S2,R0
2844,S1,R0
2844,S2,R0
2847,S5,R0
2847,S0,R0
2847,S1,R0
2852,S2,R0
2884,S0,R0
2884,S1,R0
2933,S0,R0
2970,S1,R0
2970,S3,R0
2972,S5,R0
2972,S1,R0
2974,S2,R0
2984,S5,R0
2984,S0,R0
2984,S1,R0
2996,S5,R0
2996,S0,R0
2996,S4,R0
2502,R5,S0
2502,R2,S0
2502,R4,S0
2511,R5,S0
2511,R0,S0
2512,R0,S0
2512,R3,S0
2512,R4,S0
2513,R3,S0
2513,R4,S0
2518,R5,S0
2518,R1,S0
2518,R2,S0
2522,R2,S0
2522,R3,S0
2524,R5,S0
2524,R0,S0
2524,R3,S0
2527,R3,S0
2529,R1,S0
2529,R2,S0
2532,R1,S0
2532,R2,S0
2535,R1,S0
2535,R2,S0
2535,R3,S0
2536,R5,S0
2536,R3,S0
2539,R5,S0
2545,R0,S0
2547,R0,S0
2547,R1,S0
2556,R2,S0
2556,R3,S0
2556,R4,S0
2558,R0,S0
2558,R2,S0
2558,R4,S0
2569,R5,S0
2569,R1,S0
2574,R5,S0
2574,R3,S0
2578,R5,S0
2578,R3,S0
2588,R5,S0
2588,R0,S0
2588,R1,S0
2599,R0,S0
2599,R2,S0
2600,R0,S0
2600,R3,S0
2603,R1,S0
2603,R2,S0
2607,R0,S0
2607,R4,S0
2608,R5,S0
2608,R0,S0
2608,R2,S0
2609,R0,S0
2609,R3,S0
2614,R0,S0
2614,R1,S0
2614,R3,S0
2615,R5,S0
2616,R5,S0
2616,R1,S0
2616,R2,S0
2627,R1,S0
2627,R2,S0
2629,R0,S0
2629,R4,S0
2631,R3,S0
2631,R4,S0
2637,R0,S0
2637,R1,S0
2637,R3,S0
2639,R5,S0
2639,R0,S0
2640,R5,S0
2640,R2,S0
2644,R0,S0
2646,R3,S0
2646,R4,S0
2653,R4,S0
2655,R5,S0
2659,R5,S0
2663,R0,S0
2663,R2,S0
2663,R3,S0
2668,R5,S0
2668,R4,S0
2669,R3,S0
2672,R4,S0
2676,R0,S0
2676,R2,S0
2676,R4,S0
2680,R5,S0
2680,R1,S0
2680,R2,S0
2682,R3,S0
2685,R0,S0
2685,R2,S0
2691,R5,S0
2691,R4,S0
2692,R5,S0
2692,R4,S0
2693,R5,S0
2693,R2,S0
2693,R3,S0
2702,R3,S0
2705,R5,S0
2705,R2,S0
2705,R4,S0
2708,R5,S0
2708,R3,S0
2710,R2,S0
2710,R4,S0
2713,R5,S0
2713,R3,S0
2713,R4,S0
2721,R1,S0
2723,R2,S0
2723,R4,S0
2724,R0,S0
2729,R0,S0
2729,R3,S0
2729,R4,S0
2731,R5,S0
2731,R1,S0
2731,R4,S0
2732,R0,S0
2732,R2,S0
2732,R3,S0
2737,R0,S0
2737,R3,S0
2742,R0,S0
2742,R1,S0
2742,R2,S0
2742,R3,S0
2743,R5,S0
2743,R2,S0
2747,R5,S0
2747,R4,S0
2748,R2,S0
2748,R3,S0
2748,R4,S0
2754,R5,S0
2754,R1,S0
2754,R3,S0
2760,R1,S0
2760,R2,S0
2763,R5,S0
2763,R0,S0
2763,R1,S0
2763,R3,S0
2771,R5,S0
2771,R2,S0
2771,R4,S0
2773,R1,S0
2773,R2,S0
2773,R3,S0
2777,R0,S0
2777,R1,S0
2777,R3,S0
2779,R1,S0
2779,R2,S0
2779,R4,S0
2788,R0,S0
2788,R2,S0
2796,R0,S0
2801,R5,S0
2801,R1,S0
2801,R2,S0
2805,R0,S0
2805,R3,S0
2805,R4,S0
2808,R2,S0
2811,R1,S0
2819,R0,S0
2819,R2,S0
2820,R5,S0
2820,R1,S0
2820,R2,S0
2820,R3,S0
2821,R5,S0
2821,R1,S0
2821,R4,S0
2829,R5,S0
2829,R0,S0
2829,R1,S0
2830,R0,S0
2830,R2,S0
2831,R0,S0
2831,R3,S0
2831,R4,S0
2832,R5,S0
2832,R0,S0
2832,R1,S0
2832,R4,S0
2835,R0,S0
2835,R2,S0
2836,R1,S0
2841,R1,S0
2849,R0,S0
2850,R4,S0
2857,R1,S0
2859,R1,S0
2859,R3,S0
2871,R5,S0
2871,R4,S0
2872,R5,S0
2872,R2,S0
2872,R3,S0
2879,R0,S0
2879,R1,S0
2879,R4,S0
2881,R2,S0
2899,R2,S0
2899,R3,S0
2907,R2,S0
2907,R3,S0
2911,R5,S0
2911,R1,S0
2911,R3,S0
2912,R5,S0
2913,R5,S0
2913,R3,S0
2913,R4,S0
2914,R5,S0
2914,R1,S0
2916,R2,S0
2916,R3,S0
2920,R0,S0
2920,R3,S0
2923,R0,S0
2923,R1,S0
2927,R0,S0
2927,R1,S0
2927,R2,S0
2927,R3,S0
2928,R5,S0
2928,R2,S0
2928,R4,S0
2931,R2,S0
2932,R5,S0
2932,R0,S0
2932,R3,S0
2939,R4,S0
2943,R4,S0
2946,R5,S0
2948,R4,S0
2955,R2,S0
2955,R3,S0
2957,R5,S0
2957,R1,S0
2957,R4,S0
2959,R1,S0
2962,R5,S0
2962,R1,S0
2962,R4,S0
2963,R4,S0
2971,R5,S0
2971,R0,S0
2971,R3,S0
2973,R1,S0
2973,R2,S0
2973,R3,S0
2973,R4,S0
2975,R1,S0
2978,R5,S0
2978,R3,S0
2978,R4,S0
2979,R3,S0
2979,R4,S0
2988,R5,S0
2988,R1,S0
2989,R5,S0
2989,R1,S0
2989,R4,S0
2990,R5,S0
2991,R5,S0
2991,R3,S0
2991,R4,S0
2999,R2,S0
2999,R3,S0
2514,S0,R1
2523,S0,R1
2523,S2,R1
2551,S5,R1
2551,S2,R1
2565,S0,R1
2576,S2,R1
2576,S4,R1
2581,S0,R1
2581,S1,R1
2583,S0,R1
2583,S4,R1
2596,S1,R1
2596,S2,R1
2596,S4,R1
2598,S2,R1
2598,S3,R1
2601,S1,R1
2601,S2,R1
2601,S3,R1
2605,S5,R1
2605,S3,R1
2605,S4,R1
2618,S0,R1
2618,S1,R1
2619,S5,R1
2619,S1,R1
2619,S2,R1
2620,S0,R1
2620,S1,R1
2620,S4,R1
2628,S5,R1
2628,S2,R1
2628,S3,R1
2630,S2,R1
2630,S3,R1
2643,S5,R1
2643,S2,R1
2657,S5,R1
2665,S2,R1
2665,S3,R1
2665,S4,R1
2679,S0,R1
2679,S3,R1
2695,S1,R1
2695,S3,R1
2703,S5,R1
2703,S1,R1
2716,S1,R1
2716,S2,R1
2716,S4,R1
2720,S0,R1
2720,S1,R1
2720,S3,R1
2749,S5,R1
2749,S3,R1
2762,S1,R1
2762,S3,R1
2762,S4,R1
2774,S5,R1
2780,S0,R1
2780,S1,R1
2780,S2,R1
2787,S1,R1
2787,S3,R1
2791,S0,R1
2791,S1,R1
2791,S2,R1
2795,S5,R1
2795,S3,R1
2810,S0,R1
2810,S1,R1
2810,S4,R1
2815,S3,R1
2815,S4,R1
2818,S5,R1
2818,S2,R1
2824,S4,R1
2847,S5,R1
2847,S0,R1
2847,S1,R1
2890,S1,R1
2910,S5,R1
2910,S3,R1
2917,S5,R1
2917,S3,R1
2919,S4,R1
2930,S2,R1
2930,S3,R1
2933,S0,R1
2941,S4,R1
2950,S0,R1
2950,S1,R1
2950,S4,R1
2954,S0,R1
2954,S3,R1
2960,S5,R1
2960,S4,R1
2970,S1,R1
2970,S3,R1
2984,S5,R1
2984,S0,R1
2984,S1,R1
2996,S5,R1
2996,S0,R1
2996,S4,R1
2502,R5,S1
2502,R2,S1
2502,R4,S1
2503,R5,S1
2503,R3,S1
2510,R5,S1
2510,R2,S1
2516,R0,S1
2516,R4,S1
2518,R5,S1
2518,R1,S1
2518,R2,S1
2519,R0,S1
2519,R4,S1
2521,R2,S1
2526,R5,S1
2526,R4,S1
2528,R5,S1
2532,R1,S1
2532,R2,S1
2534,R3,S1
2534,R4,S1
2547,R0,S1
2547,R1,S1
2552,R0,S1
2552,R4,S1
2554,R2,S1
2554,R4,S1
2556,R2,S1
2556,R3,S1
2556,R4,S1
2570,R5,S1
2570,R1,S1
2570,R4,S1
2572,R3,S1
2572,R4,S1
2577,R1,S1
2578,R5,S1
2578,R3,S1
2582,R4,S1
2587,R3,S1
2592,R1,S1
2592,R2,S1
2599,R0,S1
2599,R2,S1
2607,R0,S1
2607,R4,S1
2612,R5,S1
2612,R2,S1
2612,R4,S1
2614,R0,S1
2614,R1,S1
2614,R3,S1
2622,R4,S1
2627,R1,S1
2627,R2,S1
2634,R5,S1
2634,R2,S1
2635,R5,S1
2640,R5,S1
2640,R2,S1
2642,R0,S1
2642,R2,S1
2642,R3,S1
2647,R4,S1
2648,R5,S1
2648,R0,S1
2649,R5,S1
2649,R1,S1
2649,R3,S1
2649,R4,S1
2651,R3,S1
2651,R4,S1
2652,R3,S1
2660,R1,S1
2660,R4,S1
2666,R5,S1
2666,R3,S1
2672,R4,S1
2677,R3,S1
2678,R5,S1
2678,R4,S1
2680,R5,S1
2680,R1,S1
2680,R2,S1
2681,R3,S1
2684,R0,S1
2686,R5,S1
2686,R0,S1
2686,R3,S1
2687,R5,S1
2687,R0,S1
2688,R1,S1
2688,R2,S1
2691,R5,S1
2691,R4,S1
2692,R5,S1
2692,R4,S1
2693,R5,S1
2693,R2,S1
2693,R3,S1
2694,R3,S1
2694,R4,S1
2698,R5,S1
2698,R1,S1
2698,R2,S1
2704,R5,S1
2704,R1,S1
2705,R5,S1
2705,R2,S1
2705,R4,S1
2706,R0,S1
2706,R2,S1
2706,R3,S1
2707,R0,S1
2707,R4,S1
2708,R5,S1
2708,R3,S1
2709,R5,S1
2712,R3,S1
2713,R5,S1
2713,R3,S1
2713,R4,S1
2714,R5,S1
2718,R3,S1
2718,R4,S1
2726,R0,S1
2726,R1,S1
2727,R0,S1
2727,R3,S1
2728,R5,S1
2728,R1,S1
2729,R0,S1
2729,R3,S1
2729,R4,S1
2733,R0,S1
2733,R1,S1
2734,R3,S1
2734,R4,S1
2738,R5,S1
2746,R1,S1
2746,R4,S1
2757,R5,S1
2759,R5,S1
2759,R2,S1
2760,R1,S1
2760,R2,S1
2763,R5,S1
2763,R0,S1
2763,R1,S1
2763,R3,S1
2767,R5,S1
2767,R0,S1
2767,R3,S1
2768,R0,S1
2768,R2,S1
2768,R3,S1
2768,R4,S1
2769,R5,S1
2769,R2,S1
2769,R4,S1
2770,R1,S1
2770,R3,S1
2770,R4,S1
2771,R5,S1
2771,R2,S1
2771,R4,S1
2773,R1,S1
2773,R2,S1
2773,R3,S1
2778,R1,S1
2778,R3,S1
2779,R1,S1
2779,R2,S1
2779,R4,S1
2781,R0,S1
2781,R3,S1
2782,R2,S1
2782,R3,S1
2784,R4,S1
2785,R5,S1
2785,R0,S1
2788,R0,S1
2788,R2,S1
2790,R0,S1
2790,R2,S1
2797,R2,S1
2797,R3,S1
2801,R5,S1
2801,R1,S1
2801,R2,S1
2802,R5,S1
2804,R0,S1
2804,R1,S1
2816,R0,S1
2821,R5,S1
2821,R1,S1
2821,R4,S1
2823,R2,S1
2823,R4,S1
2831,R0,S1
2831,R3,S1
2831,R4,S1
2853,R1,S1
2854,R5,S1
2854,R4,S1
2859,R1,S1
2859,R3,S1
2863,R5,S1
2863,R0,S1
2863,R3,S1
2865,R5,S1
2865,R0,S1
2865,R2,S1
2866,R1,S1
2869,R5,S1
2869,R0,S1
2869,R1,S1
2869,R4,S1
2873,R5,S1
2873,R0,S1
2873,R1,S1
2875,R0,S1
2875,R4,S1
2877,R4,S1
2878,R3,S1
2878,R4,S1
2879,R0,S1
2879,R1,S1
2879,R4,S1
2883,R1,S1
2886,R2,S1
2886,R3,S1
2889,R5,S1
2891,R2,S1
2891,R4,S1
2893,R1,S1
2898,R5,S1
2899,R2,S1
2899,R3,S1
2900,R0,S1
2902,R0,S1
2902,R3,S1
2906,R3,S1
2906,R4,S1
2908,R1,S1
2908,R4,S1
2909,R0,S1
2909,R3,S1
2911,R5,S1
2911,R1,S1
2911,R3,S1
2915,R4,S1
2924,R0,S1
2924,R2,S1
2924,R3,S1
2925,R1,S1
2925,R3,S1
2932,R5,S1
2932,R0,S1
2932,R3,S1
2934,R2,S1
2935,R5,S1
2935,R0,S1
2940,R5,S1
2940,R1,S1
2943,R4,S1
2944,R5,S1
2944,R2,S1
2952,R4,S1
2957,R5,S1
2957,R1,S1
2957,R4,S1
2964,R2,S1
2964,R4,S1
2965,R5,S1
2967,R5,S1
2967,R2,S1
2973,R1,S1
2973,R2,S1
2973,R3,S1
2973,R4,S1
2977,R0,S1
2979,R3,S1
2979,R4,S1
2980,R5,S1
2980,R2,S1
2982,R5,S1
2982,R2,S1
2985,R0,S1
2985,R1,S1
2985,R3,S1
2989,R5,S1
2989,R1,S1
2989,R4,S1
2993,R3,S1
2993,R4,S1
2994,R2,S1
2997,R5,S1
2997,R0,S1
2997,R3,S1
2517,S0,R2
2517,S2,R2
2517,S3,R2
2520,S0,R2
2520,S1,R2
2520,S3,R2
2523,S0,R2
2523,S2,R2
2538,S5,R2
2557,S1,R2
2557,S2,R2
2559,S1,R2
2559,S4,R2
2573,S2,R2
2573,S4,R2
2583,S0,R2
2583,S4,R2
2593,S2,R2
2596,S1,R2
2596,S2,R2
2596,S4,R2
2597,S5,R2
2597,S3,R2
2605,S5,R2
2605,S3,R2
2605,S4,R2
2611,S5,R2
2611,S1,R2
2611,S4,R2
2617,S5,R2
2617,S0,R2
2617,S1,R2
2618,S0,R2
2618,S1,R2
2619,S5,R2
2619,S1,R2
2619,S2,R2
2620,S0,R2
2620,S1,R2
2620,S4,R2
2623,S1,R2
2623,S2,R2
2630,S2,R2
2630,S3,R2
2658,S5,R2
2658,S3,R2
2658,S4,R2
2671,S3,R2
2671,S4,R2
2690,S5,R2
2690,S1,R2
2690,S4,R2
2695,S1,R2
2695,S3,R2
2696,S5,R2
2696,S0,R2
2701,S5,R2
2701,S0,R2
2703,S5,R2
2703,S1,R2
2716,S1,R2
2716,S2,R2
2716,S4,R2
2717,S5,R2
2717,S2,R2
2719,S3,R2
2719,S4,R2
2749,S5,R2
2749,S3,R2
2762,S1,R2
2762,S3,R2
2762,S4,R2
2765,S3,R2
2789,S3,R2
2794,S5,R2
2794,S0,R2
2794,S2,R2
2809,S0,R2
2809,S4,R2
2810,S0,R2
2810,S1,R2
2810,S4,R2
2813,S1,R2
2813,S4,R2
2814,S2,R2
2814,S4,R2
2815,S3,R2
2815,S4,R2
2817,S5,R2
2817,S0,R2
2817,S1,R2
2834,S5,R2
2834,S2,R2
2847,S5,R2
2847,S0,R2
2847,S1,R2
2905,S5,R2
2905,S2,R2
2905,S3,R2
2919,S4,R2
2930,S2,R2
2930,S3,R2
2950,S0,R2
2950,S1,R2
2950,S4,R2
2960,S5,R2
2960,S4,R2
2970,S1,R2
2970,S3,R2
2972,S5,R2
2972,S1,R2
2502,R5,S2
2502,R2,S2
2502,R4,S2
2507,R2,S2
2508,R1,S2
2509,R4,S2
2511,R5,S2
2511,R0,S2
2513,R3,S2
2513,R4,S2
2515,R5,S2
2515,R0,S2
2515,R4,S2
2518,R5,S2
2518,R1,S2
2518,R2,S2
2521,R2,S2
2524,R5,S2
2524,R0,S2
2524,R3,S2
2532,R1,S2
2532,R2,S2
2533,R5,S2
2536,R5,S2
2536,R3,S2
2542,R0,S2
2542,R4,S2
2546,R0,S2
2546,R1,S2
2546,R2,S2
2548,R5,S2
2548,R3,S2
2550,R1,S2
2550,R3,S2
2553,R0,S2
2553,R2,S2
2553,R3,S2
2554,R2,S2
2554,R4,S2
2558,R0,S2
2558,R2,S2
2558,R4,S2
2561,R1,S2
2562,R2,S2
2562,R3,S2
2563,R5,S2
2563,R0,S2
2563,R1,S2
2564,R2,S2
2567,R0,S2
2567,R1,S2
2569,R5,S2
2569,R1,S2
2570,R5,S2
2570,R1,S2
2570,R4,S2
2571,R1,S2
2572,R3,S2
2572,R4,S2
2574,R5,S2
2574,R3,S2
2575,R2,S2
2579,R1,S2
2584,R1,S2
2584,R2,S2
2584,R4,S2
2586,R5,S2
2586,R1,S2
2588,R5,S2
2588,R0,S2
2588,R1,S2
2589,R5,S2
2589,R0,S2
2590,R5,S2
2590,R0,S2
2591,R4,S2
2603,R1,S2
2603,R2,S2
2607,R0,S2
2607,R4,S2
2614,R0,S2
2614,R1,S2
2614,R3,S2
2616,R5,S2
2616,R1,S2
2616,R2,S2
