ID,sendTo,sentBy
1024,S0,R2
1024,S1,R2
1048,S4,R2
1072,S3,R2
1147,S5,R2
1254,S2,R2
1254,S3,R2
1001,R0,S2
1001,R5,S2
1003,R3,S2
1003,R5,S2
1005,R1,S2
1005,R3,S2
1006,R3,S2
1006,R4,S2
1006,R5,S2
1008,R1,S2
1008,R3,S2
1008,R5,S2
1009,R2,S2
1009,R0,S2
1009,R5,S2
1010,R2,S2
1010,R1,S2
1010,R5,S2
1011,R2,S2
1011,R1,S2
1011,R4,S2
1012,R1,S2
1012,R5,S2
1015,R4,S2
1016,R1,S2
1017,R0,S2
1017,R3,S2
1017,R5,S2
1020,R2,S2
1020,R3,S2
1021,R0,S2
1021,R3,S2
1021,R4,S2
1023,R2,S2
1023,R5,S2
1026,R2,S2
1026,R0,S2
1026,R3,S2
1030,R0,S2
1030,R1,S2
1030,R3,S2
1033,R5,S2
1034,R0,S2
1036,R1,S2
1036,R3,S2
1036,R4,S2
1040,R2,S2
1040,R1,S2
1040,R5,S2
1041,R1,S2
1041,R4,S2
1041,R5,S2
1042,R2,S2
1042,R0,S2
1042,R1,S2
1042,R4,S2
1043,R0,S2
1043,R1,S2
1043,R5,S2
1044,R2,S2
1044,R5,S2
1047,R3,S2
1047,R4,S2
1050,R2,S2
1050,R1,S2
1050,R5,S2
1059,R1,S2
1060,R0,S2
1062,R2,S2
1062,R1,S2
1062,R4,S2
1063,R2,S2
1063,R5,S2
1070,R0,S2
1073,R0,S2
1073,R3,S2
1073,R5,S2
1075,R3,S2
1075,R4,S2
1075,R5,S2
1076,R1,S2
1076,R4,S2
1076,R5,S2
1079,R2,S2
1079,R1,S2
1079,R4,S2
1080,R0,S2
1080,R4,S2
1086,R0,S2
1086,R3,S2
1086,R4,S2
1086,R5,S2
1087,R0,S2
1087,R1,S2
1092,R4,S2
1092,R5,S2
1094,R2,S2
1094,R3,S2
1094,R5,S2
1095,R2,S2
1095,R4,S2
1097,R0,S2
1097,R4,S2
1097,R5,S2
1098,R3,S2
1098,R4,S2
1106,R0,S2
1106,R1,S2
1106,R5,S2
1107,R3,S2
1109,R2,S2
1109,R1,S2
1109,R4,S2
1112,R1,S2
1114,R0,S2
1114,R4,S2
1114,R5,S2
1115,R0,S2
1115,R3,S2
1120,R2,S2
1120,R3,S2
1120,R4,S2
1123,R2,S2
1123,R1,S2
1123,R4,S2
1129,R0,S2
1129,R4,S2
1129,R5,S2
1130,R2,S2
1130,R5,S2
1133,R2,S2
1138,R2,S2
1138,R1,S2
1138,R4,S2
1141,R1,S2
1143,R1,S2
1143,R4,S2
1150,R0,S2
1150,R1,S2
1150,R3,S2
1165,R2,S2
1165,R0,S2
1165,R1,S2
1165,R4,S2
1170,R4,S2
1172,R1,S2
1172,R4,S2
1172,R5,S2
1174,R0,S2
1174,R3,S2
1174,R4,S2
1174,R5,S2
1175,R1,S2
1175,R5,S2
1177,R2,S2
1178,R0,S2
1178,R3,S2
1178,R5,S2
1183,R0,S2
1183,R3,S2
1183,R5,S2
1187,R0,S2
1187,R1,S2
1187,R3,S2
1188,R0,S2
1188,R5,S2
1189,R2,S2
1189,R0,S2
1189,R5,S2
1191,R2,S2
1191,R0,S2
1191,R1,S2
1191,R5,S2
1192,R5,S2
1193,R0,S2
1193,R5,S2
1200,R2,S2
1200,R0,S2
1200,R5,S2
1201,R3,S2
1203,R2,S2
1203,R1,S2
1203,R4,S2
1207,R0,S2
1207,R3,S2
1210,R2,S2
1210,R4,S2
1210,R5,S2
1213,R2,S2
1213,R1,S2
1213,R4,S2
1213,R5,S2
1215,R2,S2
1215,R1,S2
1215,R3,S2
1216,R1,S2
1216,R4,S2
1216,R5,S2
1219,R1,S2
1232,R2,S2
1232,R3,S2
1239,R3,S2
1239,R5,S2
1241,R2,S2
1241,R0,S2
1241,R1,S2
1243,R2,S2
1243,R0,S2
1243,R4,S2
1243,R5,S2
1251,R2,S2
1251,R1,S2
1251,R5,S2
1255,R3,S2
1255,R4,S2
1255,R5,S2
1258,R0,S2
1258,R5,S2
1259,R2,S2
1259,R1,S2
1259,R3,S2
1259,R5,S2
1260,R3,S2
1260,R4,S2
1261,R1,S2
1262,R0,S2
1262,R3,S2
1262,R4,S2
1267,R3,S2
1267,R5,S2
1268,R2,S2
1268,R5,S2
1276,R2,S2
1276,R1,S2
1278,R0,S2
1278,R3,S2
1278,R4,S2
1279,R0,S2
1279,R4,S2
1281,R2,S2
1281,R3,S2
1283,R2,S2
1283,R3,S2
1292,R3,S2
1292,R4,S2
1292,R5,S2
1295,R0,S2
1295,R4,S2
1299,R1,S2
1299,R4,S2
1299,R5,S2
1301,R1,S2
1301,R3,S2
1302,R1,S2
1303,R2,S2
1303,R1,S2
1304,R1,S2
1304,R3,S2
1304,R4,S2
1305,R2,S2
1305,R1,S2
1305,R3,S2
1305,R5,S2
1306,R0,S2
1306,R4,S2
1306,R5,S2
1308,R1,S2
1308,R4,S2
1309,R2,S2
1309,R5,S2
1319,R2,S2
1319,R1,S2
1319,R3,S2
1324,R0,S2
1324,R3,S2
1324,R4,S2
1324,R5,S2
1330,R3,S2
1330,R5,S2
1333,R0,S2
1333,R1,S2
1340,R2,S2
1340,R3,S2
1340,R4,S2
1342,R0,S2
1342,R1,S2
1342,R3,S2
1351,R0,S2
1351,R1,S2
1351,R3,S2
1351,R4,S2
1353,R2,S2
1353,R1,S2
1353,R3,S2
1353,R4,S2
1355,R1,S2
1356,R2,S2
1356,R4,S2
1356,R5,S2
1357,R2,S2
1357,R1,S2
1357,R4,S2
1358,R3,S2
1359,R2,S2
1359,R1,S2
1359,R5,S2
1360,R0,S2
1360,R3,S2
1360,R4,S2
1365,R5,S2
1367,R0,S2
1377,R1,S2
1377,R5,S2
1380,R0,S2
1383,R2,S2
1383,R0,S2
1383,R1,S2
1385,R2,S2
1385,R1,S2
1385,R3,S2
1390,R2,S2
1390,R0,S2
1390,R3,S2
1391,R0,S2
1391,R1,S2
1391,R5,S2
1392,R2,S2
1392,R0,S2
1392,R5,S2
1398,R2,S2
1398,R0,S2
1398,R3,S2
1398,R5,S2
1405,R2,S2
1405,R5,S2
1407,R0,S2
1407,R3,S2
1407,R4,S2
1409,R4,S2
1409,R5,S2
1413,R2,S2
1413,R0,S2
1413,R3,S2
1416,R0,S2
1416,R4,S2
1416,R5,S2
1417,R2,S2
1417,R5,S2
1420,R0,S2
1420,R1,S2
1420,R3,S2
1426,R0,S2
1430,R1,S2
1430,R4,S2
1431,R2,S2
1431,R0,S2
1431,R5,S2
1436,R0,S2
1436,R4,S2
1440,R0,S2
1440,R1,S2
1442,R0,S2
1442,R3,S2
1444,R0,S2
1444,R1,S2
1444,R3,S2
1444,R4,S2
1460,R3,S2
1460,R5,S2
1465,R2,S2
1465,R0,S2
1465,R5,S2
1470,R2,S2
1470,R3,S2
1470,R4,S2
1470,R5,S2
1471,R0,S2
1471,R3,S2
1471,R5,S2
1472,R2,S2
1477,R2,S2
1477,R3,S2
1477,R4,S2
1477,R5,S2
1479,R2,S2
1479,R4,S2
1480,R1,S2
1480,R5,S2
1483,R0,S2
1483,R1,S2
1483,R3,S2
1485,R1,S2
1486,R2,S2
1486,R5,S2
1487,R3,S2
1487,R5,S2
1489,R2,S2
1489,R5,S2
1493,R2,S2
1493,R1,S2
1002,S2,R0
1002,S4,R0
1024,S0,R0
1024,S1,R0
1072,S3,R0
1147,S5,R0
1254,S2,R0
1254,S3,R0
1001,R0,S0
1001,R5,S0
1003,R3,S0
1003,R5,S0
1005,R1,S0
1005,R3,S0
1007,R2,S0
1007,R0,S0
1009,R2,S0
1009,R0,S0
1009,R5,S0
1018,R2,S0
1018,R0,S0
1018,R1,S0
1018,R5,S0
1019,R0,S0
1019,R5,S0
1020,R2,S0
1020,R3,S0
1025,R2,S0
1025,R0,S0
1025,R5,S0
1026,R2,S0
1026,R0,S0
1026,R3,S0
1028,R0,S0
1031,R0,S0
1031,R1,S0
1032,R3,S0
1032,R4,S0
1036,R1,S0
1036,R3,S0
1036,R4,S0
1038,R3,S0
1038,R4,S0
1041,R1,S0
1041,R4,S0
1041,R5,S0
1043,R0,S0
1043,R1,S0
1043,R5,S0
1049,R0,S0
1049,R1,S0
1049,R5,S0
1050,R2,S0
1050,R1,S0
1050,R5,S0
1052,R2,S0
1052,R0,S0
