ID,sendTo,sentBy
6,S0,R3
6,S1,R3
6,S5,R3
8,S3,R3
8,S4,R3
8,S5,R3
11,S0,R3
11,S2,R3
11,S3,R3
11,S4,R3
13,S4,R3
13,S5,R3
17,S0,R3
17,S1,R3
17,S4,R3
19,S0,R3
19,S1,R3
19,S4,R3
19,S5,R3
21,S0,R3
21,S3,R3
21,S5,R3
22,S0,R3
22,S3,R3
27,S0,R3
27,S1,R3
27,S2,R3
33,S2,R3
33,S3,R3
33,S4,R3
34,S0,R3
39,S4,R3
40,S0,R3
40,S2,R3
40,S3,R3
40,S5,R3
50,S0,R3
50,S2,R3
50,S3,R3
50,S4,R3
58,S0,R3
58,S1,R3
58,S2,R3
58,S5,R3
61,S0,R3
61,S4,R3
65,S0,R3
65,S3,R3
65,S5,R3
66,S1,R3
66,S3,R3
66,S5,R3
68,S0,R3
68,S1,R3
69,S1,R3
69,S5,R3
73,S2,R3
76,S0,R3
76,S4,R3
80,S0,R3
80,S1,R3
80,S2,R3
81,S4,R3
83,S0,R3
83,S2,R3
88,S2,R3
88,S4,R3
88,S5,R3
90,S0,R3
90,S2,R3
90,S4,R3
92,S1,R3
92,S4,R3
93,S1,R3
93,S3,R3
94,S1,R3
94,S3,R3
94,S5,R3
96,S2,R3
96,S3,R3
96,S5,R3
97,S1,R3
97,S4,R3
97,S5,R3
98,S0,R3
98,S3,R3
98,S5,R3
102,S0,R3
102,S1,R3
102,S5,R3
105,S0,R3
105,S2,R3
105,S5,R3
106,S0,R3
106,S1,R3
106,S3,R3
106,S5,R3
107,S2,R3
108,S2,R3
108,S4,R3
108,S5,R3
115,S4,R3
117,S1,R3
117,S5,R3
119,S2,R3
119,S3,R3
119,S5,R3
129,S0,R3
129,S1,R3
129,S2,R3
135,S3,R3
138,S0,R3
138,S1,R3
138,S3,R3
139,S2,R3
139,S5,R3
140,S0,R3
140,S2,R3
140,S5,R3
141,S2,R3
141,S4,R3
146,S3,R3
149,S0,R3
149,S3,R3
149,S4,R3
151,S0,R3
151,S1,R3
151,S4,R3
154,S1,R3
154,S5,R3
157,S2,R3
157,S4,R3
157,S5,R3
158,S0,R3
158,S2,R3
158,S3,R3
158,S4,R3
161,S1,R3
161,S4,R3
164,S1,R3
164,S2,R3
164,S5,R3
165,S0,R3
165,S1,R3
165,S2,R3
168,S0,R3
169,S1,R3
169,S2,R3
169,S3,R3
172,S0,R3
172,S1,R3
172,S3,R3
172,S4,R3
175,S3,R3
175,S4,R3
179,S0,R3
180,S1,R3
180,S2,R3
180,S4,R3
183,S4,R3
185,S0,R3
186,S0,R3
186,S1,R3
186,S3,R3
186,S4,R3
190,S0,R3
190,S2,R3
191,S1,R3
197,S2,R3
197,S3,R3
197,S4,R3
198,S0,R3
198,S1,R3
198,S2,R3
198,S5,R3
199,S5,R3
200,S1,R3
201,S0,R3
201,S3,R3
201,S4,R3
204,S0,R3
204,S1,R3
204,S4,R3
213,S0,R3
213,S3,R3
214,S1,R3
221,S3,R3
221,S5,R3
222,S0,R3
222,S5,R3
223,S0,R3
223,S1,R3
223,S3,R3
223,S4,R3
226,S1,R3
226,S2,R3
226,S3,R3
227,S2,R3
227,S4,R3
231,S1,R3
231,S3,R3
231,S4,R3
232,S1,R3
232,S2,R3
232,S3,R3
232,S4,R3
240,S2,R3
240,S3,R3
241,S1,R3
241,S3,R3
241,S5,R3
243,S0,R3
243,S1,R3
243,S3,R3
245,S4,R3
247,S2,R3
252,S0,R3
252,S3,R3
252,S4,R3
255,S1,R3
260,S1,R3
260,S5,R3
261,S3,R3
261,S4,R3
265,S1,R3
265,S3,R3
266,S1,R3
266,S5,R3
270,S1,R3
270,S2,R3
270,S3,R3
273,S1,R3
273,S2,R3
273,S4,R3
274,S4,R3
276,S0,R3
276,S1,R3
276,S2,R3
276,S3,R3
277,S1,R3
277,S2,R3
277,S4,R3
277,S5,R3
281,S1,R3
281,S2,R3
282,S0,R3
282,S1,R3
283,S0,R3
283,S3,R3
284,S0,R3
285,S1,R3
285,S2,R3
285,S4,R3
294,S3,R3
301,S3,R3
301,S5,R3
304,S3,R3
304,S5,R3
305,S0,R3
305,S1,R3
305,S2,R3
306,S0,R3
306,S3,R3
306,S4,R3
311,S0,R3
311,S2,R3
311,S3,R3
311,S5,R3
313,S2,R3
313,S3,R3
313,S4,R3
313,S5,R3
314,S0,R3
314,S1,R3
314,S3,R3
318,S0,R3
318,S3,R3
318,S4,R3
318,S5,R3
325,S5,R3
326,S3,R3
326,S4,R3
333,S0,R3
333,S1,R3
337,S4,R3
340,S0,R3
340,S1,R3
340,S2,R3
341,S4,R3
343,S3,R3
346,S0,R3
346,S2,R3
346,S5,R3
348,S0,R3
348,S3,R3
349,S0,R3
349,S4,R3
350,S0,R3
351,S0,R3
351,S2,R3
351,S4,R3
351,S5,R3
360,S1,R3
363,S3,R3
363,S4,R3
367,S0,R3
367,S3,R3
367,S5,R3
369,S0,R3
369,S1,R3
369,S3,R3
369,S5,R3
374,S0,R3
374,S3,R3
374,S4,R3
376,S0,R3
376,S2,R3
379,S0,R3
379,S3,R3
380,S2,R3
380,S3,R3
388,S3,R3
388,S5,R3
389,S1,R3
389,S3,R3
389,S5,R3
391,S0,R3
391,S3,R3
403,S0,R3
403,S5,R3
404,S2,R3
408,S0,R3
408,S1,R3
408,S4,R3
416,S2,R3
416,S3,R3
416,S4,R3
416,S5,R3
422,S3,R3
422,S4,R3
423,S1,R3
423,S4,R3
425,S0,R3
425,S4,R3
433,S2,R3
434,S4,R3
438,S1,R3
438,S3,R3
438,S5,R3
439,S1,R3
439,S4,R3
444,S1,R3
444,S2,R3
444,S5,R3
447,S0,R3
447,S2,R3
447,S4,R3
447,S5,R3
450,S0,R3
450,S2,R3
452,S2,R3
452,S3,R3
454,S4,R3
454,S5,R3
455,S1,R3
456,S1,R3
461,S1,R3
461,S2,R3
461,S4,R3
466,S0,R3
466,S1,R3
466,S4,R3
467,S1,R3
467,S2,R3
467,S3,R3
477,S0,R3
477,S3,R3
477,S4,R3
477,S5,R3
479,S1,R3
481,S0,R3
481,S5,R3
482,S0,R3
482,S4,R3
482,S5,R3
483,S0,R3
483,S3,R3
483,S4,R3
483,S5,R3
485,S0,R3
485,S1,R3
485,S2,R3
487,S0,R3
488,S0,R3
488,S1,R3
488,S4,R3
489,S2,R3
491,S3,R3
491,S5,R3
494,S2,R3
494,S5,R3
495,S0,R3
495,S1,R3
495,S2,R3
495,S5,R3
497,S4,R3
499,S2,R3
500,S3,R3
500,S4,R3
505,S1,R3
505,S4,R3
505,S5,R3
508,S1,R3
508,S0,R3
508,S2,R3
510,S0,R3
513,S1,R3
513,S3,R3
518,S3,R3
519,S2,R3
519,S3,R3
520,S0,R3
520,S3,R3
520,S4,R3
525,S1,R3
528,S3,R3
528,S4,R3
532,S0,R3
532,S2,R3
532,S5,R3
533,S0,R3
533,S3,R3
533,S5,R3
535,S0,R3
535,S2,R3
535,S4,R3
536,S3,R3
536,S4,R3
536,S5,R3
540,S2,R3
540,S4,R3
546,S1,R3
546,S0,R3
547,S1,R3
547,S2,R3
547,S4,R3
548,S1,R3
548,S2,R3
548,S4,R3
548,S5,R3
549,S0,R3
549,S5,R3
551,S1,R3
551,S3,R3
555,S1,R3
557,S2,R3
559,S1,R3
559,S0,R3
561,S2,R3
562,S0,R3
562,S2,R3
562,S5,R3
563,S0,R3
563,S3,R3
565,S2,R3
565,S3,R3
565,S4,R3
566,S1,R3
566,S0,R3
566,S4,R3
566,S5,R3
567,S4,R3
572,S5,R3
573,S1,R3
573,S0,R3
573,S3,R3
576,S1,R3
576,S2,R3
578,S1,R3
578,S2,R3
578,S5,R3
583,S0,R3
583,S2,R3
583,S3,R3
583,S4,R3
586,S1,R3
586,S3,R3
587,S1,R3
