ID,count,sendTo,sentBy
1,1,0,R1
2,1,0,R1
7,1,0,R1
12,1,0,R1
17,1,0,R1
18,1,0,R1
21,1,0,R1
22,1,0,R1
23,1,0,R1
24,1,0,R1
27,1,0,R1
29,1,0,R1
32,2,0,R1
33,1,0,R1
35,1,0,R1
36,1,0,R1
38,1,0,R1
42,1,0,R1
44,1,0,R1
52,1,0,R1
53,1,0,R1
54,1,0,R1
55,1,0,R1
57,1,0,R1
58,1,0,R1
60,1,0,R1
63,1,0,R1
64,2,0,R1
66,1,0,R1
71,1,0,R1
77,1,0,R1
82,1,0,R1
85,1,0,R1
92,1,0,R1
93,1,0,R1
97,1,0,R1
102,1,0,R1
104,1,0,R1
110,1,0,R1
111,1,0,R1
113,1,0,R1
114,2,0,R1
122,1,0,R1
123,1,0,R1
126,1,0,R1
128,1,0,R1
129,1,0,R1
130,2,0,R1
132,1,0,R1
133,1,0,R1
137,1,0,R1
138,1,0,R1
150,1,0,R1
151,2,0,R1
152,1,0,R1
153,2,0,R1
157,1,0,R1
158,1,0,R1
159,2,0,R1
161,1,0,R1
163,1,0,R1
165,2,0,R1
166,2,0,R1
167,1,0,R1
170,1,0,R1
171,1,0,R1
172,1,0,R1
173,1,0,R1
174,1,0,R1
177,1,0,R1
180,1,0,R1
188,2,0,R1
190,1,0,R1
193,1,0,R1
194,1,0,R1
202,1,0,R1
205,1,0,R1
206,1,0,R1
207,1,0,R1
208,1,0,R1
210,1,0,R1
212,1,0,R1
219,1,0,R1
224,1,0,R1
225,1,0,R1
226,1,0,R1
227,1,0,R1
228,1,0,R1
229,1,0,R1
232,1,0,R1
234,1,0,R1
235,2,0,R1
236,1,0,R1
239,1,0,R1
249,1,0,R1
251,1,0,R1
256,1,0,R1
259,1,0,R1
268,1,0,R1
272,1,0,R1
273,2,0,R1
275,1,0,R1
277,2,0,R1
278,1,0,R1
281,1,0,R1
286,1,0,R1
290,1,0,R1
295,1,0,R1
296,3,0,R1
297,1,0,R1
298,1,0,R1
299,1,0,R1
306,2,0,R1
311,1,0,R1
313,1,0,R1
318,1,0,R1
319,1,0,R1
320,2,0,R1
323,2,0,R1
325,1,0,R1
326,1,0,R1
327,1,0,R1
329,1,0,R1
330,1,0,R1
340,1,0,R1
342,2,0,R1
346,1,0,R1
347,1,0,R1
351,1,0,R1
352,2,0,R1
353,1,0,R1
354,1,0,R1
355,1,0,R1
367,1,0,R1
372,1,0,R1
377,1,0,R1
381,1,0,R1
382,1,0,R1
384,1,0,R1
388,1,0,R1
390,1,0,R1
393,1,0,R1
396,2,0,R1
398,1,0,R1
399,2,0,R1
401,1,0,R1
407,1,0,R1
414,2,0,R1
416,1,0,R1
419,1,0,R1
424,1,0,R1
430,1,0,R1
431,1,0,R1
435,1,0,R1
438,2,0,R1
439,1,0,R1
440,1,0,R1
442,1,0,R1
444,1,0,R1
446,2,0,R1
447,1,0,R1
450,1,0,R1
452,1,0,R1
455,1,0,R1
457,1,0,R1
459,1,0,R1
460,1,0,R1
461,1,0,R1
467,1,0,R1
469,1,0,R1
470,1,0,R1
471,1,0,R1
472,1,0,R1
476,1,0,R1
482,1,0,R1
483,1,0,R1
488,1,0,R1
489,1,0,R1
490,2,0,R1
493,1,0,R1
495,1,0,R1
4,2,0,S1
6,1,0,S1
7,1,0,S1
10,1,0,S1
16,1,0,S1
17,1,0,S1
18,1,0,S1
19,1,0,S1
23,1,0,S1
27,1,0,S1
29,2,0,S1
30,1,0,S1
36,1,0,S1
37,1,0,S1
38,1,0,S1
44,1,0,S1
45,1,0,S1
47,1,0,S1
51,1,0,S1
55,1,0,S1
58,1,0,S1
60,1,0,S1
66,1,0,S1
67,1,0,S1
68,1,0,S1
69,1,0,S1
71,1,0,S1
77,1,0,S1
78,1,0,S1
80,1,0,S1
82,1,0,S1
84,1,0,S1
85,1,0,S1
89,1,0,S1
92,1,0,S1
93,1,0,S1
94,1,0,S1
97,2,0,S1
102,1,0,S1
106,1,0,S1
113,2,0,S1
114,1,0,S1
117,1,0,S1
118,1,0,S1
120,2,0,S1
124,1,0,S1
125,1,0,S1
129,1,0,S1
130,1,0,S1
133,1,0,S1
138,1,0,S1
151,1,0,S1
153,1,0,S1
154,1,0,S1
159,2,0,S1
161,1,0,S1
163,1,0,S1
164,1,0,S1
165,2,0,S1
166,1,0,S1
169,1,0,S1
170,1,0,S1
171,3,0,S1
172,1,0,S1
180,1,0,S1
182,1,0,S1
184,1,0,S1
186,1,0,S1
188,1,0,S1
191,2,0,S1
193,1,0,S1
195,1,0,S1
196,1,0,S1
198,1,0,S1
200,1,0,S1
204,2,0,S1
211,1,0,S1
214,1,0,S1
215,1,0,S1
220,1,0,S1
223,1,0,S1
225,2,0,S1
226,1,0,S1
229,1,0,S1
230,1,0,S1
231,1,0,S1
232,1,0,S1
234,1,0,S1
235,1,0,S1
237,1,0,S1
238,1,0,S1
241,1,0,S1
243,1,0,S1
255,1,0,S1
258,2,0,S1
260,1,0,S1
265,2,0,S1
266,1,0,S1
270,1,0,S1
272,1,0,S1
