ID,count,sendTo,sentBy
1,1,0,R2
2,1,0,R2
4,1,0,R2
6,1,0,R2
7,2,0,R2
8,1,0,R2
10,1,0,R2
11,1,0,R2
12,1,0,R2
14,2,0,R2
17,1,0,R2
19,3,0,R2
25,2,0,R2
27,1,0,R2
30,1,0,R2
36,1,0,R2
37,1,0,R2
38,1,0,R2
41,2,0,R2
43,2,0,R2
46,2,0,R2
48,1,0,R2
51,3,0,R2
53,1,0,R2
54,1,0,R2
56,1,0,R2
57,1,0,R2
67,1,0,R2
71,1,0,R2
74,1,0,R2
75,1,0,R2
77,1,0,R2
82,2,0,R2
84,1,0,R2
92,1,0,R2
93,1,0,R2
94,1,0,R2
95,1,0,R2
96,3,0,R2
101,1,0,R2
102,1,0,R2
106,1,0,R2
109,1,0,R2
110,1,0,R2
113,1,0,R2
117,2,0,R2
119,1,0,R2
120,1,0,R2
121,1,0,R2
123,1,0,R2
124,1,0,R2
126,1,0,R2
128,1,0,R2
134,2,0,R2
137,1,0,R2
140,2,0,R2
142,1,0,R2
143,1,0,R2
148,1,0,R2
154,1,0,R2
158,1,0,R2
160,1,0,R2
162,1,0,R2
163,1,0,R2
167,2,0,R2
169,1,0,R2
170,2,0,R2
172,1,0,R2
173,1,0,R2
176,1,0,R2
177,1,0,R2
178,2,0,R2
180,1,0,R2
182,1,0,R2
184,1,0,R2
186,2,0,R2
187,1,0,R2
190,1,0,R2
192,1,0,R2
198,2,0,R2
208,1,0,R2
220,1,0,R2
223,2,0,R2
225,1,0,R2
226,1,0,R2
228,1,0,R2
229,1,0,R2
233,1,0,R2
237,1,0,R2
238,1,0,R2
239,2,0,R2
244,1,0,R2
249,1,0,R2
251,1,0,R2
252,1,0,R2
253,1,0,R2
257,1,0,R2
259,2,0,R2
271,1,0,R2
275,1,0,R2
276,1,0,R2
278,1,0,R2
279,1,0,R2
282,1,0,R2
289,1,0,R2
292,1,0,R2
298,1,0,R2
299,1,0,R2
302,1,0,R2
303,1,0,R2
304,1,0,R2
305,1,0,R2
307,1,0,R2
308,1,0,R2
310,1,0,R2
313,2,0,R2
314,1,0,R2
315,1,0,R2
318,1,0,R2
321,1,0,R2
324,2,0,R2
328,1,0,R2
330,1,0,R2
332,1,0,R2
336,2,0,R2
339,1,0,R2
342,2,0,R2
344,1,0,R2
345,1,0,R2
346,1,0,R2
347,1,0,R2
348,1,0,R2
352,2,0,R2
358,1,0,R2
362,1,0,R2
366,2,0,R2
370,1,0,R2
373,1,0,R2
375,2,0,R2
376,2,0,R2
377,1,0,R2
378,1,0,R2
379,1,0,R2
381,1,0,R2
382,1,0,R2
386,1,0,R2
389,2,0,R2
390,2,0,R2
391,1,0,R2
392,1,0,R2
393,1,0,R2
395,2,0,R2
398,1,0,R2
399,1,0,R2
400,1,0,R2
402,1,0,R2
403,1,0,R2
410,1,0,R2
411,2,0,R2
414,1,0,R2
415,1,0,R2
416,1,0,R2
418,1,0,R2
421,2,0,R2
423,1,0,R2
424,1,0,R2
426,1,0,R2
