ID,count,nodeID
2001,1,R4
2003,1,R4
2004,1,R4
2009,1,R4
2012,1,R4
2015,2,R4
2016,1,R4
2018,2,R4
2019,1,R4
2020,1,R4
2021,1,R4
2025,2,R4
2026,1,R4
2029,1,R4
2032,1,R4
2033,1,R4
2034,1,R4
2038,1,R4
2040,1,R4
2041,1,R4
2044,1,R4
2046,1,R4
2047,1,R4
2049,1,R4
2051,1,R4
2053,1,R4
2058,1,R4
2060,1,R4
2065,1,R4
2066,1,R4
2072,1,R4
2076,1,R4
2079,2,R4
2080,1,R4
2084,1,R4
2085,1,R4
2087,1,R4
2090,1,R4
2091,1,R4
2093,1,R4
2097,2,R4
2098,2,R4
2102,1,R4
2103,1,R4
2105,1,R4
2109,1,R4
2112,3,R4
2117,2,R4
2120,1,R4
2121,1,R4
2122,1,R4
2127,1,R4
2129,1,R4
2131,1,R4
2132,2,R4
2133,1,R4
2134,1,R4
2137,1,R4
2141,1,R4
2146,1,R4
2147,1,R4
2149,1,R4
2152,1,R4
2154,1,R4
2155,1,R4
2157,1,R4
2158,1,R4
2166,1,R4
2168,1,R4
2177,3,R4
2179,2,R4
2180,1,R4
2181,1,R4
2182,1,R4
2191,1,R4
2192,1,R4
2196,1,R4
2200,2,R4
2201,2,R4
2202,1,R4
2204,1,R4
2205,1,R4
2206,1,R4
2207,1,R4
2208,1,R4
2210,1,R4
2213,1,R4
2217,2,R4
2220,1,R4
2221,1,R4
2227,1,R4
2230,1,R4
2232,1,R4
2234,1,R4
2236,1,R4
2237,2,R4
2239,1,R4
2241,1,R4
2242,1,R4
2244,1,R4
2246,1,R4
2251,2,R4
2262,1,R4
2263,2,R4
2265,1,R4
2266,1,R4
2267,2,R4
2268,1,R4
2270,2,R4
2271,1,R4
2274,1,R4
2277,1,R4
2278,1,R4
2279,1,R4
2280,1,R4
2281,1,R4
2282,1,R4
2285,1,R4
2287,1,R4
2291,1,R4
2292,1,R4
2295,1,R4
2297,1,R4
2298,1,R4
2304,1,R4
2307,1,R4
2309,1,R4
2314,2,R4
2316,1,R4
2319,1,R4
2320,1,R4
2322,3,R4
2325,1,R4
2326,1,R4
2328,1,R4
2333,2,R4
2336,2,R4
2337,2,R4
2338,1,R4
2343,1,R4
2344,1,R4
2345,2,R4
2352,1,R4
2358,2,R4
2362,1,R4
2364,1,R4
2366,1,R4
2368,1,R4
2371,1,R4
2373,1,R4
2374,1,R4
2377,1,R4
2378,2,R4
2380,1,R4
2384,1,R4
2391,1,R4
2392,1,R4
2394,1,R4
2396,1,R4
2398,2,R4
2400,1,R4
2403,1,R4
2404,2,R4
2405,1,R4
2407,1,R4
2412,1,R4
2415,2,R4
2419,3,R4
2421,2,R4
2423,1,R4
2432,1,R4
2433,1,R4
2435,1,R4
2436,1,R4
2438,2,R4
2439,1,R4
2440,1,R4
2444,1,R4
2445,1,R4
2446,1,R4
2450,1,R4
2464,1,R4
2465,1,R4
2469,1,R4
2470,1,R4
2471,1,R4
2481,2,R4
