ID,payload,sendTo
576,Bettye,S1
1024,Daniel,S1
2307,Stephen,S1
590,Diane,S1
612,Neil,S1
576,Marlene,S1
590,Larry,S1
612,Sheryl,S1
1024,Betsy,S1
2378,William,S1
479,Jennifer,S1
576,Roxanne,S1
2378,Cedric,S1
479,Jessica,S1
590,Deborah,S1
612,Joseph,S1
1024,Mollie,S1
2307,Leroy,S1
2378,Mark‖Shirley,S1
479,Enedina,S1
576,Geneva,S1
1024,Edward,S1
2307,Evelyn,S1
1,Veney,R1
2,Pals‖Brannen,R1
17,Thomas,R1
21,Williams,R1
22,Esquivez‖Osterstuck,R1
23,Sanchez,R1
27,Davis,R1
54,Gonzalez‖Ragland,R1
55,Coxon,R1
57,Clinton‖Ibrahim,R1
58,Crowley,R1
64,Eaton,R1
77,Young,R1
85,Priest,R1
102,Ponce‖Nichols,R1
113,Watts‖Cabler,R1
122,Russell,R1
129,Wayne,R1
130,Ashby,R1
132,Shockley,R1
138,Smitley,R1
151,Cook,R1
153,Yoon,R1
158,Pegoda,R1
165,Carlson,R1
170,Mcgaughey,R1
172,Torres,R1
177,Mccord‖Alverson,R1
188,George,R1
190,Rehm‖Whaley,R1
208,Hedrick,R1
224,Harmon,R1
228,Hall,R1
239,Armstrong,R1
259,Pastel,R1
268,Harper,R1
272,Hargreaves,R1
278,Rierson,R1
295,Bates,R1
299,Jenner‖Baez,R1
306,Richardson‖Negrete,R1
311,Lovett,R1
318,Wells,R1
340,Schmucker,R1
346,Bekerman,R1
347,Hunter,R1
351,Elliott,R1
353,Peterson,R1
367,Nelson,R1
382,Brady‖Blaser,R1
398,Doyle‖Sanders,R1
407,Holt,R1
419,Abel,R1
424,Purcell,R1
431,Capps,R1
442,Mitchell,R1
447,Veach,R1
450,Hayes,R1
459,Potts,R1
460,Natcher,R1
471,Johnson,R1
476,Monat,R1
482,Nesbitt‖Tuder,R1
483,Beauprez,R1
488,Schuler,R1
490,Hartman,R1
495,Gantt,R1
521,Earheart,R1
524,Bright‖Chesley,R1
529,Lyons,R1
531,Purcell,R1
533,Davis,R1
542,Marcum,R1
562,Sanos,R1
566,Dowlin,R1
611,Lum,R1
613,Lasure,R1
617,Becerra‖Howard,R1
628,Leonard,R1
629,Bernabe,R1
635,Moers,R1
645,Mustafa,R1
652,Itson,R1
658,Vedder,R1
681,Fundora,R1
700,Johnson,R1
738,James‖Reyes,R1
744,Mcgee,R1
747,Walker,R1
751,Willey‖Overshown,R1
757,Odonnell‖Wilson,R1
758,Hamilton,R1
769,Neer,R1
780,Baker‖Devault,R1
783,Elliot‖Sokol,R1
789,Stebbins,R1
794,Licursi,R1
802,Brown,R1
813,Morton,R1
815,Perez,R1
818,Chouteau,R1
823,Hines‖Kennedy,R1
846,Bell,R1
853,Vinroe,R1
867,Perez,R1
875,Briggs,R1
884,Bass,R1
892,Damour,R1
910,Hallowell,R1
911,Trumbo,R1
922,Cole,R1
952,Garabedian,R1
953,Wolf,R1
958,Akins,R1
962,Crawford,R1
964,Washington‖Terry,R1
966,Marrara,R1
970,Ching‖Charles,R1
990,Pledger,R1
997,Barajas,R1
1005,Collier,R1
1018,Woodard‖Sellers,R1
1031,Reed,R1
1036,Mcdowell,R1
1041,Roden,R1
1043,Vossen,R1
1049,Pugh,R1
1050,Martin,R1
1052,Robison,R1
1056,Preston,R1
1069,Daniels,R1
1079,Wilson,R1
1081,Williams,R1
1090,Williams,R1
1099,Williams,R1
1100,Hernandez,R1
1109,Gibson,R1
1123,Wingfield,R1
1135,Monroy,R1
1138,Verkamp,R1
1139,Kaiser,R1
1140,Whitaker,R1
1143,Castillo,R1
1145,Meffert,R1
1146,Gray,R1
1151,Palencia,R1
1155,Duncan,R1
1171,Casares,R1
1172,Hughes,R1
1179,Forget,R1
1181,Prince,R1
1187,Gorman‖Draper,R1
1197,Mcintosh,R1
1203,Hayes‖Frink,R1
1213,Puckett‖Johnson,R1
1241,Poplin,R1
1248,Pujols,R1
1259,Castillo,R1
1282,Pacheco,R1
1300,Laine,R1
1301,Sanchez,R1
1308,Mayo,R1
1310,Corbett,R1
1311,Smith,R1
1317,Steinert‖Espinoza,R1
1319,Schooley,R1
1325,Hill‖Ewings,R1
1333,Gorman,R1
1334,Williams,R1
1351,Herndon,R1
1353,Swan,R1
1366,Carlone‖Adam,R1
1384,Carr,R1
1389,Richardson,R1
1401,Bush,R1
1430,Nase,R1
1433,Cote,R1
1444,Hughs,R1
1447,Glover,R1
1456,Olson,R1
1461,Woods‖Heard,R1
1463,Reeves,R1
1475,Chenault‖Gonzales,R1
1476,Green,R1
1478,Noble,R1
1483,Bounds,R1
1490,Houck,R1
1493,Boudreaux,R1
1501,Turrie,R1
1531,Oliphant‖Cato,R1
1535,Hersha,R1
1536,Thompson,R1
1547,Meyerott‖Firestine,R1
1550,Hoage,R1
1551,Clarke,R1
1558,Klug,R1
1568,Mason,R1
1574,Hoskins,R1
1575,Cassette,R1
1584,Harris,R1
1602,Raynor,R1
1605,Nolasco,R1
1616,Ochoa,R1
1620,Atkins,R1
1624,Butler‖Mortensen,R1
1631,Owens,R1
1637,Penttila,R1
1638,Chagnon‖Graham,R1
1650,Keller‖Walters,R1
1653,Dan,R1
1660,Reyes,R1
1664,Chadwick,R1
1674,Jone,R1
1677,Whatley,R1
1688,Aguirre,R1
1690,Williams,R1
1696,Demello,R1
1706,Getz‖Begum,R1
1721,Crawford‖Mcdonald,R1
1739,Hurst,R1
1758,Lewis,R1
1776,Glickman,R1
1794,Stephens,R1
1808,Chinn‖Mendoza,R1
1809,Davis,R1
1814,Ozga,R1
1819,Mclucas‖Dennis,R1
1821,Dodd,R1
1825,Carrara‖Mason,R1
1831,Biro‖Lucchesi,R1
1833,Christian,R1
1852,Henderson,R1
1857,Messer,R1
1860,Jones,R1
1864,Londo,R1
1868,Hickmon,R1
1869,Laite,R1
1877,Navarro‖Ellis,R1
1880,Sanchez,R1
1883,Ledford,R1
1886,Brunson‖Church,R1
1889,Warren‖Hawkins,R1
1892,Syphers,R1
1919,Mcrae‖Schulz,R1
1922,Bauer,R1
1923,Campbell,R1
1926,Monson,R1
1928,Gerhart,R1
1930,Harwood‖Hicks,R1
1971,Brothers‖Reyes,R1
1974,Valenzuela,R1
1979,Kato,R1
1988,Nelson,R1
2002,Brooks,R1
2005,Silva‖Moran,R1
2008,Wascher,R1
2013,Reynolds,R1
2023,Morris,R1
2031,Lynch,R1
2035,Wilder,R1
2036,Scott,R1
2053,Sanmiguel,R1
2055,Marcus,R1
2085,Arnold,R1
2093,Ball,R1
2094,Commander‖Zeringue‖Jackson,R1
2115,Manzo,R1
2121,Daniels‖Bender,R1
2128,Cardozo,R1
2139,Worsham,R1
2142,Holt‖Heltzel,R1
2160,Gonzales,R1
2165,Mischler‖Muise,R1
2170,Eager,R1
2181,Hernandez,R1
2208,Mancine‖Oday,R1
2212,Moore,R1
2224,Krein,R1
2235,Tewksbury,R1
2239,Aaron,R1
2245,Granata,R1
2250,Espinoza,R1
2266,Higgin,R1
2271,Huseby,R1
2277,Casparian,R1
2279,Steele,R1
2285,Moore,R1
2286,Fala,R1
2297,Ransom,R1
2305,Tartaglia,R1
2308,Powell‖Marshall,R1
