ID,payload,sendTo
132,Michael,S2
139,Vicki,S2
290,Susan,S2
340,Mary,S2
378,William‖Marie,S2
437,Marie,S2
468,Todd‖Shirley,S2
489,Ronnie,S2
494,Adela,S2
576,Bettye,S2
599,Jennifer,S2
766,Jose,S2
841,Steven,S2
862,Margaret,S2
870,Bart,S2
901,Joseph,S2
924,Elizabeth,S2
940,Tami,S2
1002,Jose,S2
1021,Sandra,S2
1030,Tamara,S2
1042,Lori,S2
1073,Juan,S2
1106,Megan,S2
1254,Vicky,S2
1306,Willie,S2
1465,Donald,S2
1471,Chad,S2
1505,Kendall,S2
1522,Alvin,S2
1589,Crystal,S2
1591,Ronald,S2
1596,Eva,S2
1638,Alan‖Amy,S2
1686,John,S2
1709,James,S2
1796,Dianne,S2
1836,Pamela‖William,S2
1845,Irma‖Patti,S2
1846,Anna,S2
1977,John,S2
1991,Gene,S2
2119,Tracy,S2
2198,Elva,S2
2271,Margarita,S2
2308,Edward,S2
2312,Arthur,S2
2346,Pamela,S2
2362,Jennifer,S2
2425,Larry,S2
2465,Rene,S2
2474,Katrina,S2
2481,Jenee,S2
2529,Shannon,S2
2547,Shaquita,S2
2563,Antonio,S2
2580,Michael,S2
2623,Alicia,S2
2626,Jeff,S2
2698,Timothy,S2
2701,Shannon,S2
2705,Linda,S2
2828,Caleb,S2
2921,Elizabeth,S2
2967,Shannon,S2
2977,Kathleen,S2
128,John,S2
132,Dale,S2
190,Leroy,S2
207,Raymond,S2
227,Robert,S2
281,Susie,S2
290,Sandra,S2
340,William,S2
346,Ronald,S2
489,Craig,S2
561,Frank,S2
649,Beatrice,S2
670,Joe,S2
701,Carol,S2
732,Gale,S2
820,Curtis,S2
823,Marilyn,S2
841,Dean,S2
848,Randy,S2
850,Francis,S2
948,Carolina,S2
959,Blanca,S2
1002,Manuel,S2
1008,David,S2
1030,Daniel,S2
1042,Ethan,S2
1106,Jack,S2
1109,Mary,S2
1126,Otis,S2
1213,Warren,S2
1216,Doris,S2
1353,Brenda,S2
1480,Casey,S2
1528,Jonathan,S2
1533,June,S2
1589,Steven,S2
1591,Harold,S2
1633,Carol,S2
1638,Tonya,S2
1836,Barbara,S2
1911,Rosa,S2
1946,Herbert,S2
