ID,count,nodeID
1007,1,R2
1009,2,R2
1010,1,R2
1011,2,R2
1018,1,R2
1020,1,R2
1022,2,R2
1023,1,R2
1024,1,R2
1025,2,R2
1026,1,R2
1040,1,R2
1042,1,R2
1044,1,R2
1046,1,R2
1048,1,R2
1050,1,R2
1052,1,R2
1057,1,R2
1058,1,R2
1061,2,R2
1062,2,R2
1063,2,R2
1065,1,R2
1066,2,R2
1067,1,R2
1068,1,R2
1071,1,R2
1072,1,R2
1074,1,R2
1077,1,R2
1079,1,R2
1082,1,R2
1083,1,R2
1084,1,R2
1085,1,R2
1094,1,R2
1095,2,R2
1103,1,R2
1108,1,R2
1109,1,R2
1110,1,R2
1120,1,R2
1122,1,R2
1123,1,R2
1124,1,R2
1125,1,R2
1130,1,R2
1131,1,R2
1133,1,R2
1134,1,R2
1136,1,R2
1138,1,R2
1146,1,R2
1147,1,R2
1148,1,R2
1157,1,R2
1158,1,R2
1159,2,R2
1162,1,R2
1165,1,R2
1177,3,R2
1179,1,R2
1181,1,R2
1189,1,R2
1191,1,R2
1194,1,R2
1196,1,R2
1200,1,R2
1203,1,R2
1209,2,R2
1210,1,R2
1211,1,R2
1213,1,R2
1215,1,R2
1220,1,R2
1228,1,R2
1229,1,R2
1231,1,R2
1232,1,R2
1233,1,R2
1241,1,R2
1242,1,R2
1243,1,R2
1245,1,R2
1247,1,R2
1248,1,R2
1249,1,R2
1251,2,R2
1254,1,R2
1259,1,R2
1265,1,R2
1266,1,R2
1268,2,R2
1271,1,R2
1275,4,R2
1276,1,R2
1281,1,R2
1283,1,R2
1284,1,R2
1285,1,R2
1289,1,R2
1290,1,R2
1291,1,R2
1293,2,R2
1294,2,R2
1298,1,R2
1300,1,R2
1303,1,R2
1305,1,R2
1309,1,R2
1310,2,R2
1316,1,R2
1317,1,R2
1319,1,R2
1321,1,R2
1322,1,R2
1328,1,R2
1336,1,R2
1339,1,R2
1340,1,R2
1353,1,R2
1356,1,R2
1357,1,R2
1359,2,R2
1364,1,R2
1368,1,R2
1374,1,R2
1375,1,R2
1376,1,R2
1381,1,R2
1383,1,R2
1384,1,R2
1385,1,R2
1386,1,R2
1387,1,R2
1390,1,R2
1392,1,R2
1396,1,R2
