ID,sendTo,sentBy
2000,S2,R4
2000,S3,R4
2007,S0,R4
2007,S3,R4
2008,S4,R4
2010,S4,R4
2010,S0,R4
2010,S2,R4
2015,S4,R4
2015,S2,R4
2015,S5,R4
2017,S0,R4
2017,S1,R4
2028,S1,R4
2028,S2,R4
2049,S1,R4
2049,S2,R4
2052,S4,R4
2052,S2,R4
2052,S3,R4
2057,S0,R4
2057,S3,R4
2057,S5,R4
2065,S3,R4
2065,S5,R4
2071,S4,R4
2071,S3,R4
2088,S4,R4
2088,S3,R4
2097,S4,R4
2097,S1,R4
2097,S5,R4
2101,S4,R4
2101,S5,R4
2104,S1,R4
2104,S3,R4
2110,S1,R4
2110,S5,R4
2116,S0,R4
2116,S1,R4
2116,S3,R4
2126,S5,R4
2129,S4,R4
2129,S0,R4
2132,S1,R4
2132,S3,R4
2158,S4,R4
2158,S2,R4
2174,S0,R4
2174,S2,R4
2174,S3,R4
2188,S4,R4
2189,S4,R4
2189,S3,R4
2189,S5,R4
2194,S1,R4
2194,S2,R4
2200,S2,R4
2200,S5,R4
2209,S0,R4
2209,S2,R4
2223,S4,R4
2247,S0,R4
2247,S2,R4
2248,S4,R4
2248,S1,R4
2266,S1,R4
2266,S3,R4
2331,S4,R4
2331,S5,R4
2338,S0,R4
2338,S1,R4
2338,S5,R4
2355,S3,R4
2356,S0,R4
2356,S1,R4
2356,S3,R4
2370,S1,R4
2370,S5,R4
2380,S4,R4
2390,S5,R4
2392,S4,R4
2392,S3,R4
2406,S4,R4
2406,S0,R4
2414,S0,R4
2414,S2,R4
2423,S0,R4
2423,S1,R4
2423,S3,R4
2427,S1,R4
2427,S2,R4
2427,S3,R4
2439,S3,R4
2440,S4,R4
2440,S2,R4
2444,S1,R4
2444,S2,R4
2447,S4,R4
2447,S2,R4
2448,S3,R4
2448,S5,R4
2453,S3,R4
2461,S3,R4
2461,S5,R4
2466,S4,R4
2466,S2,R4
2468,S0,R4
2468,S3,R4
2482,S4,R4
2482,S2,R4
2495,S4,R4
2495,S1,R4
2495,S2,R4
2002,R1,S4
2002,R2,S4
2014,R4,S4
2014,R0,S4
2029,R4,S4
2037,R2,S4
2037,R3,S4
2045,R3,S4
2045,R5,S4
2047,R0,S4
2047,R3,S4
2047,R5,S4
2048,R4,S4
2048,R1,S4
2048,R3,S4
2053,R4,S4
2053,R5,S4
2054,R1,S4
2054,R2,S4
2063,R0,S4
2063,R1,S4
2063,R3,S4
2070,R5,S4
2080,R4,S4
2080,R2,S4
2080,R5,S4
2084,R5,S4
2089,R4,S4
2089,R1,S4
2089,R5,S4
2090,R0,S4
2090,R2,S4
2099,R2,S4
2099,R3,S4
2102,R5,S4
2103,R0,S4
2103,R2,S4
2118,R4,S4
2118,R5,S4
2119,R4,S4
2119,R0,S4
2121,R4,S4
2121,R0,S4
2131,R4,S4
2131,R3,S4
2131,R5,S4
2133,R4,S4
2133,R0,S4
2134,R0,S4
2134,R2,S4
2134,R3,S4
2135,R0,S4
2135,R1,S4
2136,R5,S4
2137,R0,S4
2137,R3,S4
2137,R5,S4
2152,R0,S4
2152,R1,S4
2154,R0,S4
2154,R3,S4
2155,R4,S4
2155,R0,S4
2155,R1,S4
2156,R0,S4
2156,R2,S4
2156,R3,S4
2157,R0,S4
2163,R4,S4
2163,R1,S4
2164,R4,S4
2164,R0,S4
2164,R1,S4
2164,R3,S4
2167,R3,S4
2169,R4,S4
2169,R1,S4
2170,R0,S4
2170,R5,S4
2172,R4,S4
2172,R0,S4
2176,R0,S4
2176,R1,S4
2176,R3,S4
2181,R0,S4
2181,R2,S4
2181,R5,S4
2196,R0,S4
2196,R3,S4
2197,R3,S4
2199,R2,S4
2199,R3,S4
2201,R0,S4
2201,R3,S4
2203,R0,S4
2204,R4,S4
2204,R5,S4
2211,R4,S4
2211,R3,S4
2213,R1,S4
2213,R2,S4
2220,R1,S4
2221,R1,S4
2221,R5,S4
2222,R4,S4
2222,R2,S4
2224,R0,S4
2224,R3,S4
2237,R0,S4
2237,R3,S4
2237,R5,S4
2239,R5,S4
2244,R1,S4
2244,R3,S4
2245,R4,S4
2245,R0,S4
2245,R2,S4
2250,R0,S4
2250,R3,S4
2252,R1,S4
2252,R2,S4
2253,R4,S4
2253,R0,S4
2254,R0,S4
2254,R2,S4
2254,R3,S4
2255,R3,S4
2257,R1,S4
2257,R2,S4
2257,R5,S4
2258,R4,S4
2258,R3,S4
2258,R5,S4
2259,R1,S4
2259,R3,S4
2262,R3,S4
2263,R4,S4
2264,R5,S4
2267,R4,S4
2267,R5,S4
2270,R1,S4
2270,R3,S4
2276,R4,S4
2276,R1,S4
2276,R2,S4
2279,R4,S4
2279,R0,S4
2284,R4,S4
2284,R3,S4
2290,R0,S4
2290,R1,S4
2290,R2,S4
2293,R4,S4
2293,R2,S4
2300,R4,S4
2300,R0,S4
2303,R4,S4
2303,R2,S4
2303,R3,S4
2304,R0,S4
2304,R1,S4
2304,R2,S4
2304,R5,S4
2306,R1,S4
2306,R2,S4
2307,R0,S4
2307,R2,S4
2307,R3,S4
2311,R1,S4
2311,R2,S4
2311,R3,S4
2311,R5,S4
2314,R2,S4
2314,R3,S4
2314,R5,S4
2316,R4,S4
2316,R0,S4
2317,R3,S4
2318,R4,S4
2318,R0,S4
2318,R1,S4
2321,R0,S4
2321,R3,S4
2322,R4,S4
2322,R1,S4
2322,R2,S4
2323,R0,S4
2323,R3,S4
2323,R5,S4
2325,R1,S4
2325,R2,S4
2325,R3,S4
2328,R4,S4
2328,R1,S4
2328,R5,S4
2333,R1,S4
2333,R2,S4
2333,R5,S4
2334,R2,S4
2334,R3,S4
2337,R5,S4
2340,R4,S4
2340,R2,S4
2340,R3,S4
2340,R5,S4
2344,R2,S4
2347,R1,S4
2347,R2,S4
2351,R4,S4
2351,R2,S4
2351,R5,S4
2354,R4,S4
2354,R0,S4
2354,R1,S4
2357,R3,S4
2358,R4,S4
2359,R1,S4
2359,R2,S4
2365,R1,S4
2366,R4,S4
2366,R2,S4
2367,R0,S4
2367,R5,S4
2374,R4,S4
2374,R0,S4
2374,R3,S4
2379,R4,S4
2379,R1,S4
2379,R3,S4
2381,R2,S4
2384,R5,S4
2385,R0,S4
2385,R3,S4
2385,R5,S4
2391,R2,S4
2391,R5,S4
2393,R0,S4
2393,R5,S4
2397,R5,S4
2399,R3,S4
2399,R5,S4
2400,R4,S4
2400,R2,S4
2407,R0,S4
2407,R3,S4
2410,R3,S4
2412,R1,S4
2412,R2,S4
2413,R0,S4
2413,R3,S4
2415,R2,S4
2415,R3,S4
2415,R5,S4
2419,R3,S4
2419,R5,S4
2420,R2,S4
2420,R5,S4
2424,R4,S4
2424,R0,S4
2429,R0,S4
2429,R1,S4
2429,R3,S4
2432,R5,S4
2435,R0,S4
2435,R2,S4
2435,R3,S4
2436,R2,S4
2436,R3,S4
2442,R2,S4
2442,R3,S4
2442,R5,S4
2443,R3,S4
2445,R4,S4
2445,R2,S4
2446,R4,S4
2446,R1,S4
2446,R2,S4
2456,R2,S4
2457,R0,S4
2458,R3,S4
2458,R5,S4
2463,R3,S4
2463,R5,S4
2470,R1,S4
2471,R1,S4
2471,R3,S4
2471,R5,S4
2473,R3,S4
2477,R4,S4
2477,R2,S4
2477,R5,S4
2478,R1,S4
2484,R0,S4
2484,R2,S4
2489,R4,S4
2489,R3,S4
2492,R1,S4
2492,R2,S4
2492,R3,S4
2494,R2,S4
2497,R4,S4
2497,R5,S4
2001,S4,R0
2001,S1,R0
2001,S2,R0
2010,S4,R0
2010,S0,R0
2010,S2,R0
2015,S4,R0
2015,S2,R0
2015,S5,R0
2018,S4,R0
2018,S5,R0
2028,S1,R0
2028,S2,R0
2039,S5,R0
2049,S1,R0
2049,S2,R0
2050,S0,R0
2050,S2,R0
2050,S3,R0
2052,S4,R0
2052,S2,R0
2052,S3,R0
2059,S5,R0
2066,S2,R0
2066,S3,R0
2068,S5,R0
2071,S4,R0
2071,S3,R0
2088,S4,R0
2088,S3,R0
2097,S4,R0
2097,S1,R0
2097,S5,R0
2122,S4,R0
2122,S0,R0
2125,S0,R0
2125,S5,R0
2128,S1,R0
2128,S2,R0
2128,S5,R0
2129,S4,R0
2129,S0,R0
2146,S4,R0
2146,S3,R0
2158,S4,R0
2158,S2,R0
2174,S0,R0
2174,S2,R0
2174,S3,R0
2175,S1,R0
2185,S4,R0
2185,S0,R0
2185,S5,R0
2189,S4,R0
2189,S3,R0
2189,S5,R0
2194,S1,R0
2194,S2,R0
2200,S2,R0
2200,S5,R0
2209,S0,R0
2209,S2,R0
2215,S1,R0
2215,S5,R0
2242,S2,R0
2242,S3,R0
2242,S5,R0
2247,S0,R0
2247,S2,R0
2248,S4,R0
2248,S1,R0
2256,S0,R0
2256,S2,R0
2256,S3,R0
2260,S1,R0
2260,S3,R0
2260,S5,R0
2266,S1,R0
2266,S3,R0
2268,S4,R0
2268,S0,R0
2268,S2,R0
2285,S2,R0
2285,S5,R0
2301,S0,R0
2301,S1,R0
2301,S3,R0
2309,S2,R0
2309,S5,R0
2319,S0,R0
2319,S5,R0
2324,S0,R0
2324,S1,R0
2324,S5,R0
2326,S0,R0
2326,S1,R0
2338,S0,R0
2338,S1,R0
2338,S5,R0
2370,S1,R0
2370,S5,R0
2380,S4,R0
2390,S5,R0
2398,S3,R0
2398,S5,R0
2403,S1,R0
2403,S2,R0
2403,S3,R0
2408,S4,R0
2411,S4,R0
2411,S2,R0
2411,S3,R0
2423,S0,R0
2423,S1,R0
2423,S3,R0
2427,S1,R0
2427,S2,R0
2427,S3,R0
2444,S1,R0
2444,S2,R0
2453,S3,R0
2454,S0,R0
2454,S2,R0
2460,S1,R0
2466,S4,R0
2466,S2,R0
2468,S0,R0
2468,S3,R0
2480,S3,R0
2480,S5,R0
2003,R4,S0
2003,R2,S0
2020,R2,S0
2020,R5,S0
2021,R3,S0
2021,R5,S0
2023,R4,S0
2023,R0,S0
2023,R5,S0
2025,R1,S0
2030,R2,S0
2030,R3,S0
2030,R5,S0
2034,R5,S0
2038,R1,S0
2038,R3,S0
2038,R5,S0
2043,R4,S0
2043,R1,S0
2044,R2,S0
2044,R5,S0
2047,R0,S0
2047,R3,S0
2047,R5,S0
2054,R1,S0
2054,R2,S0
2058,R4,S0
2058,R2,S0
2058,R3,S0
2060,R2,S0
2060,R5,S0
2061,R3,S0
2061,R5,S0
2062,R3,S0
2067,R4,S0
2067,R5,S0
2069,R1,S0
2079,R0,S0
2079,R3,S0
2079,R5,S0
2080,R4,S0
2080,R2,S0
2080,R5,S0
2081,R4,S0
2081,R2,S0
2081,R5,S0
2085,R0,S0
2086,R4,S0
2086,R5,S0
2092,R4,S0
2092,R0,S0
2095,R2,S0
2095,R3,S0
2095,R5,S0
2100,R2,S0
2100,R3,S0
2105,R4,S0
2105,R1,S0
2105,R3,S0
2109,R3,S0
2109,R5,S0
2111,R0,S0
2111,R5,S0
2112,R2,S0
2112,R5,S0
2121,R4,S0
2121,R0,S0
2127,R4,S0
2127,R1,S0
2127,R3,S0
2135,R0,S0
2135,R1,S0
2137,R0,S0
2137,R3,S0
2137,R5,S0
2138,R1,S0
2138,R2,S0
2139,R1,S0
2139,R5,S0
2140,R0,S0
2140,R2,S0
2141,R4,S0
2141,R1,S0
2145,R0,S0
2145,R5,S0
2151,R5,S0
2159,R4,S0
2159,R1,S0
2159,R3,S0
2162,R4,S0
2168,R0,S0
2168,R3,S0
2171,R0,S0
2171,R3,S0
2177,R0,S0
2177,R5,S0
2180,R0,S0
2180,R2,S0
2180,R3,S0
2186,R1,S0
2193,R0,S0
2193,R1,S0
2193,R2,S0
2196,R0,S0
2196,R3,S0
2197,R3,S0
2198,R4,S0
2198,R1,S0
2198,R3,S0
2202,R1,S0
2202,R5,S0
2208,R1,S0
2208,R3,S0
2214,R3,S0
2217,R4,S0
2217,R0,S0
2217,R1,S0
2217,R5,S0
2218,R1,S0
2218,R2,S0
2218,R3,S0
2222,R4,S0
2222,R2,S0
2224,R0,S0
2224,R3,S0
2227,R5,S0
2230,R4,S0
2231,R0,S0
2231,R2,S0
2233,R2,S0
2234,R1,S0
2234,R2,S0
2234,R5,S0
2235,R4,S0
2244,R1,S0
2244,R3,S0
2252,R1,S0
2252,R2,S0
2253,R4,S0
2253,R0,S0
2267,R4,S0
2267,R5,S0
2270,R1,S0
2270,R3,S0
2275,R4,S0
2275,R0,S0
2275,R1,S0
2276,R4,S0
2276,R1,S0
2276,R2,S0
2277,R4,S0
2277,R0,S0
2283,R3,S0
2283,R5,S0
2289,R1,S0
2293,R4,S0
2293,R2,S0
2294,R3,S0
2296,R4,S0
2296,R0,S0
2296,R1,S0
2298,R0,S0
2298,R2,S0
2299,R0,S0
2302,R0,S0
2302,R2,S0
2302,R5,S0
2303,R4,S0
2303,R2,S0
2303,R3,S0
2304,R0,S0
2304,R1,S0
2304,R2,S0
2304,R5,S0
2305,R3,S0
2310,R5,S0
2311,R1,S0
2311,R2,S0
2311,R3,S0
2311,R5,S0
2313,R4,S0
2313,R3,S0
2314,R2,S0
2314,R3,S0
2314,R5,S0
2315,R4,S0
2315,R1,S0
2325,R1,S0
2325,R2,S0
2325,R3,S0
2332,R4,S0
2332,R2,S0
2333,R1,S0
2333,R2,S0
2333,R5,S0
2336,R4,S0
2336,R3,S0
2336,R5,S0
2340,R4,S0
2340,R2,S0
2340,R3,S0
2340,R5,S0
2342,R4,S0
2345,R0,S0
2345,R1,S0
2346,R5,S0
2348,R1,S0
2348,R5,S0
2349,R4,S0
2349,R1,S0
2349,R2,S0
2354,R4,S0
2354,R0,S0
2354,R1,S0
2359,R1,S0
2359,R2,S0
2363,R4,S0
2363,R0,S0
2366,R4,S0
2366,R2,S0
2371,R0,S0
2371,R2,S0
2371,R5,S0
2373,R2,S0
2374,R4,S0
2374,R0,S0
2374,R3,S0
2376,R0,S0
2376,R1,S0
2376,R5,S0
2379,R4,S0
2379,R1,S0
2379,R3,S0
2382,R0,S0
2382,R3,S0
2383,R4,S0
2383,R1,S0
2393,R0,S0
2393,R5,S0
2394,R1,S0
2394,R2,S0
2394,R5,S0
2401,R1,S0
2409,R4,S0
2409,R1,S0
2415,R2,S0
2415,R3,S0
2415,R5,S0
2416,R4,S0
2416,R0,S0
2416,R2,S0
2420,R2,S0
2420,R5,S0
2421,R4,S0
2421,R3,S0
2424,R4,S0
2424,R0,S0
2426,R4,S0
2426,R2,S0
2428,R3,S0
2431,R4,S0
2431,R1,S0
2435,R0,S0
2435,R2,S0
2435,R3,S0
2442,R2,S0
2442,R3,S0
2442,R5,S0
2449,R4,S0
2449,R0,S0
2451,R0,S0
2451,R2,S0
2451,R5,S0
2452,R0,S0
2458,R3,S0
2458,R5,S0
2464,R4,S0
2464,R2,S0
2464,R5,S0
2465,R0,S0
2465,R2,S0
2465,R3,S0
2467,R4,S0
2467,R1,S0
2474,R4,S0
2474,R3,S0
2474,R5,S0
2475,R4,S0
2475,R0,S0
2476,R4,S0
2476,R2,S0
2479,R4,S0
2485,R0,S0
2487,R0,S0
2487,R2,S0
2487,R3,S0
2490,R1,S0
2490,R2,S0
2490,R3,S0
2491,R1,S0
2491,R5,S0
2498,R1,S0
2001,S4,R1
2001,S1,R1
2001,S2,R1
2008,S4,R1
2010,S4,R1
2010,S0,R1
2010,S2,R1
2011,S2,R1
2011,S5,R1
2013,S1,R1
2013,S3,R1
2015,S4,R1
2015,S2,R1
2015,S5,R1
2016,S4,R1
2016,S0,R1
2016,S1,R1
2026,S2,R1
2031,S3,R1
2031,S5,R1
2046,S4,R1
2046,S2,R1
2046,S3,R1
2049,S1,R1
2049,S2,R1
2050,S0,R1
2050,S2,R1
2050,S3,R1
2052,S4,R1
2052,S2,R1
2052,S3,R1
2064,S2,R1
2064,S3,R1
2074,S1,R1
2088,S4,R1
2088,S3,R1
2101,S4,R1
2101,S5,R1
2104,S1,R1
2104,S3,R1
2116,S0,R1
2116,S1,R1
2116,S3,R1
2125,S0,R1
2125,S5,R1
2126,S5,R1
2158,S4,R1
2158,S2,R1
2174,S0,R1
2174,S2,R1
2174,S3,R1
2175,S1,R1
2178,S1,R1
2178,S5,R1
2179,S0,R1
2188,S4,R1
2194,S1,R1
2194,S2,R1
2223,S4,R1
2236,S4,R1
2236,S3,R1
2242,S2,R1
2242,S3,R1
2242,S5,R1
2243,S1,R1
2243,S2,R1
2243,S5,R1
2246,S0,R1
2246,S1,R1
2246,S2,R1
2260,S1,R1
2260,S3,R1
2260,S5,R1
2309,S2,R1
2309,S5,R1
2326,S0,R1
2326,S1,R1
2331,S4,R1
2331,S5,R1
2343,S2,R1
2343,S5,R1
2368,S3,R1
2375,S1,R1
2403,S1,R1
2403,S2,R1
2403,S3,R1
2405,S0,R1
2405,S5,R1
2406,S4,R1
2406,S0,R1
2408,S4,R1
2411,S4,R1
2411,S2,R1
2411,S3,R1
2414,S0,R1
2414,S2,R1
2422,S4,R1
2422,S3,R1
2423,S0,R1
2423,S1,R1
2423,S3,R1
2433,S1,R1
2433,S2,R1
2433,S3,R1
2439,S3,R1
2440,S4,R1
2440,S2,R1
2447,S4,R1
2447,S2,R1
2454,S0,R1
2454,S2,R1
2461,S3,R1
2461,S5,R1
2466,S4,R1
2466,S2,R1
2002,R1,S1
2002,R2,S1
2023,R4,S1
2023,R0,S1
2023,R5,S1
2025,R1,S1
2030,R2,S1
2030,R3,S1
2030,R5,S1
2038,R1,S1
2038,R3,S1
2038,R5,S1
2043,R4,S1
2043,R1,S1
2044,R2,S1
2044,R5,S1
2047,R0,S1
2047,R3,S1
2047,R5,S1
2048,R4,S1
2048,R1,S1
2048,R3,S1
2054,R1,S1
2054,R2,S1
2055,R3,S1
2055,R5,S1
2058,R4,S1
2058,R2,S1
2058,R3,S1
2063,R0,S1
2063,R1,S1
2063,R3,S1
2075,R0,S1
2075,R1,S1
2075,R5,S1
2076,R4,S1
2080,R4,S1
2080,R2,S1
2080,R5,S1
2082,R0,S1
2082,R3,S1
2089,R4,S1
2089,R1,S1
2089,R5,S1
2090,R0,S1
2090,R2,S1
2092,R4,S1
2092,R0,S1
2093,R1,S1
2093,R2,S1
2095,R2,S1
2095,R3,S1
2095,R5,S1
2103,R0,S1
2103,R2,S1
2105,R4,S1
2105,R1,S1
2105,R3,S1
2106,R3,S1
2108,R2,S1
2118,R4,S1
2118,R5,S1
2127,R4,S1
2127,R1,S1
2127,R3,S1
2131,R4,S1
2131,R3,S1
2131,R5,S1
2134,R0,S1
2134,R2,S1
2134,R3,S1
2142,R0,S1
2148,R0,S1
2151,R5,S1
2155,R4,S1
2155,R0,S1
2155,R1,S1
2161,R2,S1
2165,R1,S1
2165,R3,S1
2165,R5,S1
2168,R0,S1
2168,R3,S1
2169,R4,S1
2169,R1,S1
2173,R4,S1
2173,R0,S1
2173,R2,S1
2173,R5,S1
2180,R0,S1
2180,R2,S1
2180,R3,S1
2187,R4,S1
2187,R1,S1
2187,R3,S1
2190,R4,S1
2190,R0,S1
2190,R1,S1
2193,R0,S1
2193,R1,S1
2193,R2,S1
2195,R0,S1
2195,R2,S1
2198,R4,S1
2198,R1,S1
2198,R3,S1
2201,R0,S1
2201,R3,S1
2202,R1,S1
2202,R5,S1
2204,R4,S1
2204,R5,S1
2207,R0,S1
2207,R1,S1
2207,R5,S1
2216,R5,S1
2217,R4,S1
2217,R0,S1
2217,R1,S1
2217,R5,S1
2219,R1,S1
2219,R2,S1
2219,R3,S1
2222,R4,S1
2222,R2,S1
2225,R0,S1
2225,R3,S1
2225,R5,S1
2232,R1,S1
2234,R1,S1
2234,R2,S1
2234,R5,S1
2237,R0,S1
2237,R3,S1
2237,R5,S1
2240,R0,S1
2240,R2,S1
2240,R5,S1
2245,R4,S1
2245,R0,S1
2245,R2,S1
2249,R2,S1
2254,R0,S1
2254,R2,S1
2254,R3,S1
2257,R1,S1
2257,R2,S1
2257,R5,S1
2269,R3,S1
2272,R0,S1
2272,R5,S1
2274,R1,S1
2274,R5,S1
2277,R4,S1
2277,R0,S1
2281,R1,S1
2281,R3,S1
2282,R4,S1
2282,R2,S1
2282,R3,S1
2290,R0,S1
2290,R1,S1
2290,R2,S1
2292,R3,S1
2292,R5,S1
2298,R0,S1
2298,R2,S1
2302,R0,S1
2302,R2,S1
2302,R5,S1
2313,R4,S1
2313,R3,S1
2315,R4,S1
2315,R1,S1
2321,R0,S1
2321,R3,S1
2325,R1,S1
2325,R2,S1
2325,R3,S1
2327,R4,S1
2327,R0,S1
2327,R3,S1
2328,R4,S1
2328,R1,S1
2328,R5,S1
2335,R0,S1
2335,R3,S1
2335,R5,S1
2339,R0,S1
2346,R5,S1
2350,R2,S1
2350,R3,S1
2351,R4,S1
2351,R2,S1
2351,R5,S1
2358,R4,S1
2362,R2,S1
2362,R3,S1
2366,R4,S1
2366,R2,S1
2369,R4,S1
2369,R0,S1
2371,R0,S1
2371,R2,S1
2371,R5,S1
2376,R0,S1
2376,R1,S1
2376,R5,S1
2377,R0,S1
2377,R1,S1
2387,R1,S1
2388,R3,S1
2391,R2,S1
2391,R5,S1
2393,R0,S1
2393,R5,S1
2402,R1,S1
2402,R5,S1
2419,R3,S1
2419,R5,S1
2426,R4,S1
2426,R2,S1
2429,R0,S1
2429,R1,S1
2429,R3,S1
2431,R4,S1
2431,R1,S1
2446,R4,S1
2446,R1,S1
2446,R2,S1
2452,R0,S1
2456,R2,S1
2457,R0,S1
2462,R4,S1
2462,R3,S1
2465,R0,S1
2465,R2,S1
2465,R3,S1
2474,R4,S1
2474,R3,S1
2474,R5,S1
2475,R4,S1
