ID,count,sendTo,sentBy
0,1,0,R5
2,1,0,R5
4,2,0,R5
6,1,0,R5
9,1,0,R5
11,1,0,R5
12,2,0,R5
13,2,0,R5
16,1,0,R5
18,2,0,R5
23,1,0,R5
24,1,0,R5
26,1,0,R5
33,1,0,R5
35,1,0,R5
37,2,0,R5
38,1,0,R5
40,1,0,R5
41,1,0,R5
42,1,0,R5
45,1,0,R5
46,1,0,R5
47,1,0,R5
50,1,0,R5
55,2,0,R5
58,2,0,R5
61,2,0,R5
62,1,0,R5
66,1,0,R5
67,3,0,R5
68,1,0,R5
72,1,0,R5
76,1,0,R5
79,1,0,R5
80,1,0,R5
81,1,0,R5
83,1,0,R5
84,1,0,R5
85,1,0,R5
87,1,0,R5
88,2,0,R5
89,2,0,R5
90,2,0,R5
93,1,0,R5
103,1,0,R5
104,1,0,R5
105,1,0,R5
106,1,0,R5
108,1,0,R5
116,1,0,R5
119,2,0,R5
120,1,0,R5
122,2,0,R5
125,2,0,R5
132,1,0,R5
133,2,0,R5
145,1,0,R5
150,1,0,R5
151,1,0,R5
153,1,0,R5
158,1,0,R5
159,1,0,R5
169,1,0,R5
181,1,0,R5
186,1,0,R5
193,1,0,R5
196,1,0,R5
203,1,0,R5
204,1,0,R5
207,1,0,R5
209,1,0,R5
210,1,0,R5
213,1,0,R5
215,1,0,R5
218,1,0,R5
220,1,0,R5
222,1,0,R5
224,1,0,R5
225,1,0,R5
231,2,0,R5
237,1,0,R5
238,1,0,R5
240,1,0,R5
241,1,0,R5
244,1,0,R5
254,1,0,R5
257,1,0,R5
258,2,0,R5
261,1,0,R5
263,1,0,R5
267,1,0,R5
270,1,0,R5
271,1,0,R5
272,1,0,R5
274,1,0,R5
275,2,0,R5
277,1,0,R5
281,1,0,R5
283,1,0,R5
286,1,0,R5
287,2,0,R5
289,2,0,R5
290,1,0,R5
295,2,0,R5
296,1,0,R5
302,1,0,R5
303,1,0,R5
308,1,0,R5
310,2,0,R5
311,1,0,R5
312,1,0,R5
316,1,0,R5
317,1,0,R5
320,1,0,R5
329,1,0,R5
331,2,0,R5
334,1,0,R5
336,1,0,R5
338,1,0,R5
354,1,0,R5
355,2,0,R5
357,2,0,R5
361,1,0,R5
363,1,0,R5
367,1,0,R5
368,1,0,R5
369,1,0,R5
371,1,0,R5
372,1,0,R5
383,2,0,R5
384,1,0,R5
385,2,0,R5
386,1,0,R5
388,1,0,R5
393,2,0,R5
394,2,0,R5
396,1,0,R5
397,1,0,R5
401,1,0,R5
402,1,0,R5
404,1,0,R5
407,1,0,R5
410,2,0,R5
412,1,0,R5
418,1,0,R5
419,1,0,R5
420,1,0,R5
431,1,0,R5
432,1,0,R5
441,1,0,R5
442,1,0,R5
445,1,0,R5
447,1,0,R5
448,1,0,R5
449,1,0,R5
454,1,0,R5
457,1,0,R5
460,1,0,R5
461,1,0,R5
464,2,0,R5
465,1,0,R5
470,2,0,R5
473,1,0,R5
474,1,0,R5
479,1,0,R5
480,2,0,R5
485,1,0,R5
486,1,0,R5
488,1,0,R5
492,2,0,R5
502,2,1,R5
504,1,1,R5
507,1,1,R5
508,1,1,R5
509,1,1,R5
512,2,1,R5
515,1,1,R5
516,2,1,R5
520,1,1,R5
522,1,1,R5
523,1,1,R5
526,1,1,R5
527,1,1,R5
529,1,1,R5
532,1,1,R5
541,1,1,R5
545,1,1,R5
546,1,1,R5
547,1,1,R5
549,1,1,R5
554,3,1,R5
562,1,1,R5
565,1,1,R5
576,1,1,R5
579,1,1,R5
580,1,1,R5
582,1,1,R5
583,1,1,R5
588,1,1,R5
589,1,1,R5
593,1,1,R5
595,2,1,R5
597,1,1,R5
598,1,1,R5
599,1,1,R5
600,1,1,R5
602,1,1,R5
603,2,1,R5
607,2,1,R5
609,1,1,R5
611,1,1,R5
614,1,1,R5
616,1,1,R5
621,2,1,R5
625,1,1,R5
626,1,1,R5
629,1,1,R5
634,1,1,R5
635,2,1,R5
637,1,1,R5
641,1,1,R5
644,1,1,R5
646,1,1,R5
649,1,1,R5
650,1,1,R5
651,1,1,R5
652,1,1,R5
653,1,1,R5
655,1,1,R5
659,1,1,R5
660,1,1,R5
664,1,1,R5
666,1,1,R5
667,2,1,R5
668,1,1,R5
669,1,1,R5
670,1,1,R5
672,1,1,R5
674,1,1,R5
676,2,1,R5
678,1,1,R5
679,1,1,R5
