table,sendTo,payload
R,0,0‖Eric
R,0,2‖Timothy
R,0,4‖Jennifer
R,0,4‖Katie
R,0,6‖Karl
R,0,9‖Margaret
R,0,11‖Kimberly
R,0,12‖Brian
R,0,12‖Glenn
R,0,13‖Wendy
R,0,13‖Jessica
R,0,16‖Margaret
R,0,18‖Kevin
R,0,18‖Larry
R,0,23‖Catherine
R,0,24‖Sharon
R,0,26‖Timothy
R,0,33‖Marian
R,0,35‖Dan
R,0,37‖Shara
R,0,37‖James
R,0,38‖Clayton
R,0,40‖Charles
R,0,41‖Arnold
R,0,42‖Tammy
R,0,45‖Robert
R,0,46‖Andrew
R,0,47‖Zoila
R,0,50‖William
R,0,55‖David
R,0,55‖Nicolasa
R,0,58‖Walter
R,0,58‖Paul
R,0,61‖Robert
R,0,61‖Arturo
R,0,62‖Valentine
R,0,66‖Carl
R,0,67‖Lois
R,0,67‖Sarah
R,0,67‖Robert
R,0,68‖Deanne
R,0,72‖Daniel
R,0,76‖David
R,0,79‖Jeanne
R,0,80‖Ashley
R,0,81‖Terry
R,0,83‖Daniel
R,0,84‖Isreal
R,0,85‖Nancy
R,0,87‖Marie
R,0,88‖Sterling
R,0,88‖Jeffrey
R,0,89‖Julia
R,0,89‖Kareem
R,0,90‖William
R,0,90‖Joseph
R,0,93‖Sonia
R,0,103‖Sylvia
R,0,104‖Dana
R,0,105‖Earlene
R,0,106‖Lisa
R,0,108‖Gabriel
R,0,116‖Frances
R,0,119‖Catherine
R,0,119‖Lisa
R,0,120‖Clayton
R,0,122‖Martha
R,0,122‖Anna
R,0,125‖Vera
R,0,125‖Kerry
R,0,132‖Jana
R,0,133‖Marvin
R,0,133‖Zita
R,0,145‖Patricia
R,0,150‖Carrie
R,0,151‖Jennifer
R,0,153‖Lawrence
R,0,158‖Jeremy
R,0,159‖Donald
R,0,169‖Lisa
R,0,181‖Rita
R,0,186‖Anne
R,0,193‖Gloria
R,0,196‖Cristi
R,0,203‖Lisa
R,0,204‖Emory
R,0,207‖Dana
R,0,209‖Mark
R,0,210‖Ulysses
R,0,213‖Scott
R,0,215‖Douglas
R,0,218‖George
R,0,220‖Clifford
R,0,222‖Janet
R,0,224‖Gary
R,0,225‖Trula
R,0,231‖Doris
R,0,231‖David
R,0,237‖Ronald
R,0,238‖Richard
R,0,240‖Faustina
R,0,241‖Richard
R,0,244‖Terrence
R,0,254‖Frank
R,0,257‖Chester
R,0,258‖Joshua
R,0,258‖Troy
R,0,261‖Laurette
R,0,263‖Michael
R,0,267‖Kathleen
R,0,270‖Tom
R,0,271‖Craig
R,0,272‖Theresa
R,0,274‖James
R,0,275‖Janice
R,0,275‖Daniel
R,0,277‖Glenda
R,0,281‖Lisa
R,0,283‖Albert
R,0,286‖Martha
R,0,287‖Mary
R,0,287‖Bryce
R,0,289‖Corey
R,0,289‖Antonio
R,0,290‖Charles
R,0,295‖Eunice
R,0,295‖Jaclyn
