ID,payload,sendTo
290,Charles,S2
479,Enedina,S1
576,Geneva,S1
576,Geneva,S2
649,Fred,S2
649,Fred,S4
842,Theda,S5
1002,Marylou,S2
1002,Marylou,S4
1024,Edward,S0
1024,Edward,S1
1048,Ronald,S4
1072,Kevin,S3
1126,David,S2
1254,Ann,S2
1254,Ann,S3
1512,Ruth,S5
2249,Lillian,S0
2307,Evelyn,S1
2405,Betty,S0
2405,Betty,S3
2617,Patricia,S5
2694,Delores,S2
2701,Jack,S2
2967,Charles,S2
2,Vandeusen,R0
2,Vandeusen,R1
2,Vandeusen,R2
2,Vandeusen,R5
5,Gardner,R0
6,Erickson,R2
6,Erickson,R3
6,Erickson,R5
8,Inabinet,R0
8,Inabinet,R2
8,Inabinet,R3
12,Burgos‖Gonzalez,R1
12,Burgos‖Gonzalez,R2
12,Burgos‖Gonzalez,R5
13,Carroll,R3
13,Carroll,R5
15,Dominquez,R0
18,Hall‖Hinkley,R1
18,Hall‖Hinkley,R5
19,Brannon,R2
19,Brannon,R3
20,Hills,R4
21,Phares‖Rankin,R1
21,Phares‖Rankin,R3
21,Phares‖Rankin,R4
24,Mata‖Corbin,R0
24,Mata‖Corbin,R1
24,Mata‖Corbin,R4
24,Mata‖Corbin,R5
25,Bearden,R2
31,Edwards,R0
32,Mcentyre,R0
32,Mcentyre,R1
35,Wilson‖Zielinski,R0
35,Wilson‖Zielinski,R1
35,Wilson‖Zielinski,R5
38,Bryant,R1
38,Bryant,R2
38,Bryant,R5
40,Davis,R0
40,Davis,R3
40,Davis,R5
41,Lewis‖Herrin,R2
41,Lewis‖Herrin,R4
41,Lewis‖Herrin,R5
42,Sanchez‖Kunkel,R1
42,Sanchez‖Kunkel,R5
49,Costanzo,R4
53,Brough,R0
53,Brough,R1
53,Brough,R2
55,Armstrong,R1
55,Armstrong,R4
55,Armstrong,R5
56,Dunne,R2
56,Dunne,R4
58,Loudermilk,R1
58,Loudermilk,R3
58,Loudermilk,R5
63,Ross,R1
65,Johnston,R0
65,Johnston,R3
66,Wahlstrom‖Lee,R1
66,Wahlstrom‖Lee,R3
66,Wahlstrom‖Lee,R4
66,Wahlstrom‖Lee,R5
