ID,sendTo,sentBy
290,S2,R0
489,S2,R0
576,S1,R0
576,S2,R0
1002,S2,R0
1002,S4,R0
1024,S0,R0
1024,S1,R0
1072,S3,R0
1147,S5,R0
1254,S2,R0
1254,S3,R0
2173,S3,R0
2249,S0,R0
2307,S1,R0
2701,S2,R0
2864,S3,R0
2967,S2,R0
1,R0,S0
1,R1,S0
1,R2,S0
2,R0,S0
2,R1,S0
2,R2,S0
2,R5,S0
6,R2,S0
6,R3,S0
6,R5,S0
11,R0,S0
11,R2,S0
11,R3,S0
11,R5,S0
17,R0,S0
17,R1,S0
17,R2,S0
17,R3,S0
19,R2,S0
19,R3,S0
21,R1,S0
21,R3,S0
21,R4,S0
22,R0,S0
22,R1,S0
22,R3,S0
22,R4,S0
23,R1,S0
23,R4,S0
23,R5,S0
26,R5,S0
27,R0,S0
27,R1,S0
27,R2,S0
27,R3,S0
28,R4,S0
30,R2,S0
30,R4,S0
34,R3,S0
40,R0,S0
40,R3,S0
40,R5,S0
47,R0,S0
47,R4,S0
47,R5,S0
48,R2,S0
48,R4,S0
50,R0,S0
50,R3,S0
50,R5,S0
54,R1,S0
54,R2,S0
54,R4,S0
55,R1,S0
55,R4,S0
55,R5,S0
57,R1,S0
57,R2,S0
57,R4,S0
58,R1,S0
58,R3,S0
58,R5,S0
59,R0,S0
61,R0,S0
61,R3,S0
61,R5,S0
62,R5,S0
64,R1,S0
65,R0,S0
65,R3,S0
67,R2,S0
67,R5,S0
68,R3,S0
68,R4,S0
68,R5,S0
72,R5,S0
75,R2,S0
75,R4,S0
76,R3,S0
76,R5,S0
77,R1,S0
77,R2,S0
79,R5,S0
80,R3,S0
80,R5,S0
83,R3,S0
83,R5,S0
84,R2,S0
84,R5,S0
85,R0,S0
85,R1,S0
85,R5,S0
90,R0,S0
90,R3,S0
90,R5,S0
95,R0,S0
95,R2,S0
98,R0,S0
98,R3,S0
102,R1,S0
102,R2,S0
102,R3,S0
105,R3,S0
105,R5,S0
106,R2,S0
106,R3,S0
106,R4,S0
106,R5,S0
112,R0,S0
113,R0,S0
113,R1,S0
