ID,payload,sendTo
290,Susan,S2
489,Ronnie,S2
576,Bettye,S1
576,Bettye,S2
1002,Jose,S2
1002,Jose,S4
1024,Daniel,S0
1024,Daniel,S1
1072,Melissa,S3
1147,Minnie,S5
1254,Vicky,S2
1254,Vicky,S3
2173,Mildred,S3
2249,William,S0
2307,Stephen,S1
2701,Shannon,S2
2864,Amy,S3
2967,Shannon,S2
1,Veney,R0
1,Veney,R1
1,Veney,R2
2,Pals‖Brannen,R0
2,Pals‖Brannen,R1
2,Pals‖Brannen,R2
2,Pals‖Brannen,R5
6,Beck,R2
6,Beck,R3
6,Beck,R5
11,Miller,R0
11,Miller,R2
11,Miller,R3
11,Miller,R5
17,Thomas,R0
17,Thomas,R1
17,Thomas,R2
17,Thomas,R3
19,Buono,R2
19,Buono,R3
21,Williams,R1
21,Williams,R3
21,Williams,R4
22,Esquivez‖Osterstuck,R0
22,Esquivez‖Osterstuck,R1
22,Esquivez‖Osterstuck,R3
22,Esquivez‖Osterstuck,R4
23,Sanchez,R1
23,Sanchez,R4
23,Sanchez,R5
26,Pedro,R5
27,Davis,R0
27,Davis,R1
27,Davis,R2
27,Davis,R3
28,Powers,R4
30,Carson,R2
30,Carson,R4
34,True,R3
40,Imel,R0
40,Imel,R3
40,Imel,R5
47,Judkins,R0
47,Judkins,R4
47,Judkins,R5
48,Reeb,R2
48,Reeb,R4
50,Coleman,R0
50,Coleman,R3
50,Coleman,R5
54,Gonzalez‖Ragland,R1
54,Gonzalez‖Ragland,R2
54,Gonzalez‖Ragland,R4
55,Coxon,R1
55,Coxon,R4
55,Coxon,R5
57,Clinton‖Ibrahim,R1
57,Clinton‖Ibrahim,R2
57,Clinton‖Ibrahim,R4
58,Crowley,R1
58,Crowley,R3
58,Crowley,R5
59,Sweeney,R0
61,Harkrader,R0
61,Harkrader,R3
61,Harkrader,R5
62,Miller,R5
64,Eaton,R1
65,Broege,R0
65,Broege,R3
67,Castro,R2
67,Castro,R5
68,Crisafi‖Busch,R3
68,Crisafi‖Busch,R4
68,Crisafi‖Busch,R5
72,Packwood,R5
75,Cooper‖Love,R2
75,Cooper‖Love,R4
76,Hooten,R3
76,Hooten,R5
77,Young,R1
77,Young,R2
