table,sendTo,payload
R,0,1‖William
R,0,2‖Jeffrey
R,0,4‖Aleta
R,0,6‖Virginia
R,0,7‖Lois
R,0,7‖Joseph
R,0,8‖Julie
R,0,10‖Susan
R,0,11‖Sidney
R,0,12‖Jeffrey
R,0,14‖Diane
R,0,14‖Franklin
R,0,17‖Joe
R,0,19‖Jodi
R,0,19‖Robert
R,0,19‖Dawn
R,0,25‖Melissa
R,0,25‖Ronald
R,0,27‖Eufemia
R,0,30‖Zachariah
R,0,36‖Sadie
R,0,37‖Lesley
R,0,38‖Marci
R,0,41‖Wendy
R,0,41‖Aurelia
R,0,43‖Yolanda
R,0,43‖Scott
R,0,46‖Jean
R,0,46‖Janet
R,0,48‖Rebecca
R,0,51‖Frederick
R,0,51‖Carrie
R,0,51‖Christina
R,0,53‖Dorothy
R,0,54‖Alesha
R,0,56‖Linda
R,0,57‖Brenda
R,0,67‖Phyllis
R,0,71‖Rita
R,0,74‖William
R,0,75‖David
R,0,77‖Jeanne
R,0,82‖Gary
R,0,82‖Natalie
R,0,84‖Kristina
R,0,92‖Charles
R,0,93‖Ernest
R,0,94‖Travis
R,0,95‖Lewis
R,0,96‖Pablo
R,0,96‖Jonathan
R,0,96‖Wilma
R,0,101‖Ann
R,0,102‖Margaret
R,0,106‖Ike
R,0,109‖Paul
R,0,110‖Samuel
R,0,113‖Willie
R,0,117‖Thelma
R,0,117‖Albert
R,0,119‖Valarie
R,0,120‖Lorie
R,0,121‖Clayton
R,0,123‖Jack
R,0,124‖Lucas
R,0,126‖Carla
R,0,128‖Kenneth
R,0,134‖Marcelina
R,0,134‖Charles
R,0,137‖Matthew
R,0,140‖Dorothy
R,0,140‖Wayne
R,0,142‖Harriette
R,0,143‖Steven
R,0,148‖Mary
R,0,154‖Michael
R,0,158‖Michael
R,0,160‖Walter
R,0,162‖Lester
R,0,163‖Karen
R,0,167‖Lisa
R,0,167‖Rita
R,0,169‖Theresa
R,0,170‖Vivian
R,0,170‖Kathryn
R,0,172‖Jennifer
R,0,173‖Viola
R,0,176‖Steven
R,0,177‖Catherine
R,0,178‖Sophia
R,0,178‖Judith
R,0,180‖Amanda
R,0,182‖Carolyn
R,0,184‖Aaron
R,0,186‖Richard
R,0,186‖Mary
R,0,187‖Pauline
R,0,190‖Mike
R,0,192‖Chris
R,0,198‖Michael
R,0,198‖Michael
R,0,208‖David
R,0,220‖Thomas
R,0,223‖Scott
R,0,223‖Melissa
R,0,225‖Donnie
R,0,226‖Mamie
R,0,228‖John
R,0,229‖Larry
R,0,233‖James
R,0,237‖Irene
R,0,238‖Milton
R,0,239‖Michelle
R,0,239‖Kelly
R,0,244‖Olga
R,0,249‖Michael
R,0,251‖Michael
R,0,252‖Katy
R,0,253‖Joseph
R,0,257‖Karen
R,0,259‖Alice
R,0,259‖Michael
R,0,271‖Hubert
R,0,275‖Christy
R,0,276‖Wanda
R,0,278‖Eric
R,0,279‖Michael
R,0,282‖Kenneth
R,0,289‖Jerry
R,0,292‖Jaime
R,0,298‖Darlene
R,0,299‖April
R,0,302‖Christine
R,0,303‖Monica
R,0,304‖Bob
R,0,305‖Cindy
R,0,307‖John
R,0,308‖Gina
R,0,310‖Paula
R,0,313‖Dennis
R,0,313‖Allan
R,0,314‖Maxine
R,0,315‖Irene
R,0,318‖Jennifer
R,0,321‖Paula
R,0,324‖Penelope
R,0,324‖Rose
R,0,328‖Katie
R,0,330‖Diane
R,0,332‖Kristina
R,0,336‖Bonnie
R,0,336‖Joshua
R,0,339‖Sara
R,0,342‖Robert
R,0,342‖Genoveva
R,0,344‖David
R,0,345‖Jennifer
R,0,346‖Joseph
R,0,347‖Jennifer
R,0,348‖Peggy
R,0,352‖Phil
R,0,352‖Bernadine
R,0,358‖Berta
R,0,362‖Kathy
