table,sendTo,payload
R,0,4‖Michael
R,0,7‖Charles
R,0,8‖Kimberly
R,0,9‖Julie
R,0,16‖Jimmy
R,0,18‖William
R,0,23‖Arthur
R,0,23‖Lisa
R,0,24‖Robert
R,0,26‖Michael
R,0,26‖Michael
R,0,27‖Anthony
R,0,31‖Angela
R,0,32‖Howard
R,0,33‖Nicholas
R,0,34‖Tania
R,0,35‖Ashley
R,0,36‖Melinda
R,0,38‖Robert
R,0,42‖James
R,0,43‖Kirk
R,0,44‖James
R,0,45‖Keith
R,0,46‖Donald
R,0,47‖Michael
R,0,50‖Jamal
R,0,50‖Thomas
R,0,50‖Aurore
R,0,57‖Sherry
R,0,57‖Anthony
R,0,59‖Marie
R,0,61‖Charlie
R,0,62‖Robert
R,0,62‖Ricky
R,0,64‖Kerry
R,0,64‖Nona
R,0,68‖James
R,0,71‖Tammy
R,0,74‖Heather
R,0,75‖Daniele
R,0,79‖Robert
R,0,83‖Jason
R,0,91‖Gladys
R,0,92‖Andrea
R,0,96‖Gayle
R,0,101‖Althea
R,0,102‖Willie
R,0,108‖Donna
R,0,110‖Steven
R,0,110‖Nathaniel
R,0,110‖Vicki
R,0,111‖Rosa
R,0,113‖Thomas
R,0,117‖Jeffrey
R,0,118‖Maurice
R,0,120‖Eugene
R,0,122‖Wanda
R,0,123‖Travis
R,0,126‖Douglas
R,0,127‖Michelle
R,0,131‖Adam
R,0,133‖Helen
R,0,133‖Christine
R,0,143‖Troy
R,0,143‖Theodore
R,0,144‖Boyd
R,0,147‖Linda
R,0,151‖Alfonso
R,0,155‖Daniela
R,0,158‖Isabell
R,0,164‖William
R,0,165‖Norma
R,0,166‖Jack
R,1,171‖Jennifer
R,1,174‖Larry
R,1,176‖Sharon
R,1,176‖David
R,1,176‖David
R,1,184‖David
R,1,196‖Brad
R,1,203‖James
R,1,209‖Laura
R,1,210‖Jose
R,1,211‖Constance
R,1,212‖Karen
R,1,213‖Christina
R,1,216‖Jesus
R,1,217‖Robert
R,1,217‖Diane
R,1,222‖Tina
R,1,225‖Paula
R,1,228‖Joe
R,1,231‖Alma
R,1,233‖Johnie
R,1,234‖Sergio
R,1,235‖Brenda
R,1,236‖Mamie
R,1,236‖Bruce
R,1,237‖Betty
R,1,238‖Tracy
R,1,239‖Isabel
R,1,240‖Marianna
R,1,245‖Lucina
R,1,245‖Richard
R,1,246‖Chelsea
R,1,248‖Frank
R,1,252‖Judith
R,1,260‖Karen
R,1,264‖Ron
R,1,266‖Daniel
R,1,267‖Maureen
R,1,270‖Douglas
R,1,270‖Frank
R,1,273‖Lynn
R,1,277‖Kim
R,1,280‖Syreeta
R,1,280‖John
R,1,285‖John
R,1,290‖Ronald
R,1,295‖Wilma
R,1,297‖Ruth
R,1,299‖Billy
R,1,302‖Robert
R,1,303‖Iris
R,1,306‖Anthony
R,1,307‖Todd
R,1,310‖Teresa
R,1,315‖Matthew
R,1,319‖Thomas
R,1,322‖Michelle
R,1,326‖James
R,1,332‖Danielle
R,1,332‖Benjamin
R,2,334‖Al
R,2,335‖Joe
R,2,340‖David
R,2,340‖Elizabeth
R,2,343‖Mike
R,2,343‖Stephanie
R,2,345‖Socorro
R,2,347‖Lori
R,2,347‖Sandra
R,2,351‖Curtis
R,2,355‖Stephanie
R,2,356‖Janet
R,2,359‖Tara
R,2,360‖Matthew
R,2,363‖Mack
R,2,369‖Roberta
R,2,369‖Nan
R,2,370‖Rebecca
R,2,372‖Morgan
R,2,372‖Amy
R,2,373‖Joyce
R,2,381‖Marlene
R,2,385‖Jacquelyn
R,2,386‖Jackson
R,2,389‖Donald
R,2,395‖Julie
R,2,397‖Ruth
R,2,403‖Faye
R,2,405‖Keith
R,2,405‖Pablo
R,2,408‖Marianne
R,2,408‖Mindi
R,2,411‖Joyce
R,2,415‖Jason
R,2,415‖Debra
R,2,416‖Eleanor
R,2,417‖Carol
R,2,419‖Susan
R,2,420‖Constance
R,2,425‖Marlene
R,2,427‖Patricia
R,2,429‖Mildred
R,2,436‖Luther
R,2,438‖Lina
R,2,441‖Rodrigo
R,2,442‖Barry
R,2,442‖James
R,2,450‖Jessie
R,2,451‖Roy
R,2,456‖Mario
R,2,457‖Susan
R,2,458‖Mark
R,2,458‖Jamie
R,2,459‖Scott
R,2,460‖Joann
R,2,464‖Anne
R,2,464‖Chad
R,2,468‖Lonnie
R,2,469‖Robert
R,2,474‖Christopher
R,2,476‖Sarah
R,2,476‖Scott
R,2,480‖Pete
R,2,482‖Naomi
R,2,482‖James
R,2,484‖Wayne
R,2,485‖Leonard
R,2,486‖Theresa
R,2,486‖Ada
R,2,487‖Michael
R,2,488‖Mary
R,2,488‖Verna
R,2,488‖Tim
R,2,490‖Christina
R,2,492‖Fred
R,2,493‖John
R,2,493‖Teodoro
R,2,495‖Helen
R,3,500‖Johnny
R,3,502‖Kim
R,3,505‖Dana
R,3,507‖Betty
R,3,508‖Anthony
R,3,510‖Myrtle
R,3,515‖Todd
R,3,517‖Roger
R,3,523‖Candice
R,3,527‖Ernestine
R,3,527‖Arnita
R,3,527‖Lisa
R,3,529‖Katherine
R,3,531‖Leslie
R,3,531‖Dorothy
R,3,534‖Ellen
R,3,538‖Tina
R,3,542‖Dora
R,3,542‖Kathryn
R,3,554‖Jose
R,3,555‖Celia
R,3,555‖Charles
R,3,560‖David
R,3,561‖Harold
R,3,561‖Donald
R,3,562‖Melissa
R,3,563‖Mark
R,3,565‖Juan
R,3,568‖Mae
R,3,568‖David
R,3,569‖Porfirio
R,3,571‖Mary
R,3,573‖Almeda
R,3,575‖Catherine
R,3,576‖Violet
R,3,577‖Sharon
R,3,578‖Joseph
R,3,578‖Kenneth
R,3,579‖Laura
R,3,581‖Reed
R,3,585‖Paige
R,3,586‖Ricardo
R,3,590‖Mary
R,3,590‖Gregory
R,3,593‖Manuel
R,3,594‖Earlene
R,3,598‖Jane
R,3,606‖Carmen
R,3,607‖Douglas
R,3,610‖Reba
R,3,611‖Annette
R,3,615‖Rachel
R,3,619‖Heather
R,3,620‖Wanda
R,3,624‖Marlene
R,3,627‖Alfonso
R,3,628‖John
R,3,629‖Antonette
R,3,631‖Antoinette
R,3,634‖John
R,3,637‖Alice
R,3,639‖Rickie
R,3,641‖Adriana
R,3,641‖Louise
R,3,642‖Robert
R,3,642‖Gabriel
R,3,645‖Francisco
R,3,655‖June
R,3,656‖Shannon
R,3,656‖David
R,3,656‖Joan
R,3,658‖Anthony
R,3,662‖Michael
R,3,664‖Earl
R,3,666‖Jose
R,5,834‖Amy
R,5,835‖Janessa
R,5,837‖Kelly
R,5,839‖Jeffrey
R,5,846‖Christopher
R,5,849‖Clarence
