ID,sendTo,sentBy
1,S4,R2
10,S8,R2
37,S9,R2
58,S7,R2
63,S9,R2
66,S5,R2
87,S4,R2
92,S6,R2
113,S8,R2
115,S1,R2
123,S4,R2
145,S0,R2
171,S7,R2
201,S8,R2
217,S7,R2
219,S4,R2
222,S9,R2
229,S0,R2
237,S3,R2
250,S3,R2
255,S3,R2
257,S1,R2
263,S7,R2
269,S0,R2
272,S5,R2
277,S2,R2
285,S8,R2
290,S1,R2
294,S0,R2
308,S2,R2
309,S7,R2
310,S0,R2
335,S9,R2
352,S4,R2
380,S0,R2
389,S3,R2
395,S2,R2
399,S6,R2
404,S2,R2
407,S5,R2
408,S2,R2
428,S5,R2
430,S6,R2
437,S1,R2
452,S4,R2
456,S4,R2
475,S6,R2
480,S0,R2
486,S7,R2
496,S5,R2
527,S8,R2
537,S8,R2
547,S0,R2
551,S2,R2
560,S4,R2
571,S7,R2
577,S7,R2
595,S5,R2
603,S1,R2
612,S1,R2
627,S5,R2
647,S3,R2
648,S5,R2
650,S4,R2
669,S3,R2
690,S1,R2
702,S6,R2
708,S9,R2
714,S2,R2
715,S5,R2
725,S3,R2
757,S8,R2
773,S8,R2
774,S8,R2
776,S8,R2
780,S9,R2
803,S7,R2
815,S1,R2
818,S5,R2
826,S4,R2
835,S3,R2
837,S8,R2
846,S7,R2
848,S8,R2
851,S7,R2
858,S5,R2
868,S3,R2
879,S8,R2
883,S8,R2
884,S9,R2
887,S0,R2
891,S1,R2
895,S8,R2
921,S2,R2
938,S2,R2
943,S8,R2
945,S4,R2
951,S4,R2
955,S4,R2
957,S6,R2
974,S1,R2
1012,S4,R2
1019,S6,R2
1020,S6,R2
1021,S8,R2
1025,S7,R2
1035,S6,R2
1044,S5,R2
1086,S1,R2
1093,S0,R2
1098,S8,R2
1109,S6,R2
1112,S0,R2
1127,S9,R2
1129,S3,R2
1144,S2,R2
1159,S7,R2
1163,S4,R2
1178,S3,R2
1181,S7,R2
1201,S6,R2
1215,S4,R2
1223,S0,R2
1252,S3,R2
1265,S6,R2
1281,S7,R2
1284,S8,R2
1290,S4,R2
1299,S9,R2
1305,S1,R2
1330,S6,R2
1336,S3,R2
1340,S4,R2
1349,S4,R2
1355,S0,R2
1358,S1,R2
1364,S4,R2
1383,S4,R2
1393,S3,R2
1417,S8,R2
1457,S6,R2
1461,S7,R2
1483,S8,R2
1488,S7,R2
1499,S4,R2
1513,S3,R2
1519,S5,R2
1523,S5,R2
1535,S2,R2
1546,S5,R2
1547,S2,R2
1550,S6,R2
1559,S0,R2
1561,S6,R2
1566,S3,R2
1569,S5,R2
1582,S1,R2
1632,S9,R2
1637,S6,R2
1662,S5,R2
